"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.743568519208049E9,"2025-04-02 00:35:19.208 UTC-04:00"
"PAUSE",1.862333808374940E3,1.743570381540646E9,"2025-04-02 01:06:21.541 UTC-04:00"
