Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 17:30:16.444,COM3,, -0.007, -0.014, 1.001, 0.000, 0.000, 0.000, -0.137, -0.132, -97.586, -21.680, -2.980, 4.460, 29.68,,,,,,,,,,,,,,,,
 17:30:17.254,COM3,, -0.008, -0.015, 1.001, 0.000, 0.000, 0.000, -0.137, -0.132, -97.586, -21.693, -3.087, 4.680, 29.68,,,,,,,,,,,,,,,,
 17:30:17.254,COM3,, -0.007, -0.014, 1.001, 0.000, 0.000, 0.000, -0.137, -0.137, -97.586, -21.733, -3.000, 4.480, 29.70,,,,,,,,,,,,,,,,
 17:30:17.254,COM3,, -0.007, -0.014, 1.000, 0.000, 0.000, 0.000, -0.137, -0.132, -97.586, -21.693, -3.093, 4.627, 29.66,,,,,,,,,,,,,,,,
 17:30:17.254,COM3,, -0.008, -0.014, 1.000, 0.000, 0.000, 0.000, -0.137, -0.132, -97.586, -21.560, -3.013, 4.200, 29.71,,,,,,,,,,,,,,,,
 17:30:17.254,COM3,, -0.007, -0.015, 1.001, 0.000, 0.000, 0.000, -0.137, -0.132, -97.586, -21.667, -3.033, 4.420, 29.68,,,,,,,,,,,,,,,,
 17:30:17.254,COM3,, -0.007, -0.014, 1.002, 0.000, 0.000, 0.000, -0.137, -0.132, -97.586, -21.687, -2.993, 4.367, 29.68,,,,,,,,,,,,,,,,
 17:30:17.254,COM3,, -0.007, -0.015, 1.002, 0.000, 0.000, 0.000, -0.137, -0.132, -97.586, -21.693, -3.013, 4.173, 29.65,,,,,,,,,,,,,,,,
 17:30:17.254,COM3,, -0.007, -0.014, 1.000, 0.000, 0.000, 0.000, -0.137, -0.132, -97.586, -21.740, -2.960, 4.253, 29.68,,,,,,,,,,,,,,,,
 17:30:17.283,COM3,, -0.007, -0.014, 1.000, 0.000, 0.000, 0.000, -0.137, -0.132, -97.586, -21.700, -3.067, 4.440, 29.66,,,,,,,,,,,,,,,,
 17:30:17.374,COM3,, -0.007, -0.014, 1.001, 0.000, 0.000, 0.000, -0.137, -0.132, -97.586, -21.727, -2.993, 4.200, 29.68,,,,,,,,,,,,,,,,
 17:30:17.478,COM3,, -0.007, -0.014, 1.001, 0.000, 0.000, 0.000, -0.137, -0.137, -97.586, -21.640, -3.027, 4.287, 29.65,,,,,,,,,,,,,,,,
 17:30:17.580,COM3,, -0.007, -0.014, 1.002, 0.000, 0.000, 0.000, -0.137, -0.137, -97.586, -21.720, -2.980, 4.433, 29.68,,,,,,,,,,,,,,,,
 17:30:17.681,COM3,, -0.007, -0.014, 1.001, 0.000, 0.000, 0.000, -0.137, -0.137, -97.586, -21.700, -2.927, 4.247, 29.70,,,,,,,,,,,,,,,,
 17:30:17.778,COM3,, -0.008, -0.015, 1.001, 0.000, 0.000, 0.000, -0.137, -0.137, -97.586, -21.667, -3.060, 4.500, 29.68,,,,,,,,,,,,,,,,
 17:30:17.887,COM3,, -0.008, -0.014, 1.001, 0.000, 0.000, 0.000, -0.137, -0.137, -97.586, -21.660, -2.973, 4.247, 29.68,,,,,,,,,,,,,,,,
 17:30:17.994,COM3,, -0.008, -0.015, 1.001, 0.000, 0.000, 0.000, -0.137, -0.137, -97.586, -21.847, -2.873, 4.480, 29.68,,,,,,,,,,,,,,,,
 17:30:18.093,COM3,, -0.007, -0.014, 1.001, 0.000, 0.000, 0.000, -0.137, -0.132, -97.586, -21.627, -2.947, 4.333, 29.66,,,,,,,,,,,,,,,,
 17:30:18.280,COM3,, -0.007, -0.014, 1.001, 0.000, 0.000, 0.000, -0.137, -0.132, -97.586, -21.640, -2.947, 4.427, 29.65,,,,,,,,,,,,,,,,
 17:30:18.297,COM3,, -0.007, -0.015, 1.001, 0.000, 0.000, 0.000, -0.137, -0.132, -97.586, -21.780, -2.940, 4.453, 29.66,,,,,,,,,,,,,,,,
 17:30:18.377,COM3,, -0.007, -0.014, 1.001, 0.000, 0.000, 0.000, -0.137, -0.132, -97.586, -21.680, -3.033, 4.553, 29.65,,,,,,,,,,,,,,,,
 17:30:18.476,COM3,, -0.007, -0.014, 1.001, 0.000, 0.000, 0.000, -0.137, -0.132, -97.586, -21.647, -3.040, 4.407, 29.65,,,,,,,,,,,,,,,,
 17:30:18.579,COM3,, -0.008, -0.014, 1.001, 0.000, 0.000, 0.000, -0.137, -0.132, -97.586, -21.640, -2.987, 4.187, 29.66,,,,,,,,,,,,,,,,
 17:30:18.690,COM3,, -0.007, -0.015, 1.001, 0.000, 0.000, 0.000, -0.137, -0.132, -97.586, -21.573, -3.027, 4.133, 29.66,,,,,,,,,,,,,,,,
 17:30:18.787,COM3,, -0.007, -0.014, 1.002, 0.000, 0.000, 0.000, -0.137, -0.132, -97.586, -21.760, -3.000, 4.240, 29.66,,,,,,,,,,,,,,,,
 17:30:18.886,COM3,, -0.007, -0.015, 1.002, 0.000, 0.000, 0.000, -0.137, -0.132, -97.586, -21.813, -3.067, 4.247, 29.65,,,,,,,,,,,,,,,,
 17:30:19.015,COM3,, -0.007, -0.014, 1.001, 0.000, 0.000, 0.000, -0.137, -0.132, -97.586, -21.753, -3.040, 4.307, 29.66,,,,,,,,,,,,,,,,
 17:30:19.104,COM3,, -0.008, -0.014, 1.001, 0.000, 0.000, 0.000, -0.137, -0.137, -97.586, -21.620, -3.000, 4.227, 29.68,,,,,,,,,,,,,,,,
 17:30:19.200,COM3,, -0.007, -0.015, 1.001, 0.000, 0.000, 0.000, -0.137, -0.137, -97.586, -21.707, -2.927, 4.300, 29.68,,,,,,,,,,,,,,,,
 17:30:19.297,COM3,, -0.007, -0.014, 1.002, 0.000, 0.000, 0.000, -0.137, -0.132, -97.586, -21.687, -3.040, 4.513, 29.63,,,,,,,,,,,,,,,,
