"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.740760587068010E9,"2025-02-28 11:36:27.068 UTC-05:00"
"PAUSE",2.665541093624997E3,1.740763252614851E9,"2025-02-28 12:20:52.615 UTC-05:00"
"START",2.665541093624997E3,1.740763254760945E9,"2025-02-28 12:20:54.761 UTC-05:00"
"PAUSE",2.670063374791665E3,1.740763259283236E9,"2025-02-28 12:20:59.283 UTC-05:00"
