"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.740526870741993E9,"2025-02-25 18:41:10.742 UTC-05:00"
"PAUSE",5.164476206665859E2,1.740527387186484E9,"2025-02-25 18:49:47.186 UTC-05:00"
"START",5.164476206665859E2,1.740527883154668E9,"2025-02-25 18:58:03.155 UTC-05:00"
"PAUSE",5.654116688747890E2,1.740527932108987E9,"2025-02-25 18:58:52.109 UTC-05:00"
