Time (s),Linear Acceleration z (m/s^2)
1.828936917E0,8.285446107E-2
1.838875917E0,8.090792298E-2
1.848813917E0,7.821703434E-2
1.858752917E0,8.510330021E-2
1.868690917E0,8.465423405E-2
1.878629917E0,8.809765935E-2
1.888568917E0,8.540033877E-2
1.898506917E0,7.402691960E-2
1.908445917E0,8.555119693E-2
1.918383917E0,8.210777164E-2
1.928322917E0,7.073142886E-2
1.938261917E0,7.522501409E-2
1.948199917E0,7.671722353E-2
1.958138917E0,8.164934993E-2
1.968077917E0,9.092712700E-2
1.978015917E0,8.239837825E-2
1.987954917E0,8.254982114E-2
1.997892917E0,8.180137753E-2
2.007831917E0,7.776738346E-2
2.017770917E0,8.240773380E-2
2.027708917E0,7.672014713E-2
2.037647917E0,8.090266049E-2
2.047586917E0,7.790888608E-2
2.057524917E0,7.731305480E-2
2.067463917E0,8.600026309E-2
2.077401917E0,8.645049870E-2
2.087340917E0,8.465774238E-2
2.097279917E0,8.137160718E-2
2.107217917E0,9.663868725E-2
2.117156917E0,8.795089424E-2
2.127095917E0,8.555412054E-2
2.137033917E0,7.957417309E-2
2.146972917E0,7.479290485E-2
2.156910917E0,7.359481037E-2
2.166849917E0,7.644825161E-2
2.176788917E0,8.438584685E-2
2.186726917E0,8.603534639E-2
2.196665917E0,8.573479950E-2
2.206603917E0,8.303864837E-2
2.216542917E0,9.052366912E-2
2.226481917E0,7.930110812E-2
2.236419917E0,8.319126070E-2
2.246358917E0,8.019690156E-2
2.256297917E0,7.810710669E-2
2.266235917E0,8.813917458E-2
2.276174417E0,8.859935045E-2
2.286112417E0,7.662542224E-2
2.296051417E0,8.755386829E-2
2.305990417E0,8.770706534E-2
2.315928417E0,8.726150751E-2
2.325867417E0,7.843338132E-2
2.335806417E0,8.996526003E-2
2.345744417E0,8.442326903E-2
2.355683417E0,8.397127926E-2
2.365621417E0,8.292638183E-2
2.375560417E0,7.873451293E-2
2.385499417E0,7.783521116E-2
2.395437417E0,8.307607055E-2
2.405376417E0,7.947769403E-2
2.415315417E0,8.157041252E-2
2.425253417E0,7.797320545E-2
2.435192417E0,7.557877064E-2
2.445130417E0,7.213768423E-2
2.455069417E0,7.932215810E-2
2.465008417E0,8.127337396E-2
2.474946417E0,7.783988893E-2
2.484885417E0,8.038518190E-2
2.494824417E0,8.637857795E-2
2.504762417E0,9.521722913E-2
2.514701417E0,7.485897839E-2
2.524639417E0,7.456135511E-2
2.534578417E0,8.937410653E-2
2.544517417E0,8.427825809E-2
2.554455417E0,7.499931157E-2
2.564394417E0,7.964550912E-2
2.574333417E0,8.518691540E-2
2.584271417E0,8.653060555E-2
2.594210417E0,8.563364267E-2
2.604148417E0,7.261423230E-2
2.614087417E0,8.398765147E-2
2.624026417E0,8.743049204E-2
2.633964417E0,8.324563980E-2
2.643903417E0,8.833856463E-2
2.653841417E0,8.550032616E-2
2.663780417E0,8.355495751E-2
2.673719417E0,8.190370381E-2
2.683657417E0,7.950868428E-2
2.693596417E0,6.933102071E-2
2.703535417E0,7.666986108E-2
2.713473417E0,8.639553487E-2
2.723412417E0,8.759538352E-2
2.733350417E0,6.649278224E-2
2.743289417E0,7.906546533E-2
2.753228417E0,9.118791282E-2
2.763166417E0,8.744569480E-2
2.773105417E0,8.294275403E-2
2.783044417E0,8.189434826E-2
2.792982417E0,8.533017218E-2
2.802921417E0,7.768669188E-2
2.812859417E0,8.636922240E-2
2.822798417E0,8.532374024E-2
2.832737417E0,8.802106082E-2
2.842675417E0,7.649502933E-2
2.852614417E0,9.115633786E-2
2.862553417E0,8.711942017E-2
2.872491417E0,8.247614622E-2
2.882430417E0,8.351870477E-2
2.892368417E0,7.948178709E-2
2.902307417E0,8.098159790E-2
2.912246417E0,7.829480231E-2
2.922184417E0,8.607744634E-2
2.932123417E0,8.053604007E-2
2.942062417E0,8.203292727E-2
2.952000417E0,8.712526739E-2
2.961939417E0,7.664822638E-2
2.971877417E0,7.844507575E-2
2.981816417E0,8.533543468E-2
2.991755417E0,7.950108290E-2
3.001693417E0,8.204754531E-2
3.011632417E0,8.908291519E-2
3.021571417E0,8.010159194E-2
3.031509417E0,8.594062150E-2
3.041448417E0,8.579093277E-2
3.051386417E0,8.144586682E-2
3.061325417E0,8.219606459E-2
3.071264417E0,8.295094013E-2
3.081202417E0,7.816440940E-2
3.091141417E0,8.370523095E-2
3.101080417E0,8.730302274E-2
3.111018417E0,8.849877834E-2
3.120957417E0,8.340585351E-2
3.130895417E0,8.355437279E-2
3.140834417E0,7.576471210E-2
3.150773417E0,8.175050676E-2
3.160711417E0,8.533952773E-2
3.170650417E0,8.967406869E-2
3.180589417E0,8.503781140E-2
3.190527417E0,8.384205580E-2
3.200466417E0,8.264454603E-2
3.210404417E0,8.039863050E-2
3.220343417E0,8.024718761E-2
3.230282417E0,7.770130992E-2
3.240220417E0,8.727904916E-2
3.250159417E0,7.516186416E-2
3.260098417E0,8.459634662E-2
3.270036417E0,8.759421408E-2
3.279975583E0,8.654113054E-2
3.289913583E0,8.100440204E-2
3.299852583E0,8.654931664E-2
3.309791583E0,8.340234518E-2
3.319729583E0,8.175459981E-2
3.329668583E0,8.684343159E-2
3.339607583E0,8.429872334E-2
3.349545583E0,8.280592918E-2
3.359484583E0,7.966422021E-2
3.369422583E0,8.400402367E-2
3.379361583E0,8.894492090E-2
3.389300583E0,7.861406028E-2
3.399238583E0,8.460102439E-2
3.409177583E0,8.909636378E-2
3.419116583E0,8.385433495E-2
