"event","experiment time","system time","system time text"
"START",0.000000000E0,1740526961.642,"2025-02-25 18:42:41.642 UTC-05:00"
"PAUSE",9.101451818E2,1740527871.787,"2025-02-25 18:57:51.787 UTC-05:00"
