Time Lapsed,Magnetic field Y
0.000,12.827
0.003,12.807
0.005,12.767
0.006,12.7
0.006,12.707
0.008,12.813
0.008,12.727
0.010,12.74
0.092,12.847
0.179,12.727
0.278,12.767
0.378,12.667
0.486,12.8
0.584,12.747
0.689,12.78
0.788,12.907
0.898,12.807
0.996,12.76
1.096,12.693
1.199,12.773
1.271,12.807
1.391,12.7
1.474,12.833
1.574,12.773
1.648,12.74
1.810,12.807
1.932,12.807
1.959,12.72
2.109,12.747
2.219,12.767
2.253,12.8
2.356,12.713
2.452,12.733
2.552,12.787
2.660,12.7
2.758,12.727
2.859,12.753
2.962,12.693
3.065,12.76
3.143,12.753
3.244,12.747
3.359,12.747
3.451,12.793
3.552,12.78
3.655,12.633
3.770,12.713
3.864,12.833
3.961,12.827
4.059,12.813
4.167,12.827
4.271,12.813
4.371,12.78
4.459,12.807
4.577,12.853
4.680,12.853
4.780,12.747
4.891,12.747
4.988,12.673
5.087,12.78
5.195,12.84
5.293,12.84
5.395,12.833
5.493,12.76
5.606,12.6
5.702,12.687
5.805,12.747
5.930,12.733
5.947,12.827
6.043,12.86
6.143,12.733
6.243,12.673
6.341,12.753
6.442,12.893
6.545,12.78
6.636,12.753
56.734,12.66
56.861,12.847
56.947,12.78
57.057,12.753
57.153,12.72
57.238,12.847
57.336,12.78
57.449,12.767
57.545,12.6
57.643,12.753
57.741,12.673
57.861,12.68
57.957,12.773
58.057,12.693
58.180,12.76
58.273,12.773
58.396,12.733
58.471,12.853
58.570,12.847
58.673,12.793
58.768,12.8
58.869,12.827
59.008,12.8
59.082,12.76
59.185,12.72
59.287,12.753
59.393,12.74
59.494,12.747
59.606,12.707
59.699,12.76
59.728,12.707
59.900,12.813
59.929,12.793
60.040,12.767
60.141,12.787
60.238,12.827
60.339,12.767
60.447,12.8
60.547,12.753
60.623,12.687
60.729,12.727
60.837,12.627
60.925,12.753
61.027,12.647
61.131,12.76
61.233,12.72
61.327,12.78
61.442,12.787
61.552,12.76
61.648,12.807
61.744,12.773
61.854,12.773
61.951,12.833
62.052,12.867
62.177,12.84
62.270,12.66
62.364,12.727
62.461,12.773
62.589,12.78
62.667,12.693
62.771,12.733
62.912,12.72
62.984,12.633
63.079,12.72
63.187,12.653
63.290,12.753
63.320,12.667
63.415,12.793
63.594,12.753
63.623,12.673
63.724,12.7
63.824,12.76
63.925,12.873
64.015,12.8
64.128,12.807
64.226,12.673
64.327,12.78
64.425,12.833
64.533,12.8
64.633,12.827
64.751,12.78
64.831,12.693
64.935,12.74
65.055,12.8
65.130,12.733
65.231,12.793
65.332,12.72
65.432,12.667
65.530,12.773
65.635,12.767
65.739,12.767
65.854,12.753
65.942,12.687
66.043,12.593
66.146,12.813
66.263,12.72
66.364,12.813
66.459,12.753
66.557,12.747
66.658,12.747
116.761,12.687
116.864,12.793
116.966,12.753
117.070,12.7
117.192,12.793
117.229,12.807
117.376,12.76
117.407,12.847
117.505,12.72
117.619,12.813
117.712,12.673
117.810,12.713
117.912,12.747
118.008,12.727
118.125,12.64
118.219,12.66
118.322,12.7
118.427,12.72
118.506,12.693
118.609,12.62
118.707,12.613
118.815,12.713
118.913,12.787
119.015,12.693
119.109,12.72
119.229,12.72
119.326,12.707
119.423,12.7
119.528,12.68
119.636,12.68
119.739,12.66
119.842,12.78
119.939,12.74
120.045,12.673
120.150,12.68
120.263,12.753
120.353,12.78
120.457,12.827
120.559,12.767
120.675,12.713
120.756,12.687
120.856,12.76
120.962,12.707
120.998,12.7
121.165,12.827
121.195,12.733
121.295,12.753
121.398,12.787
121.496,12.713
121.599,12.76
121.699,12.68
121.804,12.773
121.905,12.72
122.008,12.72
122.101,12.713
122.212,12.627
122.293,12.667
122.396,12.72
122.511,12.653
122.597,12.833
122.721,12.713
122.834,12.727
122.908,12.74
123.011,12.733
123.111,12.713
123.212,12.687
123.315,12.727
123.420,12.687
123.521,12.767
123.614,12.733
123.726,12.72
123.827,12.873
123.939,12.827
124.032,12.687
124.136,12.887
124.238,12.827
124.349,12.667
124.445,12.713
124.543,12.867
124.648,12.633
124.746,12.807
124.851,12.747
124.883,12.76
125.038,12.873
125.160,12.733
125.187,12.653
125.285,12.673
125.408,12.7
125.494,12.847
125.591,12.727
125.689,12.76
125.798,12.727
125.881,12.68
125.984,12.747
126.109,12.82
126.187,12.74
126.298,12.727
126.402,12.747
126.510,12.78
126.601,12.793
