Time Lapsed,Angular_Velocity_X
0.000,0.0
0.003,0.0
0.005,0.0
0.006,0.0
0.006,0.0
0.008,0.0
0.008,0.0
0.010,0.0
0.092,0.0
0.179,0.0
0.278,0.0
0.378,0.0
0.486,0.0
0.584,0.0
0.689,0.0
0.788,0.0
0.898,0.0
0.996,0.0
1.096,0.0
1.199,0.0
1.271,0.0
1.391,0.0
1.474,0.0
1.574,0.0
1.648,0.0
1.810,0.0
1.932,0.0
1.959,0.0
2.109,0.0
2.219,0.0
2.253,0.0
2.356,0.0
2.452,0.0
2.552,0.0
2.660,0.0
2.758,0.0
2.859,0.0
2.962,0.0
3.065,0.0
3.143,0.0
3.244,0.0
3.359,0.0
3.451,0.0
3.552,0.0
3.655,0.0
3.770,0.0
3.864,0.0
3.961,0.0
4.059,0.0
4.167,0.0
4.271,0.0
4.371,0.0
4.459,0.0
4.577,0.0
4.680,0.0
4.780,0.0
4.891,0.0
4.988,0.0
5.087,0.0
5.195,0.0
5.293,0.0
5.395,0.0
5.493,0.0
5.606,0.0
5.702,0.0
5.805,0.0
5.930,0.0
5.947,0.0
6.043,0.0
6.143,0.0
6.243,0.0
6.341,0.0
6.442,0.0
6.545,0.0
6.636,0.0
56.734,0.0
56.861,0.0
56.947,0.0
57.057,0.0
57.153,0.0
57.238,0.0
57.336,0.0
57.449,0.0
57.545,0.0
57.643,0.0
57.741,0.0
57.861,0.0
57.957,0.0
58.057,0.0
58.180,0.0
58.273,0.0
58.396,0.0
58.471,0.0
58.570,0.0
58.673,0.0
58.768,0.0
58.869,0.0
59.008,0.0
59.082,0.0
59.185,0.0
59.287,0.0
59.393,0.0
59.494,0.0
59.606,0.0
59.699,0.0
59.728,0.0
59.900,0.0
59.929,0.0
60.040,0.0
60.141,0.0
60.238,0.0
60.339,0.0
60.447,0.0
60.547,0.0
60.623,0.0
60.729,0.0
60.837,0.0
60.925,0.0
61.027,0.0
61.131,0.0
61.233,0.0
61.327,0.0
61.442,0.0
61.552,0.0
61.648,0.0
61.744,0.0
61.854,0.0
61.951,0.0
62.052,0.0
62.177,0.0
62.270,0.0
62.364,0.0
62.461,0.0
62.589,0.0
62.667,0.0
62.771,0.0
62.912,0.0
62.984,0.0
63.079,0.0
63.187,0.0
63.290,0.0
63.320,0.0
63.415,0.0
63.594,0.0
63.623,0.0
63.724,0.0
63.824,0.0
63.925,0.0
64.015,0.0
64.128,0.0
64.226,0.0
64.327,0.0
64.425,0.0
64.533,0.0
64.633,0.0
64.751,0.0
64.831,0.0
64.935,0.0
65.055,0.0
65.130,0.0
65.231,0.0
65.332,0.0
65.432,0.0
65.530,0.0
65.635,0.0
65.739,0.0
65.854,0.0
65.942,0.0
66.043,0.0
66.146,0.0
66.263,0.0
66.364,0.0
66.459,0.0
66.557,0.0
66.658,0.0
116.761,0.0
116.864,0.0
116.966,0.0
117.070,0.0
117.192,0.0
117.229,0.0
117.376,0.0
117.407,0.0
117.505,0.0
117.619,0.0
117.712,0.0
117.810,0.0
117.912,0.0
118.008,0.0
118.125,0.0
118.219,0.0
118.322,0.0
118.427,0.0
118.506,0.0
118.609,0.0
118.707,0.0
118.815,0.0
118.913,0.0
119.015,0.0
119.109,0.0
119.229,0.0
119.326,0.0
119.423,0.0
119.528,0.0
119.636,0.0
119.739,0.0
119.842,0.0
119.939,0.0
120.045,0.0
120.150,0.0
120.263,0.0
120.353,0.0
120.457,0.0
120.559,0.0
120.675,0.0
120.756,0.0
120.856,0.0
120.962,0.0
120.998,0.0
121.165,0.0
121.195,0.0
121.295,0.0
121.398,0.0
121.496,0.0
121.599,0.0
121.699,0.0
121.804,0.0
121.905,0.0
122.008,0.0
122.101,0.0
122.212,0.0
122.293,0.0
122.396,0.0
122.511,0.0
122.597,0.0
122.721,0.0
122.834,0.0
122.908,0.0
123.011,0.0
123.111,0.0
123.212,0.0
123.315,0.0
123.420,0.0
123.521,0.0
123.614,0.0
123.726,0.0
123.827,0.0
123.939,0.0
124.032,0.0
124.136,0.0
124.238,0.0
124.349,0.0
124.445,0.0
124.543,0.0
124.648,0.0
124.746,0.0
124.851,0.0
124.883,0.0
125.038,0.0
125.160,0.0
125.187,0.0
125.285,0.0
125.408,0.0
125.494,0.0
125.591,0.0
125.689,0.0
125.798,0.0
125.881,0.0
125.984,0.0
126.109,0.0
126.187,0.0
126.298,0.0
126.402,0.0
126.510,0.0
126.601,0.0
126.702,0.0
176.800,0.0
176.908,0.0
177.011,0.0
177.109,0.0
177.214,0.0
177.317,0.0
177.420,0.0
177.521,0.0
177.621,0.0
177.726,0.0
177.824,0.0
177.930,0.0
178.027,0.0
178.128,0.0
178.229,0.0
178.346,0.0
178.435,0.0
178.538,0.0
178.641,0.0
178.758,0.0
178.788,0.0
178.875,0.0
179.084,0.0
179.160,0.0
179.187,0.0
179.285,0.0
179.381,0.0
179.472,0.0
179.592,0.0
179.690,0.0
179.790,0.0
179.891,0.0
179.972,0.0
180.077,0.0
180.185,0.0
180.278,0.0
180.385,0.0
180.511,0.0
180.597,0.0
180.687,0.0
180.792,0.0
180.891,0.0
180.996,0.0
181.121,0.0
181.201,0.0
181.302,0.0
181.398,0.0
181.508,0.0
181.611,0.0
181.724,0.0
181.798,0.0
181.918,0.0
182.025,0.0
182.123,0.0
182.244,0.0
182.315,0.0
182.434,0.0
182.462,0.0
182.635,0.0
182.662,0.0
182.782,0.0
182.866,0.0
182.964,0.0
183.062,0.0
183.158,0.0
183.261,0.0
183.373,0.0
183.464,0.0
183.562,0.0
183.660,0.0
183.768,0.0
183.861,0.0
183.994,0.0
184.076,0.0
184.179,0.0
184.280,0.0
184.403,0.0
184.484,0.0
184.597,0.0
184.685,0.0
184.788,0.0
184.888,0.0
185.006,0.0
185.099,0.0
185.199,0.0
185.258,0.0
185.402,0.0
185.464,0.0
185.564,0.0
185.668,0.0
185.809,0.0
185.915,0.0
185.952,0.0
186.116,0.0
186.153,0.0
186.253,0.0
186.351,0.0
186.459,0.0
186.555,0.0
186.655,0.0
476.755,0.0
476.869,0.0
476.966,0.0
477.062,0.0
477.168,0.0
477.248,0.0
477.371,0.0
477.447,0.0
477.552,0.0
477.653,0.0
477.756,0.0
477.856,0.0
477.967,0.0
478.060,0.0
478.182,0.0
478.271,0.0
478.385,0.0
478.469,0.0
478.572,0.0
478.680,0.0
478.802,0.0
478.878,0.0
479.006,0.0
479.094,0.0
479.190,0.0
479.250,0.0
479.393,0.0
479.496,0.0
479.559,0.0
479.668,0.0
479.775,0.0
479.842,0.0
479.942,0.0
480.043,0.0
480.211,0.0
480.320,0.0
480.347,0.0
480.445,0.0
480.548,0.0
480.653,0.0
480.750,0.0
480.842,0.0
480.961,0.0
481.037,0.0
481.143,0.0
481.253,0.0
481.344,0.0
481.445,0.0
481.543,0.0
481.646,0.0
481.748,0.0
481.851,0.0
481.944,0.0
482.055,0.0
482.158,0.0
482.258,0.0
482.361,0.0
482.464,0.0
482.572,0.0
482.680,0.0
482.773,0.0
482.873,0.0
482.976,0.0
483.092,0.0
483.187,0.0
483.287,0.0
483.388,0.0
483.493,0.0
483.542,0.0
483.714,0.0
483.798,0.0
483.854,0.0
483.961,0.0
484.038,0.0
484.204,0.0
484.233,0.0
484.339,0.0
484.434,0.0
484.542,0.0
484.643,0.0
484.744,0.0
484.844,0.0
484.929,0.0
485.028,0.0
485.125,0.0
485.253,0.0
485.332,0.0
485.432,0.0
485.537,0.0
485.638,0.0
485.743,0.0
485.842,0.0
485.945,0.0
486.055,0.0
486.153,0.0
486.256,0.0
486.354,0.0
486.466,0.0
486.565,0.0
486.663,0.0
536.766,0.0
536.866,0.0
536.969,0.0
537.094,0.0
537.180,0.0
537.283,0.0
537.388,0.0
537.501,0.0
537.584,0.0
537.719,0.0
537.722,0.0
537.824,0.0
537.918,0.0
538.018,0.0
538.128,0.0
538.229,0.0
538.336,0.0
538.432,0.0
538.611,0.0
538.638,0.0
538.736,0.0
538.815,0.0
538.927,0.0
539.018,0.0
539.121,0.0
539.222,0.0
539.339,0.0
539.435,0.0
539.533,0.0
539.633,0.0
539.736,0.0
539.822,0.0
539.939,0.0
540.030,0.0
540.114,0.0
540.238,0.0
540.327,0.0
540.449,0.0
540.555,0.0
540.658,0.0
540.768,0.0
540.864,0.0
540.964,0.0
541.096,0.0
541.177,0.0
541.209,0.0
541.307,0.0
541.474,0.0
541.577,0.0
541.709,0.0
541.712,0.0
541.809,0.0
541.910,0.0
542.015,0.0
542.118,0.0
542.236,0.0
542.326,0.0
542.405,0.0
542.525,0.0
542.625,0.0
542.728,0.0
542.805,0.0
542.908,0.0
543.016,0.0
543.116,0.0
543.219,0.0
543.337,0.0
543.425,0.0
543.525,0.0
543.625,0.0
543.750,0.0
543.817,0.0
543.900,0.0
544.003,0.0
544.109,0.0
544.212,0.0
544.347,0.0
544.454,0.0
544.579,0.0
544.653,0.0
544.761,0.0
544.863,0.0
544.967,0.0
545.062,0.0
545.175,0.0
545.268,0.0
545.297,0.0
545.396,0.0
545.498,0.0
545.609,0.0
545.707,0.0
545.802,0.0
545.910,0.0
546.011,0.0
546.106,0.0
546.212,0.0
546.310,0.0
546.415,0.0
546.523,0.0
546.594,0.0
596.717,0.0
596.812,0.0
596.908,0.0
597.013,0.0
597.106,0.0
597.209,0.0
597.315,0.0
597.425,0.0
597.523,0.0
597.621,0.0
597.748,0.0
597.827,0.0
597.932,0.0
598.054,0.0
598.130,0.0
598.233,0.0
598.337,0.0
598.440,0.0
598.506,0.0
598.643,0.0
598.753,0.0
598.853,0.0
598.949,0.0
599.084,0.0
599.087,0.0
599.263,0.0
599.292,0.0
599.388,0.0
599.484,0.0
599.584,0.0
599.690,0.0
599.795,0.0
599.891,0.0
600.000,0.0
600.099,0.0
600.195,0.0
600.320,0.0
600.391,0.0
600.489,0.0
600.592,0.0
600.721,0.0
600.793,0.0
600.898,0.0
601.003,0.0
601.103,0.0
601.211,0.0
601.315,0.0
601.423,0.0
601.513,0.0
601.646,0.0
601.726,0.0
601.834,0.0
601.929,0.0
602.033,0.0
602.128,0.0
602.231,0.0
602.334,0.0
602.435,0.0
602.533,0.0
602.636,0.0
602.741,0.0
602.842,0.0
602.945,0.0
603.047,0.0
603.076,0.0
603.260,0.0
603.278,0.0
603.378,0.0
603.479,0.0
603.582,0.0
603.695,0.0
603.793,0.0
603.895,0.0
603.996,0.0
604.077,0.0
604.173,0.0
604.277,0.0
604.380,0.0
604.472,0.0
604.574,0.0
604.675,0.0
604.775,0.0
604.893,0.0
604.991,0.0
605.099,0.0
605.199,0.0
605.305,0.0
605.408,0.0
605.510,0.0
605.609,0.0
605.709,0.0
605.832,0.0
605.925,0.0
606.021,0.0
606.119,0.0
