"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.667577083E-1,-1.274133415E-2,-1.470032956E-2,-4.463179708E-3,1.995898941E-2
6.766957083E-1,-1.402124855E-2,1.136743947E-2,-7.905435562E-3,1.970558303E-2
6.866347083E-1,-1.623443338E-2,-8.240200079E-3,-1.254520118E-2,2.210972178E-2
6.965727083E-1,-2.378688441E-2,-2.755192027E-3,-1.359185278E-2,2.753444052E-2
7.065107083E-1,-2.249040595E-2,-1.197826338E-2,-2.766142309E-2,3.760919409E-2
7.164487083E-1,-1.264900753E-2,-4.892397313E-3,-2.286962986E-2,2.658858614E-2
7.263877083E-1,-5.999668096E-3,-6.685356915E-3,-5.954219699E-3,1.077695442E-2
7.363257083E-1,-8.353446485E-3,-7.677229699E-3,-1.987293184E-2,2.288347316E-2
7.462637083E-1,-1.681889456E-2,2.785467356E-3,-2.062196016E-2,2.675629428E-2
7.562017083E-1,-6.904191244E-3,-9.652501373E-3,-2.286670625E-2,2.576285881E-2
7.661407083E-1,-1.185503331E-2,-1.939332539E-2,-1.852456391E-2,2.932238654E-2
7.760787083E-1,-5.163018331E-3,-9.642883160E-3,1.085827947E-3,1.099185954E-2
7.860167083E-1,-5.413809065E-3,-1.232823979E-2,-2.510794401E-2,2.849041378E-2
7.959547083E-1,-1.342902610E-2,-6.813780956E-3,-1.597693205E-2,2.195515226E-2
8.058937083E-1,-2.077599775E-2,-1.961852999E-2,-3.851560950E-3,2.883337170E-2
8.158317083E-1,-1.975057428E-2,-6.434230423E-3,-1.133541226E-2,2.366381366E-2
8.257697083E-1,-3.432818083E-4,-1.146980915E-2,-1.822167814E-2,2.153378551E-2
8.357077083E-1,-1.197203700E-3,-1.117037689E-2,-1.522673428E-2,1.892258051E-2
8.456467083E-1,-5.599682000E-3,-5.249246489E-3,-1.537525356E-2,1.718457009E-2
8.555847083E-1,-8.249315796E-3,-1.125894850E-2,-2.211066127E-2,2.614759022E-2
8.655227083E-1,-2.041305925E-2,-1.078546336E-3,4.929202795E-4,2.044747467E-2
8.754607083E-1,1.174166584E-3,-7.881532784E-3,-1.133307338E-2,1.385408887E-2
8.853997083E-1,-4.518138967E-3,-1.626714581E-2,-8.638091683E-3,1.896444675E-2
8.953377083E-1,-6.622140747E-3,-1.877408470E-2,-3.438338220E-2,3.973079380E-2
9.052757083E-1,-1.657021430E-2,1.895754109E-4,-1.986416101E-2,2.586876174E-2
9.152137083E-1,-4.061197336E-3,-1.507632379E-2,-1.911630213E-2,2.468242027E-2
9.251527083E-1,-6.205841834E-3,-4.448931688E-3,-2.351165414E-3,7.989583520E-3
9.350907083E-1,-2.432762851E-2,-1.296639486E-2,-1.178155482E-2,2.997942526E-2
9.450287083E-1,-1.009527264E-2,-1.460511587E-2,-1.522439539E-2,2.338816270E-2
9.549667083E-1,-1.848364254E-3,-1.279762959E-2,-1.447536707E-2,1.940958592E-2
9.649057083E-1,-2.770666135E-2,-2.519790891E-2,-1.207976282E-2,3.935116728E-2
9.748437083E-1,-1.333842624E-2,-2.501439998E-2,-1.312582970E-2,3.123973793E-2
9.847817083E-1,-1.430258641E-2,-1.191936867E-2,-1.836493492E-2,2.615159961E-2
9.947207083E-1,-1.355448999E-2,-2.474842933E-2,-1.761532187E-2,3.326422279E-2
1.004658708E0,-9.973924644E-3,-4.369612837E-3,-2.150547445E-2,2.410514718E-2
1.014596708E0,-1.060604520E-2,-4.623822821E-4,-1.671426594E-2,1.980072418E-2
1.024534708E0,-1.390786281E-2,-2.090320210E-3,-1.342111409E-2,1.944027752E-2
1.034473708E0,-1.472475538E-2,-1.648309993E-2,-1.821115315E-2,2.863838514E-2
1.044411708E0,-4.756381027E-3,-1.234111965E-2,-1.237212360E-2,1.811065535E-2
1.054349708E0,-5.955864228E-3,-6.776306243E-3,-1.087640584E-2,1.413105972E-2
1.064287708E0,-2.299143467E-3,-8.259785967E-3,-2.599438190E-2,2.737184713E-2
1.074226708E0,-6.478111949E-3,-1.318959404E-2,-3.662169635E-2,3.945985262E-2
1.084164708E0,3.963096589E-3,-2.571553596E-2,-1.252122760E-2,2.887518077E-2
1.094102708E0,5.764016169E-3,-1.474498310E-2,-1.252005816E-2,2.018391105E-2
1.104040708E0,3.477859916E-3,-1.195129309E-2,4.545625448E-3,1.325109908E-2
1.113979708E0,-2.068005773E-2,-2.050757172E-2,-2.490329146E-3,2.923058373E-2
1.123917708E0,-2.069054161E-2,-7.414353958E-3,-1.611200273E-2,2.725193183E-2
1.133855708E0,-3.018967691E-3,-9.664780525E-3,-1.686044633E-2,1.966715025E-2
1.143793708E0,-6.068656105E-3,-1.629435592E-2,-7.129510045E-3,1.879267238E-2
1.153733417E0,-6.316176052E-3,-2.395162971E-2,-3.087329865E-3,2.496209629E-2
1.163671417E0,8.822735790E-3,-7.208940815E-3,-9.973595738E-3,1.514206414E-2
1.173609417E0,-4.417324746E-3,-1.296748664E-2,-7.577991486E-3,1.565549177E-2
1.183547417E0,-1.586966762E-2,-1.377221883E-2,-1.880406082E-2,2.819774929E-2
1.193486417E0,-8.100485886E-3,-1.488186504E-2,-9.073709249E-3,1.922030120E-2
1.203424417E0,-7.704282207E-3,2.951295306E-3,-1.251596510E-2,1.499051336E-2
1.213362417E0,1.205170989E-2,-8.358932817E-3,-1.625935256E-2,2.189707777E-2
1.223300417E0,9.407987259E-4,-1.749476645E-2,-7.727095485E-3,1.914836703E-2
1.233239417E0,-4.463627385E-3,-2.089223400E-2,-1.386374831E-2,2.546788033E-2
1.243177417E0,-4.811162129E-4,-7.659025672E-3,1.023672044E-2,1.279384979E-2
1.253115417E0,-1.596095270E-2,-6.015094696E-3,-2.635924816E-3,1.725924318E-2
1.263053417E0,-2.065940518E-2,-1.976083203E-2,-1.955016553E-2,3.463394978E-2
1.272992417E0,-6.500623729E-3,-9.334287217E-3,-2.194401562E-2,2.471693444E-2
1.282930417E0,-1.316080336E-2,-6.236245071E-3,-2.433903515E-2,2.836346470E-2
1.292868417E0,-9.599090712E-3,-5.114575520E-3,-1.281300366E-2,1.680697736E-2
1.302807417E0,-7.906075101E-4,-2.373770384E-2,-2.044654369E-2,3.133950850E-2
1.312745417E0,-2.776134652E-3,-1.075310268E-2,4.102991223E-3,1.183936982E-2
1.322683417E0,2.140327608E-3,-1.461853934E-2,-1.056533396E-2,1.816339661E-2
1.332621417E0,-1.209779782E-3,3.072478850E-3,-2.780935764E-3,4.317093598E-3
1.342560417E0,-2.578114126E-2,-5.975539195E-3,7.248793244E-3,2.743937530E-2
1.352498417E0,-1.292284452E-2,-7.399957473E-3,-6.521984339E-3,1.625716952E-2
1.362436417E0,-1.028913525E-3,-4.423030349E-4,-1.595295846E-2,1.599222245E-2
1.372374417E0,-3.228736552E-3,-9.340246352E-3,-9.666032195E-3,1.382378819E-2
1.382313417E0,8.216859181E-3,-1.308872957E-2,-8.318248987E-3,1.755063767E-2
1.392251417E0,-8.090993296E-4,-2.896562170E-3,-1.340766549E-2,1.374082268E-2
1.402189417E0,-8.618220286E-3,-9.977784720E-3,-9.515758753E-3,1.625975318E-2
1.412127417E0,1.470337193E-3,-4.650546424E-3,-1.789832711E-2,1.855099962E-2
1.422066417E0,-1.187053300E-2,-1.583939914E-3,-1.370645821E-2,1.820124765E-2
1.432004417E0,-1.273191466E-2,-5.846196958E-3,-4.125795364E-3,1.460485731E-2
1.441942417E0,-1.467166906E-3,-4.663743773E-3,-1.924377143E-2,1.985512084E-2
1.451880417E0,-6.151453592E-4,-8.013357804E-4,-1.325622261E-2,1.329465985E-2
1.461819417E0,-1.523446814E-2,-3.257031594E-3,-2.717727363E-2,3.132573185E-2
1.471757417E0,-1.066758258E-2,-6.873372307E-3,-2.553128242E-2,2.851117232E-2
1.481695417E0,-6.101331990E-3,-3.857791889E-4,-1.924377143E-2,2.019152834E-2
1.491633417E0,-1.879032443E-2,-5.439164510E-3,-1.220898628E-2,2.305905785E-2
1.501572417E0,1.089227098E-2,1.567608824E-3,-9.514004588E-3,1.454700133E-2
1.511510417E0,-3.878531232E-4,3.479189244E-3,-9.514589310E-3,1.013817526E-2
1.521448417E0,2.860339126E-4,-6.420932575E-3,-5.471824408E-3,8.441033875E-3
1.531386417E0,4.624334453E-3,1.033424560E-2,-2.088859320E-2,2.375951235E-2
1.541325417E0,-2.057132693E-3,6.485384423E-5,-7.416608334E-3,7.696887690E-3
1.551263417E0,1.709269043E-3,9.995061415E-4,-2.476880550E-3,3.171048793E-3
1.561201417E0,4.322828259E-5,6.181530207E-3,-8.464429379E-3,1.048140015E-2
1.571139417E0,9.244429674E-3,6.607856182E-4,-9.063184261E-3,1.296292508E-2
1.581078417E0,2.958736802E-3,-1.483263423E-2,-1.969225287E-2,2.483034404E-2
1.591016417E0,-2.386700953E-3,-8.835599665E-4,-8.314740658E-4,2.677380955E-3
1.600954417E0,-5.990618616E-3,-1.318373540E-2,-8.315910101E-3,1.669888474E-2
1.610892417E0,-2.338138000E-2,-9.947105111E-3,-2.223696113E-2,3.376560781E-2
1.620831417E0,8.681534668E-3,-7.893081035E-3,-1.101089180E-2,1.609066532E-2
1.630769417E0,8.879641076E-3,7.757836764E-3,-1.595120430E-2,1.983615324E-2
1.640707417E0,-8.130512252E-3,-1.691978187E-2,-2.330115438E-3,1.891596378E-2
1.650646417E0,-3.525638063E-3,-7.516641403E-3,-2.418583810E-2,2.557117100E-2
1.660584417E0,-2.175538353E-2,-6.714090498E-3,-1.685167551E-2,2.832586612E-2
1.670522417E0,-8.399566398E-3,-1.390449610E-2,-9.666032195E-3,1.890290734E-2
1.680460417E0,1.644211003E-2,-1.554271005E-2,-1.295801461E-2,2.607352988E-2
1.690399417E0,-3.745461395E-4,-8.989573298E-3,-9.514589310E-3,1.309504191E-2
1.700337417E0,-1.210842788E-2,-5.227141273E-3,-2.912439644E-2,3.197135436E-2
1.710275417E0,-1.301368193E-2,-3.907995718E-3,-1.131260812E-2,1.768059531E-2
1.720213417E0,-1.651081938E-2,3.322335400E-3,-2.448580027E-2,2.971867231E-2
1.730152417E0,-8.415006702E-3,-7.368720551E-3,-9.667201638E-3,1.478394967E-2
1.740090417E0,1.185182647E-2,-7.493355323E-3,-2.074358225E-2,2.503821817E-2
1.750028417E0,-1.409177602E-2,-2.419382778E-2,-1.370879710E-2,3.117451799E-2
1.759966417E0,-1.460398754E-2,-1.000221055E-2,-1.135529280E-3,1.773725161E-2
1.769905417E0,-1.215019892E-2,-5.875433036E-3,-1.670374095E-2,2.147470626E-2
1.779843417E0,-1.715472573E-3,-2.142534018E-3,-1.056533396E-2,1.091602400E-2
1.789781417E0,5.750188418E-4,-6.056408929E-3,7.099104524E-3,9.349225680E-3
1.799719417E0,1.549530420E-3,1.299177771E-2,-4.425757527E-3,1.381212012E-2
1.809658417E0,-7.976524914E-3,3.146989737E-3,-8.915249705E-3,1.236972802E-2
1.819596417E0,-9.874298139E-3,-8.488693039E-3,-7.717739940E-3,1.513681549E-2
1.829534417E0,-1.539088572E-2,-9.664394518E-3,-7.418362498E-3,1.962936542E-2
1.839472417E0,-1.321461601E-3,-1.538032876E-2,-2.268661201E-2,2.744053822E-2
1.849411417E0,5.931621124E-3,-1.669800566E-2,-2.792513251E-2,3.307295796E-2
1.859349417E0,-1.465224534E-2,5.669058301E-5,-1.565065742E-2,2.143909011E-2
