"event","experiment time","system time","system time text"
"START",0.000000000E0,1740526907.965,"2025-02-25 18:41:47.965 UTC-05:00"
"PAUSE",9.439935219E2,1740527851.958,"2025-02-25 18:57:31.958 UTC-05:00"
