Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 21:30:14.983,COM3,, -0.005, -0.015, 1.000, 0.000, 0.000, 0.000, -0.176, -0.280, -71.406, -34.727, 11.853, -46.447, 26.37,,,,,,,,,,,,,,,,
 21:30:15.081,COM3,, -0.004, -0.016, 1.001, 0.000, 0.000, 0.000, -0.176, -0.280, -71.406, -34.527, 11.820, -46.440, 26.38,,,,,,,,,,,,,,,,
 21:30:15.164,COM3,, -0.005, -0.015, 1.001, 0.000, 0.000, 0.000, -0.176, -0.280, -71.406, -34.740, 11.880, -46.207, 26.34,,,,,,,,,,,,,,,,
 21:30:15.284,COM3,, -0.005, -0.015, 1.002, 0.000, 0.000, 0.000, -0.176, -0.280, -71.406, -34.693, 11.827, -46.413, 26.35,,,,,,,,,,,,,,,,
 21:30:15.375,COM3,, -0.005, -0.015, 1.001, 0.000, 0.000, 0.000, -0.176, -0.280, -71.406, -34.673, 11.887, -46.687, 26.35,,,,,,,,,,,,,,,,
 21:30:15.492,COM3,, -0.005, -0.016, 1.001, 0.000, 0.000, 0.000, -0.176, -0.280, -71.406, -34.620, 11.907, -46.420, 26.34,,,,,,,,,,,,,,,,
 21:30:15.581,COM3,, -0.005, -0.015, 1.001, 0.000, 0.000, 0.000, -0.176, -0.280, -71.406, -34.667, 11.907, -46.507, 26.35,,,,,,,,,,,,,,,,
 21:30:15.682,COM3,, -0.005, -0.015, 1.001, 0.000, 0.000, 0.000, -0.176, -0.280, -71.406, -34.800, 11.907, -46.433, 26.35,,,,,,,,,,,,,,,,
 21:30:15.761,COM3,, -0.005, -0.016, 1.000, 0.000, 0.000, 0.000, -0.176, -0.280, -71.406, -34.680, 11.813, -46.300, 26.35,,,,,,,,,,,,,,,,
 21:30:15.878,COM3,, -0.005, -0.015, 1.000, 0.000, 0.000, 0.000, -0.176, -0.280, -71.406, -34.633, 11.827, -46.353, 26.34,,,,,,,,,,,,,,,,
 21:30:15.989,COM3,, -0.005, -0.015, 1.000, 0.000, 0.000, 0.000, -0.176, -0.280, -71.406, -34.767, 11.873, -46.587, 26.37,,,,,,,,,,,,,,,,
 21:30:16.067,COM3,, -0.005, -0.015, 1.000, 0.000, 0.000, 0.000, -0.176, -0.280, -71.406, -34.633, 11.933, -46.647, 26.37,,,,,,,,,,,,,,,,
 21:30:16.186,COM3,, -0.004, -0.015, 1.001, 0.000, 0.000, 0.000, -0.176, -0.280, -71.406, -34.620, 11.913, -46.487, 26.38,,,,,,,,,,,,,,,,
 21:30:16.271,COM3,, -0.004, -0.015, 1.001, 0.000, 0.000, 0.000, -0.176, -0.280, -71.406, -34.633, 11.813, -46.340, 26.34,,,,,,,,,,,,,,,,
 21:30:16.376,COM3,, -0.004, -0.015, 1.001, 0.000, 0.000, 0.000, -0.176, -0.280, -71.406, -34.660, 11.920, -46.453, 26.38,,,,,,,,,,,,,,,,
 21:30:16.479,COM3,, -0.005, -0.015, 1.001, 0.000, 0.000, 0.000, -0.176, -0.280, -71.406, -34.740, 11.860, -46.333, 26.34,,,,,,,,,,,,,,,,
 21:30:16.594,COM3,, -0.005, -0.015, 1.001, 0.000, 0.000, 0.000, -0.176, -0.280, -71.406, -34.667, 11.720, -46.593, 26.37,,,,,,,,,,,,,,,,
 21:30:16.683,COM3,, -0.004, -0.015, 1.001, 0.000, 0.000, 0.000, -0.176, -0.280, -71.406, -34.713, 11.840, -46.427, 26.35,,,,,,,,,,,,,,,,
 21:30:16.773,COM3,, -0.005, -0.015, 0.999, 0.000, 0.000, 0.000, -0.176, -0.280, -71.406, -34.647, 11.773, -46.573, 26.34,,,,,,,,,,,,,,,,
 21:30:16.919,COM3,, -0.005, -0.015, 1.000, 0.000, 0.000, 0.000, -0.176, -0.280, -71.406, -34.660, 11.920, -46.687, 26.34,,,,,,,,,,,,,,,,
 21:30:17.005,COM3,, -0.005, -0.015, 1.000, 0.000, 0.000, 0.000, -0.176, -0.280, -71.406, -34.667, 11.887, -46.447, 26.32,,,,,,,,,,,,,,,,
 21:30:17.103,COM3,, -0.005, -0.015, 1.000, 0.000, 0.000, 0.000, -0.176, -0.280, -71.406, -34.680, 11.940, -46.760, 26.32,,,,,,,,,,,,,,,,
 21:30:17.201,COM3,, -0.004, -0.015, 1.000, 0.000, 0.000, 0.000, -0.176, -0.280, -71.406, -34.667, 11.860, -46.600, 26.38,,,,,,,,,,,,,,,,
 21:30:17.298,COM3,, -0.004, -0.015, 1.001, 0.000, 0.000, 0.000, -0.176, -0.280, -71.406, -34.800, 11.927, -46.447, 26.29,,,,,,,,,,,,,,,,
 21:30:17.399,COM3,, -0.004, -0.015, 1.001, 0.000, 0.000, 0.000, -0.176, -0.280, -71.406, -34.700, 11.880, -46.540, 26.32,,,,,,,,,,,,,,,,
 21:30:17.520,COM3,, -0.004, -0.015, 1.001, 0.000, 0.000, 0.000, -0.176, -0.280, -71.406, -34.640, 11.853, -46.367, 26.35,,,,,,,,,,,,,,,,
 21:30:17.618,COM3,, -0.004, -0.015, 1.001, 0.000, 0.000, 0.000, -0.176, -0.286, -71.406, -34.640, 11.953, -46.427, 26.37,,,,,,,,,,,,,,,,
 21:30:17.700,COM3,, -0.005, -0.015, 1.000, 0.000, 0.000, 0.000, -0.176, -0.286, -71.406, -34.627, 11.840, -46.773, 26.35,,,,,,,,,,,,,,,,
 21:30:17.810,COM3,, -0.004, -0.015, 1.001, 0.000, 0.000, 0.000, -0.176, -0.286, -71.406, -34.647, 11.800, -46.500, 26.34,,,,,,,,,,,,,,,,
 21:30:17.862,COM3,, -0.005, -0.015, 1.002, 0.000, 0.000, 0.000, -0.176, -0.286, -71.406, -34.687, 11.940, -46.480, 26.37,,,,,,,,,,,,,,,,
 21:30:17.956,COM3,, -0.004, -0.015, 1.000, 0.000, 0.000, 0.000, -0.176, -0.286, -71.406, -34.627, 11.827, -46.753, 26.34,,,,,,,,,,,,,,,,
 21:30:18.065,COM3,, -0.004, -0.016, 1.002, 0.000, 0.000, 0.000, -0.176, -0.286, -71.406, -34.733, 11.767, -46.273, 26.34,,,,,,,,,,,,,,,,
 21:30:18.163,COM3,, -0.005, -0.015, 0.999, 0.000, 0.000, 0.000, -0.176, -0.286, -71.406, -34.680, 11.753, -46.513, 26.35,,,,,,,,,,,,,,,,
 21:30:18.259,COM3,, -0.004, -0.015, 1.001, 0.000, 0.000, 0.000, -0.176, -0.286, -71.406, -34.633, 11.947, -46.733, 26.34,,,,,,,,,,,,,,,,
 21:30:18.357,COM3,, -0.005, -0.016, 1.001, 0.000, 0.000, 0.000, -0.176, -0.286, -71.406, -34.653, 11.907, -46.633, 26.35,,,,,,,,,,,,,,,,
 21:30:18.457,COM3,, -0.004, -0.015, 1.001, 0.000, 0.000, 0.000, -0.176, -0.286, -71.406, -34.707, 11.900, -46.333, 26.37,,,,,,,,,,,,,,,,
 21:30:18.553,COM3,, -0.004, -0.014, 1.001, 0.000, 0.000, 0.000, -0.176, -0.286, -71.406, -34.680, 11.807, -46.440, 26.38,,,,,,,,,,,,,,,,
 21:30:18.671,COM3,, -0.005, -0.016, 1.002, 0.000, 0.000, 0.000, -0.176, -0.286, -71.406, -34.680, 11.787, -46.453, 26.35,,,,,,,,,,,,,,,,
 21:30:18.767,COM3,, -0.005, -0.015, 1.000, 0.000, 0.000, 0.000, -0.176, -0.286, -71.406, -34.653, 11.907, -46.760, 26.30,,,,,,,,,,,,,,,,
 21:30:18.867,COM3,, -0.004, -0.015, 1.001, 0.000, 0.000, 0.000, -0.176, -0.286, -71.406, -34.727, 11.800, -46.340, 26.34,,,,,,,,,,,,,,,,
 21:30:18.965,COM3,, -0.005, -0.015, 1.001, 0.000, 0.000, 0.000, -0.176, -0.286, -71.406, -34.713, 11.867, -46.393, 26.35,,,,,,,,,,,,,,,,
 21:30:19.062,COM3,, -0.005, -0.015, 1.000, 0.000, 0.000, 0.000, -0.176, -0.286, -71.406, -34.820, 11.860, -46.333, 26.34,,,,,,,,,,,,,,,,
