Time (s),Absolute acceleration (m/s^2)
1.808701667E0,7.660769881E-2
1.818638667E0,8.445031896E-2
1.828575667E0,8.999027713E-2
1.838512667E0,8.267157255E-2
1.848449667E0,8.090152160E-2
1.858386667E0,8.989941781E-2
1.868322667E0,9.010530597E-2
1.878259667E0,9.075627973E-2
1.888196667E0,8.063150700E-2
1.898133667E0,8.879521371E-2
1.908070667E0,8.442734570E-2
1.918007667E0,8.981082201E-2
1.927944667E0,8.264698161E-2
1.937880667E0,8.162779307E-2
1.947817667E0,7.595460076E-2
1.957754667E0,8.285443228E-2
1.967691667E0,7.525007765E-2
1.977628667E0,8.676548059E-2
1.987565667E0,8.114455236E-2
1.997502667E0,8.694975290E-2
2.007438667E0,8.467814473E-2
2.017375667E0,8.597222714E-2
2.027312667E0,8.318116992E-2
2.037249667E0,9.283621109E-2
2.047186667E0,9.462169350E-2
2.057123667E0,8.865172411E-2
2.067060667E0,8.195722042E-2
2.076996667E0,8.429563148E-2
2.086933667E0,8.129791075E-2
2.096870667E0,7.360613442E-2
2.106807667E0,8.197508102E-2
2.116744667E0,8.700917750E-2
2.126681667E0,9.250685147E-2
2.136618667E0,8.974153186E-2
2.146554667E0,8.083943395E-2
2.156491667E0,8.893778193E-2
2.166428667E0,9.936853086E-2
2.176365667E0,8.757295605E-2
2.186302667E0,8.714318704E-2
2.196239667E0,8.930467783E-2
2.206176667E0,9.021939832E-2
2.216112667E0,8.696276379E-2
2.226049667E0,7.639488576E-2
2.235986667E0,8.514823675E-2
2.245923667E0,7.825202605E-2
2.255860667E0,8.708805721E-2
2.265797667E0,7.967376096E-2
2.275734667E0,9.090429102E-2
2.285670667E0,8.440724855E-2
2.295607667E0,8.457332806E-2
2.305544667E0,9.208575543E-2
2.315481667E0,9.680452483E-2
2.325418667E0,8.447507261E-2
2.335355667E0,8.941309212E-2
2.345291667E0,9.078414148E-2
2.355228667E0,8.143680227E-2
2.365165667E0,8.628800102E-2
2.375102667E0,7.612907641E-2
2.385039667E0,8.476229250E-2
2.394976667E0,8.526824007E-2
2.404913667E0,9.751816267E-2
2.414849667E0,9.507063342E-2
2.424786667E0,8.968179034E-2
2.434723667E0,8.430229586E-2
2.444660667E0,9.034174823E-2
2.454597667E0,7.760417529E-2
2.464534667E0,9.398081782E-2
2.474472458E0,9.202718214E-2
2.484408458E0,7.960912578E-2
2.494345458E0,7.819363837E-2
2.504282458E0,9.132405176E-2
2.514219458E0,8.436643460E-2
2.524156458E0,9.013201423E-2
2.534093458E0,8.317209670E-2
2.544029458E0,8.665117944E-2
2.553966458E0,7.808619902E-2
2.563903458E0,8.470863378E-2
2.573840458E0,8.159874620E-2
2.583777458E0,7.965996913E-2
2.593714458E0,7.548143429E-2
2.603651458E0,7.804766269E-2
2.613587458E0,8.990986883E-2
2.623524458E0,8.998349769E-2
2.633461458E0,8.527836546E-2
2.643398458E0,8.973388499E-2
2.653335458E0,8.533661412E-2
2.663272458E0,8.014758655E-2
2.673209458E0,8.766617188E-2
2.683145458E0,8.601789837E-2
2.693082458E0,7.834743280E-2
2.703019458E0,8.501634282E-2
2.712956458E0,8.380769123E-2
2.722893458E0,7.915616385E-2
2.732830458E0,8.151827215E-2
2.742766458E0,9.157003475E-2
2.752703458E0,8.974249713E-2
2.762640458E0,8.339525743E-2
2.772577458E0,7.626860519E-2
2.782514458E0,8.541077045E-2
2.792451458E0,8.045823655E-2
