"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.740670882691024E9,"2025-02-27 10:41:22.691 UTC-05:00"
"PAUSE",2.686214430833334E3,1.740673568903958E9,"2025-02-27 11:26:08.904 UTC-05:00"
