Time (s),Absolute acceleration (m/s^2)
8.495114730E-1,1.896189786E-2
8.542567330E-1,1.457494736E-2
8.590019940E-1,2.136486193E-2
8.637472540E-1,1.040968287E-2
8.684924620E-1,9.765891373E-3
8.732377230E-1,9.775643243E-3
8.779829830E-1,7.170278517E-3
8.827282440E-1,2.142205961E-2
8.874735040E-1,9.934463894E-3
8.922187640E-1,1.110301225E-2
8.969640250E-1,1.980901626E-2
9.017092850E-1,1.545512014E-2
9.064545460E-1,1.118440737E-2
9.111997540E-1,6.042593224E-3
9.159450140E-1,1.163027909E-2
9.206902750E-1,1.599523795E-3
9.254355350E-1,1.666166803E-2
9.301807960E-1,1.249499695E-2
9.349260560E-1,8.067083221E-3
9.396713170E-1,1.132925708E-2
9.444165770E-1,1.964930335E-2
9.491618370E-1,1.530317775E-2
9.539070980E-1,1.103137309E-2
9.586523580E-1,2.166950758E-2
9.633975670E-1,2.091361573E-2
9.681428270E-1,1.362661781E-2
9.728880870E-1,1.770849618E-2
9.776333480E-1,1.138183463E-2
9.823786080E-1,2.074485174E-2
9.871238690E-1,1.906262422E-2
9.918691290E-1,1.821725263E-2
9.966143890E-1,1.283015475E-2
1.001359650E0,1.536100545E-2
1.006104910E0,9.621135119E-3
1.010850119E0,1.083576970E-2
1.015595379E0,2.738015202E-2
1.020340639E0,3.127066411E-2
1.025085900E0,1.699827752E-2
1.029831160E0,2.462248155E-2
1.034576421E0,1.292952144E-2
1.039321681E0,1.971676182E-2
1.044066942E0,3.377015129E-2
1.048812202E0,9.770774619E-3
1.053557462E0,1.405889880E-2
1.058302723E0,8.066404344E-3
1.063047931E0,8.797826451E-3
1.067793192E0,2.149121051E-2
1.072538452E0,1.594455271E-2
1.077283712E0,3.986817060E-3
1.082028973E0,7.758321097E-3
1.086774233E0,1.971330540E-2
1.091519494E0,8.635151834E-3
1.096264754E0,2.061589081E-2
1.101010014E0,2.138214968E-2
1.105755223E0,8.701066200E-3
1.110500483E0,1.081977644E-2
1.115245744E0,8.352869577E-3
1.119991004E0,1.946200958E-2
1.124736264E0,7.265918763E-3
1.129481525E0,2.480438983E-2
1.134226785E0,2.104878552E-2
1.138972046E0,9.524326256E-3
1.143717306E0,2.634068006E-2
1.148462514E0,7.738747242E-3
1.153207775E0,1.443466106E-2
1.157953035E0,9.664884822E-3
1.162698296E0,1.823837278E-3
1.167443556E0,1.606066801E-2
1.172188817E0,1.210250276E-2
1.176934077E0,1.338264214E-2
1.181679337E0,1.115263759E-2
1.186424598E0,4.991204615E-3
1.191169806E0,2.345415093E-2
1.195915067E0,1.876984813E-2
1.200660327E0,2.351256504E-2
1.205405587E0,1.825986157E-2
1.210150848E0,1.149995570E-2
1.214896108E0,7.857740692E-3
1.219641369E0,1.318174421E-2
1.224386629E0,1.532326961E-2
1.229131889E0,1.110936987E-2
1.233877098E0,1.298240307E-2
1.238622358E0,1.585140839E-2
1.243367619E0,1.310418117E-2
1.248112879E0,1.668016500E-2
1.252858139E0,1.041829714E-2
1.257603400E0,1.214459332E-2
1.262348660E0,1.774850267E-2
1.267093921E0,1.817812720E-2
1.271839181E0,1.124127876E-2
1.276584389E0,5.518546913E-3
1.281329650E0,1.200109830E-2
1.286074910E0,8.109538448E-3
1.290820171E0,8.254063129E-3
1.295565431E0,2.650481565E-2
1.300310692E0,4.165538089E-3
1.305055952E0,3.757412588E-3
1.309801212E0,2.536518087E-2
1.314546421E0,8.686212938E-3
1.319291681E0,1.288536709E-2
1.324036942E0,2.723418754E-2
1.328782202E0,1.825627386E-2
1.333527462E0,1.937543575E-2
1.338272723E0,5.413588808E-3
1.343017983E0,8.534435608E-3
1.347763244E0,8.425213684E-3
1.352508452E0,1.804185636E-2
1.357253712E0,9.503002545E-3
1.361998973E0,1.274946758E-2
1.366744233E0,1.195877492E-2
1.371489494E0,1.624039931E-2
1.376234754E0,9.976499308E-3
1.380980014E0,1.136215183E-2
1.385725275E0,5.405198265E-3
1.390470483E0,1.744530397E-2
1.395215744E0,5.528833917E-3
1.399961004E0,2.123825646E-2
1.404706264E0,1.462136463E-2
1.409451525E0,1.287149064E-2
1.414196785E0,2.513754927E-2
