"event","experiment time","system time","system time text"
"START",0.000000000E0,1740793279.509,"2025-02-28 20:41:19.509 UTC-05:00"
"PAUSE",2.470963882E3,1740795750.473,"2025-02-28 21:22:30.473 UTC-05:00"
