Time (s),Absolute acceleration (m/s^2)
1.570776500E0,2.712549311E-2
1.580712500E0,2.184363536E-2
1.590649500E0,2.164165535E-2
1.600585500E0,3.069353120E-2
1.610522500E0,3.027946159E-2
1.620458500E0,1.601997798E-2
1.630395500E0,3.546514106E-3
1.640331500E0,1.654647005E-2
1.650268500E0,7.531124067E-3
1.660204500E0,2.379213540E-2
1.670141500E0,1.510999832E-2
1.680077500E0,1.895608443E-2
1.690014500E0,2.272277959E-2
1.699950500E0,1.249985933E-2
1.709887500E0,1.330753279E-2
1.719823500E0,5.535127867E-3
1.729760500E0,1.456863596E-2
1.739697500E0,2.261406473E-2
1.749633500E0,2.559142294E-2
1.759570500E0,2.086305188E-2
1.769506500E0,2.207974559E-2
1.779443500E0,2.033182560E-2
1.789379500E0,1.317723697E-2
1.799316500E0,1.474265310E-2
1.809252500E0,1.545910584E-2
1.819189500E0,2.200847543E-2
1.829125500E0,2.699837437E-2
1.839062500E0,2.013153139E-2
1.848998500E0,7.196472405E-3
1.858935500E0,1.048947930E-2
1.868871500E0,1.042489592E-2
1.878808500E0,2.594153602E-2
1.888744500E0,2.562281881E-2
1.898681500E0,1.874872985E-2
1.908617500E0,2.852887570E-2
1.918554500E0,1.100587992E-2
1.928490500E0,2.963388843E-2
1.938427500E0,3.500628729E-2
1.948363500E0,1.961323980E-2
1.958300500E0,8.809615587E-3
1.968236500E0,4.461069013E-2
1.978173500E0,8.826285290E-3
1.988109500E0,2.710325772E-2
1.998046500E0,1.356512027E-2
2.007982500E0,1.238873267E-2
2.017919500E0,1.543379751E-2
2.027856500E0,1.569967823E-2
2.037792500E0,4.075644174E-2
2.047729500E0,1.500886321E-2
2.057665500E0,4.257177962E-3
2.067602500E0,9.864878238E-3
2.077538500E0,2.687929003E-2
2.087475500E0,1.537484843E-2
2.097411500E0,2.430609249E-2
2.107348500E0,1.867690072E-2
2.117284500E0,1.698314948E-2
2.127221500E0,3.159469567E-2
2.137157500E0,2.710293303E-2
2.147094500E0,2.522725911E-2
2.157030500E0,1.479042891E-2
2.166967500E0,9.691307915E-3
2.176903500E0,1.506971196E-2
2.186840792E0,2.195462402E-2
2.196776792E0,1.621551590E-2
2.206713792E0,1.012119951E-2
2.216649792E0,1.613327132E-2
2.226586792E0,1.340594310E-2
2.236522792E0,2.865786058E-2
2.246459792E0,2.160284234E-2
2.256395792E0,1.835589438E-2
2.266332792E0,1.794559656E-2
2.276268792E0,2.178960340E-2
2.286205792E0,2.598537346E-2
2.296141792E0,2.318716657E-2
2.306078792E0,2.829007998E-2
2.316015792E0,2.047134166E-2
2.325951792E0,1.836064381E-2
2.335888792E0,1.023871600E-2
2.345824792E0,3.224824515E-2
2.355761792E0,1.693150056E-2
2.365697792E0,2.105741142E-2
2.375634792E0,1.174415954E-2
2.385570792E0,2.714434754E-2
2.395507792E0,4.150988983E-2
2.405443792E0,8.486915245E-3
2.415380792E0,1.468692593E-2
2.425316792E0,1.743753774E-2
2.435253792E0,2.640784280E-2
2.445189792E0,1.940424482E-2
2.455126792E0,1.453734578E-2
2.465062792E0,2.035012390E-2
2.474999792E0,3.008002834E-2
2.484935792E0,1.675376037E-2
2.494872792E0,1.832183620E-2
2.504808792E0,2.670423688E-2
2.514745792E0,4.111809640E-2
2.524681792E0,1.886882895E-2
2.534618792E0,3.174974475E-2
2.544554792E0,1.731328164E-2
2.554491792E0,2.222554708E-2
2.564428792E0,2.709553082E-2
2.574364792E0,3.389499902E-2
2.584301792E0,2.013057567E-2
2.594237792E0,1.408420368E-2
2.604174792E0,1.688262475E-2
2.614110792E0,2.768264671E-2
2.624047792E0,2.387294528E-2
2.633983792E0,1.991248879E-2
2.643920792E0,3.467886386E-2
2.653856792E0,2.148451386E-2
2.663793792E0,2.709497607E-2
2.673729792E0,1.388227701E-2
2.683666792E0,1.396381239E-2
2.693602792E0,2.191052576E-2
2.703539792E0,3.041564690E-2
2.713475792E0,1.456807241E-2
2.723412792E0,1.124963076E-2
2.733348792E0,2.452184669E-2
2.743285792E0,2.444810265E-2
2.753221792E0,1.953361845E-2
2.763158792E0,2.728508214E-2
2.773094792E0,2.529060308E-2
2.783031792E0,1.033584850E-2
2.792967792E0,2.875354879E-2
2.802904792E0,2.093237574E-2
2.812840792E0,1.267478775E-2
2.822777792E0,2.992011062E-2
2.832714792E0,2.437203720E-2
2.842650792E0,2.044751381E-2
2.852587792E0,1.700967425E-2
2.862523792E0,1.434717362E-2
2.872460792E0,2.611277223E-2
2.882396792E0,1.446427012E-2
2.892333792E0,3.514971130E-2
2.902269792E0,2.223039729E-2
2.912206792E0,1.159730910E-2
2.922142792E0,2.647483073E-2
2.932079792E0,2.228912781E-2
2.942015792E0,1.808812081E-2
2.951952792E0,2.505734029E-2
2.961888792E0,2.665818753E-2
2.971825792E0,1.328356482E-2
2.981761792E0,6.026043587E-3
2.991698792E0,1.631139200E-2
3.001634792E0,1.556844897E-2
3.011571792E0,1.157487719E-2
3.021507792E0,1.623230415E-2
3.031444792E0,1.515755021E-2
3.041380792E0,1.265624617E-2
3.051317792E0,2.862166626E-3
3.061253792E0,9.602028104E-3
3.071190792E0,2.158950179E-2
3.081127792E0,2.044053212E-2
3.091063792E0,2.822820222E-2
3.101000792E0,1.903390806E-2
3.110936792E0,1.887305841E-2
3.120873792E0,2.139795943E-2
3.130809792E0,2.366421529E-2
3.140746792E0,2.431332598E-2
3.150682792E0,2.063203061E-2
3.160619792E0,3.074287109E-2
3.170555792E0,2.449100215E-2
3.180492792E0,2.547213649E-2
3.190428125E0,1.997142318E-2
3.200365125E0,1.789125048E-2
3.210301125E0,1.778044167E-2
3.220238125E0,2.031550461E-2
3.230174125E0,3.629776712E-2
3.240111125E0,1.672147126E-2
3.250047125E0,2.412022875E-2
3.259984125E0,8.765095552E-3
3.269920125E0,3.459214090E-2
3.279857125E0,1.738588812E-2
3.289793125E0,2.784721393E-2
3.299730125E0,2.313628258E-2
3.309667125E0,2.829921394E-2
3.319603125E0,1.852088909E-2
3.329540125E0,2.174499759E-2
3.339476125E0,5.258885474E-3
3.349413125E0,3.813123590E-3
3.359349125E0,1.425175959E-2
3.369286125E0,3.321874175E-2
3.379222125E0,2.425070193E-2
3.389159125E0,1.143146009E-2
3.399095125E0,2.211203672E-2
3.409032125E0,2.163759731E-2
3.418968125E0,1.905184559E-2
3.428905125E0,1.607288042E-2
3.438841125E0,1.202092893E-2
3.448778125E0,1.748972348E-2
3.458714125E0,8.940035891E-3
