"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.665532500E-1,-1.066413021E-2,-4.769304288E-3,-2.336138070E-2,2.611941892E-2
6.764902500E-1,-1.492981221E-2,-3.378137480E-4,-1.108632088E-2,1.859892259E-2
6.864262500E-1,-8.625185554E-3,9.172613989E-3,-7.643480301E-3,1.472934025E-2
6.963632500E-1,-4.178989038E-3,-1.654884456E-2,-1.512791634E-2,2.280750004E-2
7.062992500E-1,-4.114368169E-3,-5.568531873E-3,-1.407951057E-2,1.568977981E-2
7.162362500E-1,-6.425170664E-3,-4.131108108E-3,-2.703752518E-3,8.103033379E-3
7.261722500E-1,-1.736365634E-2,-7.557434868E-4,-3.601884842E-3,1.774940236E-2
7.361092501E-1,-1.983376006E-2,-1.106995324E-2,-9.438575506E-3,2.459692279E-2
7.460452501E-1,-1.821654013E-2,-2.618328352E-3,-1.392982185E-2,2.308111597E-2
7.559822501E-1,-1.024967911E-2,-2.288773339E-2,-1.542729378E-2,2.944326162E-2
7.659182501E-1,-1.223090991E-2,-1.531161941E-2,-5.547253489E-3,2.036695528E-2
7.758552501E-1,-2.337581601E-2,9.287863523E-3,-2.852856517E-3,2.531465926E-2
7.857912501E-1,-9.935387839E-3,9.614859922E-3,-2.231239021E-2,2.624881368E-2
7.957282501E-1,-8.598981577E-3,-2.927125292E-4,-9.888226390E-3,1.310744773E-2
8.056642500E-1,-1.500510197E-2,-4.980110116E-3,-7.642895579E-3,1.756042239E-2
8.156012500E-1,-2.938550203E-3,-1.356708434E-2,-8.541027904E-3,1.629877334E-2
8.255372500E-1,-2.230587604E-2,-1.496088240E-2,-2.404375076E-3,2.696592531E-2
8.354742500E-1,-1.928803668E-2,1.316578262E-3,-1.063783944E-2,2.206638542E-2
8.454102500E-1,-1.128737031E-2,-6.049506473E-3,-2.201418221E-2,2.546812666E-2
8.553472500E-1,-1.127428259E-2,-6.448807348E-3,-9.290640950E-3,1.596911311E-2
8.652832501E-1,-9.121206456E-3,-1.629730922E-2,-1.273348153E-2,2.260398741E-2
8.752202501E-1,5.804773089E-3,5.634842953E-4,-9.440914392E-3,1.109701625E-2
8.851562501E-1,-1.743192144E-2,2.600457799E-4,-5.698696375E-3,1.834160978E-2
8.950932501E-1,6.028313743E-3,-3.691237606E-4,-1.258496225E-2,1.395915806E-2
9.050292501E-1,-1.240679005E-2,2.613202902E-3,-1.183651865E-2,1.734532912E-2
9.149662501E-1,-7.700040692E-3,-8.077499019E-3,-4.501771331E-3,1.203339363E-2
9.249022501E-1,-2.074406419E-2,2.558207097E-3,-7.046479583E-3,2.205705096E-2
9.348392501E-1,-5.647287701E-3,2.699389947E-3,1.636050940E-3,6.469561587E-3
9.447752500E-1,-6.719775544E-3,-4.744257191E-3,-6.897375584E-3,1.073485676E-2
9.547122500E-1,-1.388793203E-2,2.576027401E-3,-2.620722055E-2,2.977127781E-2
9.646482500E-1,7.873344398E-4,3.137748395E-3,-1.587869883E-2,1.620488929E-2
9.745852500E-1,-1.201002678E-2,-4.554231819E-3,1.385790110E-4,1.284527052E-2
9.845212500E-1,-2.475539345E-2,6.840168801E-3,-1.228616953E-2,2.847046498E-2
9.944582500E-1,-9.414307277E-3,8.126396360E-3,-1.947181284E-2,2.310452325E-2
1.004394250E0,8.463342162E-4,-1.204020732E-2,-1.108924448E-2,1.639067470E-2
1.014331250E0,-9.070235181E-3,-6.993301897E-3,-1.957647800E-3,1.161928666E-2
1.024267250E0,-1.043480972E-2,-9.056514781E-4,1.036711335E-3,1.052521871E-2
1.034204250E0,-1.307626998E-2,2.386413161E-3,-1.737383187E-2,2.187541629E-2
1.044141250E0,-1.501221113E-2,-1.434835915E-2,-6.895036697E-3,2.188112027E-2
1.054077250E0,-1.829041033E-3,-5.022794791E-3,-3.473772347E-2,3.514659714E-2
1.064014250E0,-1.553026302E-2,-1.030754027E-2,-1.887013435E-2,2.652388407E-2
1.073950250E0,1.545106180E-3,-8.177248864E-3,-7.194998860E-3,1.100103453E-2
1.083887250E0,-1.811609021E-4,1.344324671E-2,-2.351048470E-2,2.708314221E-2
1.093823250E0,-6.819735523E-3,-5.676289662E-3,-1.123542488E-2,1.431655786E-2
1.103760250E0,7.392744385E-3,6.169474893E-3,8.074420094E-3,1.256627828E-2
1.113696250E0,-1.109780860E-2,-8.859591521E-3,-1.707328498E-2,2.220699840E-2
1.123633250E0,-1.877109257E-2,-1.137657575E-2,-9.139782786E-3,2.377637528E-2
1.133569250E0,-1.978885070E-2,-6.882689022E-3,-1.228383064E-2,2.428708537E-2
1.143506250E0,-1.066602256E-2,5.596785801E-3,-1.602137089E-4,1.204631549E-2
1.153442250E0,-1.065584818E-2,2.479137210E-3,-6.297451258E-3,1.262343511E-2
1.163379250E0,-2.002151964E-2,2.156983037E-4,-2.321169198E-2,3.065437030E-2
1.173315250E0,-2.257688307E-2,1.396465846E-3,-7.345857024E-3,2.378292205E-2
1.183252500E0,-6.089783739E-4,8.030264480E-3,1.036711335E-3,8.119776639E-3
1.193188500E0,-1.801946954E-2,5.876817182E-3,-1.438064218E-2,2.379161895E-2
1.203125500E0,-1.470960858E-2,-6.192183103E-3,-1.123659432E-2,1.951862619E-2
1.213061500E0,3.416949516E-3,-1.258759350E-2,-8.092546463E-3,1.534966978E-2
1.222998500E0,2.563153248E-3,-1.960644498E-4,-2.276204109E-2,2.290673941E-2
1.232934500E0,-1.487379771E-3,-8.863373939E-3,-1.587635994E-2,1.824364276E-2
1.242871500E0,1.667501422E-3,5.540917483E-3,-7.793169022E-3,9.706482934E-3
1.252807500E0,-1.045231368E-2,7.545434372E-3,-2.545702279E-2,2.853496890E-2
1.262744500E0,-1.522740808E-2,2.692537741E-3,-1.378188729E-2,2.071386332E-2
1.272680500E0,-1.511751126E-2,8.421128006E-3,-1.707445443E-2,2.431031751E-2
1.282617500E0,-9.519815259E-4,1.791043268E-3,-2.425892830E-2,2.434357630E-2
1.292553500E0,-8.518205490E-3,9.839036688E-4,-1.767262459E-2,1.964305351E-2
1.302490500E0,-1.813285185E-2,7.862330619E-3,-8.391923904E-3,2.147186405E-2
1.312426500E0,-5.931810702E-3,-1.551149368E-2,-1.078694344E-2,1.980280190E-2
1.322363500E0,-1.963778241E-3,4.330027644E-3,1.486946940E-3,4.981623789E-3
1.332299500E0,-1.586691874E-2,2.352458197E-3,-7.194998860E-3,1.758013591E-2
1.342236500E0,-9.555303975E-3,-2.048230764E-2,-1.393157601E-2,2.655028381E-2
1.352172500E0,-7.807414758E-3,2.211709321E-3,-2.051729500E-2,2.206369818E-2
1.362109500E0,-8.746687726E-3,4.897043109E-4,-2.404959798E-3,9.084502634E-3
1.372045500E0,-5.392387927E-3,2.792822057E-3,-1.572725594E-2,1.685895258E-2
1.381982500E0,-1.668804826E-2,4.810750997E-4,-1.288258553E-2,2.108751758E-2
1.391919500E0,-1.968715255E-3,-5.991267292E-3,-1.303227425E-2,1.447795896E-2
1.401855500E0,-5.508422039E-3,-1.816453074E-2,7.390880585E-4,1.899576641E-2
1.411792500E0,-1.597528295E-2,-1.644844604E-3,-5.548422933E-3,1.699117936E-2
1.421728500E0,-1.526015363E-2,-2.807554300E-3,-2.405544519E-3,1.570163349E-2
1.431665500E0,-1.391528832E-2,1.416775784E-3,-2.470974863E-2,2.839391096E-2
1.441601500E0,-2.151760285E-2,4.519404341E-3,-4.502356052E-3,2.244333884E-2
1.451538500E0,-1.165389366E-2,-6.890011746E-3,-7.795507908E-3,1.562227393E-2
1.461474500E0,-4.028706460E-3,1.799850636E-3,-8.693640232E-3,9.749324004E-3
1.471411500E0,-1.581378445E-2,-1.016135531E-2,-2.860340953E-2,3.422694782E-2
1.481347500E0,-3.108318171E-3,-6.646657940E-3,-1.887481213E-2,2.025088236E-2
1.491284500E0,-5.747767305E-3,-1.717971344E-3,-1.198854625E-2,1.340572623E-2
1.501220500E0,-1.710325539E-2,-1.145988030E-2,-1.603072643E-2,2.609280344E-2
1.511157500E0,1.881930355E-2,-1.055758183E-2,-1.662948132E-2,2.724276728E-2
1.521093500E0,-3.455505737E-3,2.047475651E-3,-1.423563123E-2,1.479141213E-2
1.531030500E0,-1.011874601E-2,-2.318343348E-3,-8.248667121E-3,1.325911935E-2
1.540966500E0,-5.773770284E-3,-4.460502779E-3,-1.483497083E-2,1.653205577E-2
1.550903500E0,-6.904884459E-3,1.886626971E-3,-3.758590221E-3,8.084787639E-3
1.560839500E0,-6.642045263E-3,-5.656482219E-3,-1.558399916E-2,1.785983164E-2
1.570776500E0,-3.819490343E-3,1.833076525E-2,-1.962617934E-2,2.712549311E-2
1.580712500E0,1.148306474E-2,3.580962773E-4,-1.857835829E-2,2.184363536E-2
1.590649500E0,-1.769669296E-2,-3.864301485E-3,-1.184295058E-2,2.164165535E-2
1.600585500E0,-2.677523187E-2,-3.074671556E-3,-1.468762100E-2,3.069353120E-2
1.610522500E0,-8.997544697E-3,4.633141821E-4,-2.890804946E-2,3.027946159E-2
1.620458500E0,9.279798476E-3,1.098931191E-2,-7.054080963E-3,1.601997798E-2
1.630395500E0,-1.687314576E-3,3.084228099E-3,-4.671925306E-4,3.546514106E-3
1.640331500E0,-6.608483159E-3,1.443630036E-2,-4.659061432E-3,1.654647005E-2
1.650268500E0,2.155075839E-4,6.044787588E-4,-7.503731847E-3,7.531124067E-3
1.660204500E0,-8.186273219E-4,9.323641174E-3,-2.187384903E-2,2.379213540E-2
1.670141500E0,-9.381222543E-3,-8.764884900E-5,-1.184470475E-2,1.510999832E-2
1.680077500E0,-1.299676612E-2,-8.593282825E-3,-1.079688370E-2,1.895608443E-2
1.690014500E0,-5.200017958E-3,8.242641748E-3,-2.052665055E-2,2.272277959E-2
1.699950500E0,5.469532345E-3,-5.846598954E-3,-9.599373937E-3,1.249985933E-2
1.709887500E0,5.670051870E-4,-6.324202269E-3,-1.169501603E-2,1.330753279E-2
1.719823500E0,-4.500131370E-3,-2.330499161E-3,2.226034999E-3,5.535127867E-3
1.729760500E0,-6.351005815E-3,1.339875762E-3,-1.304279923E-2,1.456863596E-2
1.739697500E0,-8.490456340E-3,3.431164417E-3,-2.067692399E-2,2.261406473E-2
1.749633500E0,-2.459279974E-2,-5.798236085E-3,-4.061475992E-3,2.559142294E-2
1.759570500E0,-1.198695997E-2,-1.346690509E-2,-1.049867570E-2,2.086305188E-2
1.769506500E0,-1.994399835E-2,5.144695533E-3,-7.955136895E-3,2.207974559E-2
1.779443500E0,-1.313576882E-2,7.923018322E-3,-1.334393084E-2,2.033182560E-2
1.789379500E0,-1.134984301E-2,-2.241137261E-3,-6.308560967E-3,1.317723697E-2
1.799316500E0,-1.006889051E-2,8.001677077E-3,-7.206693292E-3,1.474265310E-2
1.809252500E0,-1.050800270E-2,-1.121521087E-2,-1.668795347E-3,1.545910584E-2
1.819189500E0,-1.857490821E-2,1.582398168E-3,-1.169793963E-2,2.200847543E-2
1.829125500E0,-2.622625370E-2,-1.136008934E-3,-6.309145689E-3,2.699837437E-2
