Time (s),Linear Acceleration y (m/s^2)
1.806896708E0,-4.373826943E-3
1.816833708E0,-1.068160219E-2
1.826770708E0,8.165983837E-3
1.836706708E0,-1.015767340E-2
1.846643708E0,-7.348031458E-3
1.856580708E0,-4.189310744E-3
1.866517708E0,9.644671585E-3
1.876454708E0,2.583811507E-3
1.886390708E0,1.127882218E-2
1.896327708E0,-5.446955469E-3
1.906264708E0,-2.672524732E-3
1.916201708E0,-2.101818211E-3
1.926138708E0,-9.333745893E-3
1.936074708E0,-2.715574857E-3
1.946010958E0,-7.990366369E-3
1.955947958E0,-8.694955856E-3
1.965884958E0,1.150350144E-2
1.975820958E0,2.286444046E-4
1.985757958E0,1.974202730E-3
1.995694958E0,2.957229316E-4
2.005631958E0,5.402279086E-4
2.015568958E0,3.774797972E-3
2.025504958E0,-2.584926132E-3
2.035441958E0,-5.846576113E-3
2.045378958E0,1.764070245E-2
2.055315958E0,-6.699995510E-3
2.065252958E0,-5.097894967E-3
2.075188958E0,-8.821785618E-3
2.085125958E0,4.751776345E-4
2.095062958E0,-1.129868444E-2
2.104999958E0,-3.793509062E-3
2.114936958E0,-8.114290796E-4
2.124872958E0,-3.963443767E-3
2.134809958E0,2.740864065E-3
2.144746958E0,3.687711004E-3
2.154683958E0,-1.755955406E-3
2.164620958E0,3.538296372E-4
2.174556958E0,1.701996569E-3
2.184493958E0,1.007499011E-2
2.194430958E0,4.505572021E-3
2.204367958E0,-2.681551371E-3
2.214303958E0,-7.767021004E-3
2.224240958E0,1.736495141E-3
2.234177958E0,4.422176108E-3
2.244114958E0,5.660324022E-3
2.254051958E0,-4.868355207E-3
2.263987958E0,-1.378866641E-2
2.273924958E0,-6.299972869E-3
2.283861958E0,-2.566014044E-4
2.293798958E0,6.193188094E-3
2.303735958E0,-1.103782553E-2
2.313671958E0,-7.576237321E-3
2.323608958E0,-3.285130206E-3
2.333545958E0,1.142101916E-2
2.343482958E0,2.805932611E-3
2.353419958E0,-7.998260111E-4
2.363355958E0,-4.411139488E-3
2.373292958E0,1.862447821E-3
2.383229958E0,1.516544815E-2
2.393166958E0,6.352506448E-3
2.403102958E0,4.835153986E-3
2.413039958E0,9.634512048E-3
2.422976958E0,-2.857863195E-3
2.432913958E0,5.370996483E-3
2.442850958E0,-2.996862475E-3
2.452786958E0,-6.819863431E-4
2.462723958E0,7.801629212E-3
2.472660958E0,1.520970426E-3
2.482597958E0,-1.116005061E-2
2.492534958E0,8.501339927E-3
2.502470958E0,3.490623292E-3
2.512407958E0,-1.098940328E-2
2.522344958E0,-3.022517134E-3
2.532281958E0,-1.358582284E-3
2.542217958E0,-2.853660509E-3
2.552154958E0,6.874498352E-4
2.562091958E0,7.286672238E-3
2.572028958E0,8.687829562E-3
2.581965958E0,-9.589707758E-3
2.591901958E0,-5.729302894E-3
2.601838958E0,-4.013766367E-3
2.611775958E0,-3.079892937E-3
2.621712958E0,8.845412023E-3
2.631649958E0,-3.484045174E-3
2.641585958E0,-2.341846414E-3
2.651522958E0,3.962091599E-3
2.661459958E0,-1.067864204E-2
2.671396958E0,4.363722224E-3
2.681333958E0,-1.768892370E-3
2.691269958E0,5.077210441E-4
2.701206958E0,4.691495206E-3
2.711143958E0,2.267769501E-3
2.721080958E0,-3.760856017E-3
2.731016958E0,-5.113481451E-3
2.740953958E0,1.158318803E-2
2.750890958E0,1.903299758E-2
2.760827958E0,5.979856085E-3
2.770764958E0,-8.653879166E-5
2.780700958E0,4.393817112E-3
2.790637958E0,-5.997068826E-3
2.800574958E0,-2.369182147E-3
2.810511958E0,-1.542513762E-3
2.820448958E0,4.205609858E-4
2.830384958E0,6.488362849E-3
2.840321958E0,9.479177110E-3
2.850258958E0,7.985341419E-3
2.860195958E0,5.521306470E-3
2.870131958E0,8.537391666E-3
2.880068958E0,1.716886869E-2
2.890005958E0,1.536111061E-2
2.899942958E0,1.158910833E-2
2.909879958E0,-1.086962672E-2
2.919815958E0,-8.715439383E-3
2.929752958E0,-4.890190903E-3
2.939689958E0,6.372953430E-3
2.949627500E0,-3.210596479E-3
2.959564500E0,9.587606415E-4
2.969500500E0,1.338226665E-2
2.979437500E0,-1.166992782E-2
2.989374500E0,8.898895774E-3
2.999311500E0,9.501542710E-4
3.009247500E0,6.178168058E-3
3.019184500E0,-5.290323179E-3
3.029121500E0,8.146633208E-3
3.039058500E0,7.445972320E-3
3.048995500E0,-7.851677723E-3
3.058931500E0,-5.961601809E-3
3.068868500E0,8.865676280E-3
3.078805500E0,1.532966355E-2
3.088742500E0,-1.317962408E-3
3.098679500E0,1.702011187E-2
3.108615500E0,7.412113287E-3
3.118552500E0,2.845748495E-3
3.128489500E0,1.244652942E-3
3.138426500E0,-2.635431457E-3
3.148362500E0,-1.042741276E-2
3.158299500E0,5.994163491E-3
3.168236500E0,1.577213332E-3
3.178173500E0,-8.157962188E-4
3.188110500E0,1.168111062E-2
3.198046500E0,4.045359604E-3
3.207983500E0,1.086418150E-2
3.217920500E0,6.323946454E-3
3.227857500E0,3.928835560E-3
3.237793500E0,1.207459169E-2
3.247730500E0,1.788500642E-2
3.257667500E0,1.182875281E-2
3.267604500E0,-6.082821898E-3
3.277541500E0,-2.598904632E-3
3.287477500E0,1.033383904E-2
3.297414500E0,-5.481344406E-3
3.307351500E0,-1.015062019E-2
3.317288500E0,-1.656134298E-2
3.327225500E0,-1.016819838E-2
3.337161500E0,-7.626779191E-4
3.347098500E0,8.375332430E-3
3.357035500E0,-1.574508995E-3
3.366972500E0,4.506869372E-3
3.376908500E0,-5.844730586E-3
3.386845500E0,-2.757583447E-3
3.396782500E0,-6.662207879E-3
3.406719500E0,1.465034500E-2
3.416656500E0,4.775896110E-3
3.426592500E0,6.322484650E-3
3.436529500E0,-1.144263558E-3
3.446466500E0,-2.718882188E-3
3.456403500E0,3.251874167E-3
3.466339500E0,-1.265538465E-3
3.476276500E0,1.482013352E-3
3.486213500E0,-1.330369469E-3
3.496150500E0,2.435456682E-3
3.506087500E0,-1.380454525E-3
3.516023500E0,-7.511296682E-4
3.525960500E0,1.780093443E-3
3.535897500E0,5.148254111E-3
3.545834500E0,-1.133846378E-2
3.555771500E0,4.840325117E-3
3.565707500E0,1.112067327E-3
3.575644500E0,-1.428445548E-2
3.585581500E0,1.888659792E-2
3.595518500E0,3.726905622E-3
3.605454500E0,5.769191869E-4
3.615391500E0,8.634327538E-3
3.625328500E0,5.684480332E-3
3.635265500E0,8.658575211E-3
3.645202500E0,-2.521410752E-3
3.655138500E0,8.226264976E-3
3.665075500E0,-1.236344414E-2
3.675012500E0,1.717394846E-2
3.684949500E0,-3.157587815E-3
3.694885500E0,-9.022345114E-3
3.704822500E0,6.641084813E-3
3.714759500E0,8.260909729E-3
3.724696500E0,1.184115987E-3
3.734633500E0,-1.870524287E-3
3.744569500E0,1.138708703E-3
3.754506500E0,1.377196530E-2
3.764443500E0,4.846556056E-3
3.774380500E0,5.102006290E-3
3.784316500E0,-6.610916834E-3
3.794253500E0,1.029159291E-2
3.804190500E0,-1.811047141E-3
3.814127500E0,7.772557586E-3
3.824064500E0,1.045370696E-2
3.834000500E0,4.663574751E-3
3.843937500E0,1.123067401E-3
3.853874500E0,1.053617097E-2
3.863811500E0,-1.106726261E-2
3.873747500E0,-2.674735710E-3
3.883684500E0,-3.833160494E-3
3.893621500E0,1.097471215E-2
3.903558500E0,3.007625006E-3
3.913495500E0,1.260312516E-3
3.923431500E0,-3.437431902E-3
3.933368500E0,1.157522120E-2
3.943305500E0,4.097308461E-3
3.953242125E0,4.200438727E-3
3.963179125E0,5.607114360E-4
3.973115125E0,1.602963008E-2
3.983052125E0,8.772193920E-3
3.992989125E0,-3.626333512E-3
4.002926125E0,-7.857671119E-3
4.012862125E0,8.008913007E-3
4.022799125E0,-1.895338409E-3
4.032736125E0,3.486585058E-4
4.042673125E0,6.690968871E-3
4.052610125E0,8.772650734E-3
4.062546125E0,-7.790720500E-3
4.072483125E0,-2.310508993E-3
4.082420125E0,4.045743328E-3
4.092357125E0,-7.731663622E-4
4.102293125E0,-1.240170686E-2
4.112230125E0,1.115550075E-2
4.122167125E0,1.661541145E-3
4.132104125E0,-2.592856418E-3
4.142041125E0,1.527521135E-2
4.151977125E0,8.997275177E-3
4.161914125E0,4.669677783E-3
4.171851125E0,2.965799142E-3
4.181788125E0,4.312175363E-3
4.191724125E0,-4.675762542E-4
4.201661125E0,-9.471721910E-3
4.211598125E0,-2.054145131E-3
4.221535125E0,9.183198363E-3
4.231471125E0,3.599564228E-3
4.241408125E0,-1.657510221E-2
