"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.933850417E-1,-9.201507457E-4,-5.076114088E-5,6.585894406E-2,6.586539127E-2
7.033190417E-1,3.897534683E-3,-1.028251145E-3,7.558929563E-2,7.569669537E-2
7.132530417E-1,-2.578110471E-3,2.443953417E-3,6.720731199E-2,6.730113184E-2
7.231870417E-1,2.364577465E-3,6.363707520E-3,6.106948972E-2,6.144567173E-2
7.331210417E-1,4.710407294E-3,2.812328003E-3,6.496081173E-2,6.519205616E-2
7.430550417E-1,3.258306105E-3,-6.830278784E-4,6.152440310E-2,6.161440791E-2
7.529890417E-1,5.605360195E-3,6.666410565E-3,5.897969484E-2,5.961933828E-2
7.629230417E-1,-5.831775349E-3,3.298889436E-3,7.185877204E-2,7.217046068E-2
7.728570417E-1,-2.181961611E-3,3.806665298E-3,6.526954472E-2,6.541685658E-2
7.827910417E-1,5.027801469E-3,-8.362980187E-4,5.269569218E-2,5.294161082E-2
7.927260417E-1,4.231045246E-3,-5.737543814E-3,6.437433600E-2,6.476786463E-2
8.026600417E-1,-2.341590598E-3,-1.864494346E-3,6.362296879E-2,6.369333987E-2
8.125940417E-1,5.662151277E-3,4.320142195E-3,6.526720583E-2,6.565463992E-2
8.225280417E-1,-4.582316726E-3,1.333530620E-3,6.721198976E-2,6.738121027E-2
8.324620417E-1,3.291982412E-3,2.537088599E-3,5.673494875E-2,5.688697898E-2
8.423960417E-1,1.130650509E-3,-1.798932441E-4,5.687937498E-2,5.689089585E-2
8.523300417E-1,-1.971132942E-3,-2.118373141E-3,7.573898435E-2,7.579423870E-2
8.622640417E-1,-7.978891209E-4,-2.752193045E-3,7.244700193E-2,7.250365013E-2
8.721980417E-1,2.201549783E-3,2.968631387E-3,5.837918580E-2,5.849605908E-2
8.821320417E-1,4.445601515E-3,8.531654086E-3,7.155120850E-2,7.219506861E-2
8.920660417E-1,5.592002962E-3,1.198459938E-3,6.436731935E-2,6.462088365E-2
9.020000417E-1,8.723040763E-3,2.719814088E-3,6.271723509E-2,6.337933737E-2
9.119340417E-1,-3.850464597E-3,-1.023536827E-3,6.601331055E-2,6.613343236E-2
9.218680417E-1,-4.480666537E-3,1.197454948E-3,6.481287718E-2,6.497860663E-2
9.318030417E-1,-8.607284166E-3,5.661438648E-3,6.211497188E-2,6.296353675E-2
9.417370417E-1,1.057341043E-3,7.631767597E-3,6.045904040E-2,6.094798941E-2
9.516710417E-1,-4.822491109E-4,2.094417829E-3,7.288437366E-2,7.291605499E-2
9.616050417E-1,7.820833661E-4,-1.817881074E-3,6.705177605E-2,6.708097359E-2
9.715390417E-1,-1.256018467E-3,-5.624180920E-3,5.807396114E-2,5.835918056E-2
9.814730417E-1,-8.098046500E-3,-7.532273568E-3,7.484085202E-2,7.565359630E-2
9.914070417E-1,1.385534294E-3,-2.372617386E-3,7.513438225E-2,7.518460224E-2
1.001341042E0,7.708859481E-3,2.713290788E-3,6.375394642E-2,6.427561082E-2
1.011275042E0,-2.384037729E-3,4.215915576E-3,6.779378772E-2,6.796657438E-2
1.021209042E0,-4.924159572E-3,7.022140548E-4,6.584900379E-2,6.603659404E-2
1.031143042E0,8.093807269E-3,5.651480108E-3,6.465149403E-2,6.540079987E-2
1.041077042E0,5.205538552E-3,2.017033584E-3,5.791433215E-2,5.818278031E-2
1.051011042E0,2.065985743E-3,-3.341135569E-3,6.404981554E-2,6.417016717E-2
1.060945042E0,1.583827995E-3,2.114225272E-3,5.745941877E-2,5.752011183E-2
1.070880042E0,7.548645772E-3,-2.088990882E-3,5.701035261E-2,5.754586206E-2
1.080814042E0,6.640554909E-3,-3.794568870E-3,5.671565294E-2,5.722902245E-2
1.090748042E0,-4.742311165E-3,2.255490348E-3,6.943510115E-2,6.963339733E-2
1.100682042E0,2.667390145E-3,3.955531754E-3,5.910716414E-2,5.929939338E-2
1.110616042E0,8.349038232E-3,-9.543569572E-4,5.835872054E-2,5.896064365E-2
1.120550042E0,-4.210378993E-3,-3.206594791E-3,5.970533431E-2,5.993944015E-2
1.130484042E0,-3.599728681E-3,2.213372122E-3,6.718918562E-2,6.732194090E-2
1.140418042E0,7.378711067E-3,3.690068163E-3,6.823583722E-2,6.873275392E-2
1.150352042E0,-6.797936372E-4,5.906893797E-3,7.003210187E-2,7.028405798E-2
1.160286042E0,9.945565648E-4,3.088316582E-3,7.527296126E-2,7.534285327E-2
1.170220042E0,3.188906964E-3,2.710531633E-3,6.015323102E-2,6.029865100E-2
1.180154042E0,1.762405615E-3,3.216900509E-3,5.835813582E-2,5.847329766E-2
1.190088042E0,4.931048322E-3,7.100931779E-3,5.327164292E-2,5.396856872E-2
1.200023667E0,2.806663513E-5,-2.270126659E-3,6.614311874E-2,6.618207023E-2
1.209957667E0,1.977948602E-3,1.477701031E-3,6.509237409E-2,6.513918210E-2
1.219891667E0,3.264829405E-3,3.120951355E-4,5.790790021E-2,5.800070191E-2
1.229825667E0,-3.150205705E-3,-4.551052395E-3,6.689390123E-2,6.712249918E-2
1.239759667E0,2.111575752E-4,-2.501036860E-3,6.330429554E-2,6.335403386E-2
1.249693667E0,-1.049831025E-3,-1.260202881E-3,7.228561878E-2,7.230422491E-2
1.259627667E0,-4.235522021E-3,1.809000615E-3,5.133153677E-2,5.153774148E-2
1.269561667E0,7.272876464E-3,2.480626423E-3,5.447675407E-2,5.501604287E-2
1.279495667E0,4.054002520E-3,-8.072812110E-4,5.762197137E-2,5.777004608E-2
1.289429667E0,6.389691085E-3,-8.387885671E-3,5.807162225E-2,5.902116645E-2
1.299363667E0,-2.041701525E-3,-2.479858976E-3,6.166298211E-2,6.174659187E-2
1.309297667E0,1.303709820E-3,-1.267913897E-3,5.806635976E-2,5.809483110E-2
1.319231667E0,6.462379284E-3,-5.327105820E-3,6.645009756E-2,6.697578569E-2
1.329165667E0,2.413876802E-3,1.328414306E-5,6.584900379E-2,6.589323393E-2
1.339100667E0,1.016065182E-2,2.623536028E-3,6.330020249E-2,6.416414436E-2
1.349034667E0,4.134420007E-3,2.434634417E-4,6.300140977E-2,6.313739254E-2
1.358968667E0,-5.881513227E-3,-1.847939417E-3,6.644366562E-2,6.672906248E-2
1.368902667E0,5.247876048E-4,6.334727257E-4,6.764059067E-2,6.764559258E-2
1.378836667E0,-3.703827392E-3,2.256988697E-3,6.434217632E-2,6.448820038E-2
1.388770667E0,4.895051401E-3,-2.763540298E-4,6.044851542E-2,6.064701902E-2
1.398704667E0,-4.219131544E-4,2.235737722E-3,6.134898663E-2,6.139116137E-2
1.408638667E0,1.314625841E-2,-5.380114485E-3,6.105370224E-2,6.268432259E-2
1.418572667E0,-3.463433739E-3,1.222780701E-3,6.000880480E-2,6.012110461E-2
1.428506667E0,-1.790819429E-3,-4.285643622E-3,6.465090930E-2,6.481754276E-2
1.438440667E0,8.015984483E-3,-1.696898527E-3,5.895981431E-2,5.952642418E-2
1.448374667E0,8.903080188E-3,1.038520318E-3,5.371953964E-2,5.446220984E-2
1.458308667E0,3.451008406E-3,5.538775027E-4,6.329552472E-2,6.339195287E-2
1.468242667E0,1.193011064E-2,9.723919630E-4,6.509061992E-2,6.618203599E-2
1.478176667E0,8.158108369E-3,-1.984398812E-5,6.898486555E-2,6.946557997E-2
1.488111667E0,-1.385168843E-3,2.014548518E-4,5.745707989E-2,5.747412727E-2
1.498045667E0,3.345082439E-3,-2.842386346E-3,6.104551613E-2,6.120313535E-2
1.507979667E0,-6.772537529E-4,-3.497621678E-3,6.223717868E-2,6.233906031E-2
1.517913667E0,-6.437236257E-4,-6.819479708E-3,6.059352636E-2,6.097946475E-2
1.527847667E0,-6.391828973E-3,-1.404556017E-3,7.002157688E-2,7.032673378E-2
1.537781667E0,-3.107064217E-3,1.542751305E-3,5.968779266E-2,5.978851497E-2
1.547715667E0,4.479917362E-3,8.059582785E-3,6.433048189E-2,6.498797915E-2
1.557649667E0,1.907964740E-3,9.885266237E-4,6.328383029E-2,6.332030235E-2
1.567583667E0,4.088537637E-3,3.957761005E-3,7.331122041E-2,7.353172818E-2
1.577517667E0,9.192389455E-3,-4.514361117E-3,5.819441378E-2,5.908865606E-2
1.587451667E0,4.958804324E-4,9.751693904E-4,6.178811252E-2,6.179779690E-2
1.597385667E0,4.669367149E-4,3.756543696E-3,6.372938812E-2,6.384171489E-2
1.607320667E0,-1.977765877E-3,-6.014592201E-3,6.462985933E-2,6.493924541E-2
1.617254667E0,1.200597826E-2,-1.616188679E-3,4.951480687E-2,5.097520651E-2
1.627188667E0,4.686506800E-3,-4.793602210E-3,6.178986669E-2,6.215247053E-2
1.637122667E0,-4.764494039E-3,9.447309785E-3,6.478364110E-2,6.564200042E-2
1.647056667E0,1.599779930E-3,9.480931275E-3,6.418839455E-2,6.490452487E-2
1.656990667E0,4.310731832E-3,-5.075200461E-4,6.089407325E-2,6.104857199E-2
1.666924667E0,4.198702835E-3,-2.886587642E-3,6.598348975E-2,6.617992455E-2
1.676858667E0,1.798895895E-3,-1.002331534E-2,6.029707253E-2,6.115095938E-2
1.686792667E0,-3.858796880E-4,-4.530075509E-3,6.119462013E-2,6.136327909E-2
1.696726667E0,2.130122390E-3,-3.600751944E-3,6.403870583E-2,6.417521858E-2
1.706660667E0,-3.275701571E-3,-5.549738556E-3,5.969831765E-2,6.004514093E-2
1.716594667E0,-3.116693851E-3,5.896460172E-3,6.299380839E-2,6.334589109E-2
1.726528667E0,-6.928091738E-3,2.440737449E-3,5.895396709E-2,5.940981308E-2
1.736462667E0,3.424220849E-3,-6.819552798E-3,5.656187117E-2,5.707430998E-2
1.746396667E0,-2.968667932E-3,-2.890443150E-3,6.569112897E-2,6.582166874E-2
1.756331667E0,5.228159968E-3,-2.051696610E-3,5.835813582E-2,5.862776758E-2
1.766265667E0,-1.979520041E-3,2.663260549E-3,6.195241928E-2,6.204122590E-2
1.776199667E0,9.428817965E-3,1.621871442E-4,6.344521344E-2,6.414221715E-2
1.786133667E0,-2.527495511E-3,6.249211729E-3,6.044910014E-2,6.082379952E-2
1.796067667E0,-3.062515743E-3,1.798548717E-3,6.538648903E-2,6.548287355E-2
1.806001667E0,7.347940095E-4,-3.700063247E-3,6.179162085E-2,6.190666198E-2
1.815935667E0,8.602515031E-3,-2.192376964E-3,6.927781105E-2,6.984429029E-2
1.825869667E0,3.889768850E-3,3.678757455E-3,5.789854467E-2,5.814555041E-2
1.835803667E0,1.088861190E-4,5.713953953E-3,6.193897069E-2,6.220206761E-2
1.845737667E0,8.893523645E-3,-1.556766350E-3,5.984566748E-2,6.052290641E-2
1.855671667E0,3.691895418E-3,-2.906614356E-4,6.044910014E-2,6.056243294E-2
1.865605667E0,5.793457814E-3,7.538760323E-3,7.586879253E-2,7.646221774E-2
1.875539667E0,-1.284523644E-3,3.870911580E-3,6.419541121E-2,6.432483795E-2
1.885473667E0,4.701892287E-3,-1.618070751E-3,5.147070050E-2,5.171033702E-2
1.895408667E0,-5.852825325E-3,2.713272516E-3,5.401774764E-2,5.440160358E-2
1.905342667E0,6.649837364E-3,-1.277178079E-3,6.764292955E-2,6.798100793E-2
1.915276667E0,6.784177143E-3,-7.794886641E-4,6.001114368E-2,6.039842737E-2
1.925210667E0,-5.925878976E-3,4.575756881E-3,5.432940423E-2,5.484284600E-2
1.935144667E0,1.352862976E-3,1.154660638E-3,6.600921750E-2,6.603317556E-2
1.945078667E0,4.295328073E-3,-3.335635532E-3,6.975260496E-2,6.996429237E-2
1.955012667E0,2.806754876E-3,2.640200593E-4,6.241727293E-2,6.248090539E-2
1.964946667E0,4.112182315E-3,-6.797205471E-4,5.388735473E-2,5.404830306E-2
1.974880667E0,1.002669577E-3,3.815509211E-3,5.523630738E-2,5.537700886E-2
1.984814667E0,-6.737289783E-3,3.073552363E-3,6.361770630E-2,6.404725094E-2
1.994748667E0,4.648901895E-4,-1.336805061E-2,5.747696042E-2,5.901289587E-2
2.004682667E0,2.344952747E-3,5.939528570E-3,5.388852417E-2,5.426554930E-2
2.014616667E0,3.410096169E-3,1.170301940E-3,7.380297124E-2,7.389098001E-2
2.024550667E0,6.100655906E-4,-4.282226656E-3,6.482281744E-2,6.496697089E-2
2.034485667E0,-2.684822157E-3,8.188696615E-3,6.736635625E-2,6.791530738E-2
2.044419667E0,2.121461201E-3,-4.446368963E-3,5.104853153E-2,5.128570333E-2
2.054353667E0,1.172129195E-3,2.728036735E-3,6.212315798E-2,6.219407390E-2
2.064287667E0,7.461394351E-3,-6.161010135E-3,6.691027343E-2,6.760632472E-2
2.074221667E0,-5.815969594E-4,2.338301539E-3,6.855392575E-2,6.859625824E-2
2.084155667E0,-7.765650563E-4,-1.898718830E-3,5.972404540E-2,5.975926526E-2
2.094089667E0,9.724979438E-3,-5.937536862E-3,6.137296021E-2,6.242170948E-2
2.104023667E0,5.193149764E-3,-2.084934376E-3,6.720965087E-2,6.744221917E-2
2.113957667E0,-5.962149985E-3,-1.998158041E-3,6.720614254E-2,6.749967010E-2
2.123891667E0,3.804253321E-3,-2.469955254E-3,5.942525268E-2,5.959810129E-2
2.133825667E0,7.648103256E-3,6.842375211E-3,6.750785887E-2,6.828339909E-2
2.143759667E0,-1.630002726E-3,-5.874697566E-3,6.316688597E-2,6.346041651E-2
2.153693667E0,4.823806733E-3,-3.368909843E-3,7.124656856E-2,7.148910544E-2
2.163627667E0,6.722562108E-3,-4.712289367E-3,6.555956662E-2,6.607159214E-2
2.173562667E0,2.654233910E-3,-3.929511644E-4,6.391416013E-2,6.397045594E-2
2.183496667E0,-1.456596237E-3,-7.637742721E-4,6.765579343E-2,6.767578155E-2
2.193430667E0,4.132391755E-3,-1.096298117E-3,6.376037836E-2,6.390355530E-2
2.203364458E0,-3.232633173E-3,-4.292130377E-3,6.436088741E-2,6.458479797E-2
2.213298458E0,7.521584127E-3,5.496748164E-4,6.136945188E-2,6.183110863E-2
2.223232458E0,1.054117765E-2,-2.809751574E-3,5.971702874E-2,6.070530991E-2
2.233166458E0,1.240797434E-3,-2.204053123E-3,6.045962512E-2,6.051250861E-2
2.243100458E0,5.541826542E-3,-1.816254817E-3,5.656654894E-2,5.686637919E-2
2.253034458E0,3.623227179E-3,-2.462554872E-3,6.704885244E-2,6.719181919E-2
2.262968458E0,3.244948871E-3,-4.468990378E-3,6.136009634E-2,6.160814062E-2
2.272902458E0,2.100868039E-3,-6.869016588E-4,7.977063954E-2,7.980125571E-2
2.282836458E0,1.264825836E-3,2.608388085E-3,5.940829575E-2,5.947898013E-2
2.292770458E0,1.192466542E-2,2.521958929E-3,5.132335067E-2,5.275077484E-2
2.302705458E0,3.532266431E-4,6.578830238E-3,5.836573720E-2,5.873640315E-2
2.312639458E0,6.594946627E-3,-3.444211017E-3,6.630040884E-2,6.671656558E-2
2.322573458E0,5.227867607E-3,-1.166225335E-2,6.031286001E-2,6.165208703E-2
2.332507458E0,-7.060860079E-3,-5.820592549E-3,6.165771961E-2,6.233305247E-2
2.342441458E0,-4.583212081E-3,-2.825484239E-4,6.989235342E-2,7.004303486E-2
2.352375458E0,1.673345212E-3,-7.354171034E-3,5.701386094E-2,5.751055777E-2
2.362309458E0,-6.985631995E-3,-6.550580878E-3,6.209801495E-2,6.283209868E-2
2.372243458E0,3.061254937E-3,-9.812961761E-3,6.539292097E-2,6.619591840E-2
2.382177458E0,1.535497103E-3,3.898941670E-3,5.716238022E-2,5.731576755E-2
2.392111458E0,-2.040879261E-3,-1.063224804E-3,6.120105207E-2,6.124430104E-2
2.402045458E0,7.955685072E-4,1.975956894E-3,6.614370346E-2,6.617799364E-2
2.411979458E0,-1.203941703E-3,-1.525739562E-3,6.584666491E-2,6.587534164E-2
2.421913458E0,-3.848947976E-3,7.048453018E-4,6.151095450E-2,6.163528803E-2
2.431847458E0,6.988519058E-4,4.406425171E-4,5.746760488E-2,5.747354322E-2
2.441782458E0,4.218016919E-3,-4.663903657E-3,6.779554188E-2,6.808655641E-2
2.451716458E0,8.092053104E-3,-3.708322439E-3,6.300433338E-2,6.363001653E-2
2.461650458E0,-1.179584395E-3,-8.005843218E-3,6.525200307E-2,6.575187336E-2
2.471584458E0,2.645389996E-3,1.409580968E-3,5.522344351E-2,5.530473506E-2
2.481518458E0,1.214740779E-3,5.009382740E-3,5.297635853E-2,5.322653543E-2
2.491452458E0,-3.397250567E-3,-1.947378628E-3,6.539876819E-2,6.551589483E-2
2.501386458E0,1.256749369E-3,-1.948657706E-3,6.749674916E-2,6.753656664E-2
2.511320458E0,5.288148746E-3,4.068529196E-3,5.746994376E-2,5.785595806E-2
2.521254458E0,8.534139153E-3,-1.047747955E-3,5.387273669E-2,5.455456961E-2
2.531188458E0,2.494075019E-3,2.885911558E-3,6.614721179E-2,6.625709414E-2
2.541122458E0,6.904045064E-3,2.653941549E-3,6.374926865E-2,6.417693119E-2
2.551056458E0,6.316966340E-3,-5.945156515E-4,5.970650375E-2,6.004268567E-2
2.560990458E0,7.372516673E-3,2.996186391E-3,7.122961164E-2,7.167278918E-2
2.570924458E0,-7.859388739E-4,-5.873528123E-4,7.347260356E-2,7.347915457E-2
2.580859458E0,-2.327922732E-3,1.624393053E-3,5.999886453E-2,6.006597724E-2
2.590793458E0,4.327506032E-3,-5.362993106E-4,5.835521221E-2,5.851790938E-2
2.600727458E0,-2.921232395E-4,-3.060560580E-3,6.494443953E-2,6.501717152E-2
2.610661458E0,1.366402935E-3,3.984512016E-4,5.671448350E-2,5.673234050E-2
2.620595458E0,1.047857590E-3,4.420787394E-3,6.180857778E-2,6.197533101E-2
2.630529458E0,5.169358905E-3,2.350781690E-3,6.046254873E-2,6.072864436E-2
2.640463458E0,2.950815652E-3,8.060258869E-3,6.884745598E-2,6.938045316E-2
2.650397458E0,2.310070451E-3,-2.712742612E-4,6.660212517E-2,6.664272723E-2
2.660331458E0,9.250185527E-3,-7.959705032E-4,5.462468863E-2,5.540808703E-2
2.670265458E0,4.841531105E-3,1.045774519E-3,5.567601800E-2,5.589591262E-2
2.680199458E0,3.001156524E-3,4.306054059E-3,6.840131342E-2,6.860239588E-2
2.690133458E0,-2.009468749E-3,-1.282239575E-3,6.211380243E-2,6.215952506E-2
2.700067458E0,-1.605024152E-3,-8.989911340E-4,5.971878290E-2,5.974711139E-2
2.710001458E0,4.431367200E-3,-1.062238086E-3,6.271138787E-2,6.287673285E-2
2.719936458E0,4.819896407E-3,-7.404767722E-3,6.106481194E-2,6.170067459E-2
2.729870458E0,-6.673865765E-4,-2.894426566E-3,5.971936762E-2,5.979319342E-2
2.739804458E0,4.543231744E-3,1.707112882E-3,6.092213988E-2,6.111515620E-2
2.749738458E0,-9.452389553E-4,5.918844044E-4,6.631151855E-2,6.632089638E-2
2.759672458E0,-7.533881553E-3,-5.603459850E-4,6.840657592E-2,6.882247444E-2
2.769606458E0,-8.829971720E-3,-4.981827736E-4,6.826098025E-2,6.883151902E-2
2.779540458E0,-2.169024646E-3,1.620080732E-3,7.110565066E-2,7.115717030E-2
2.789474458E0,2.205094658E-3,-1.315806247E-4,6.466728151E-2,6.470500022E-2
2.799408458E0,1.706582978E-3,-7.995537501E-3,5.403938234E-2,5.465433093E-2
2.809342458E0,-1.735618059E-3,-2.753307670E-3,5.927790284E-2,5.936718655E-2
2.819276458E0,-1.385662202E-3,4.716108330E-3,5.688229859E-2,5.709428719E-2
2.829210458E0,-1.010746043E-3,8.494542539E-4,6.092506349E-2,6.093936775E-2
2.839144458E0,-1.077989023E-3,-3.121663984E-3,6.810310543E-2,6.818313439E-2
2.849078458E0,3.223094903E-4,-8.282946423E-5,7.154009879E-2,7.154087278E-2
2.859013458E0,-3.608755320E-3,5.316507742E-3,6.091336906E-2,6.125134202E-2
