"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.740793274500876E9,"2025-02-28 20:41:14.501 UTC-05:00"
"PAUSE",2.503722332666672E3,1.740795778223790E9,"2025-02-28 21:22:58.224 UTC-05:00"
