"event","experiment time","system time","system time text"
"START",0.000000000E0,1740793273.951,"2025-02-28 20:41:13.951 UTC-05:00"
"PAUSE",2.471702639E3,1740795745.654,"2025-02-28 21:22:25.654 UTC-05:00"
