Time (s),Linear Acceleration x (m/s^2)
1.816833708E0,-4.238016224E-3
1.826770708E0,6.898357733E-3
1.836706708E0,1.729355142E-3
1.846643708E0,6.068861671E-4
1.856580708E0,-2.443047556E-2
1.866517708E0,-1.898019905E-3
1.876454708E0,-1.182261324E-3
1.886390708E0,-9.527672455E-4
1.896327708E0,-7.783292709E-3
1.906264708E0,-8.903532433E-3
1.916201708E0,5.373481549E-3
1.926138708E0,-4.772529393E-3
1.936074708E0,1.516137337E-3
1.946010958E0,3.157998947E-4
1.955947958E0,-8.837216785E-3
1.965884958E0,-5.262105796E-3
1.975820958E0,-3.455197387E-3
1.985757958E0,-4.527919348E-3
1.995694958E0,1.133459457E-2
2.005631958E0,-1.173241080E-2
2.015568958E0,1.112443285E-2
2.025504958E0,-4.109222163E-4
2.035441958E0,-3.151795417E-3
2.045378958E0,-1.323273324E-2
2.055315958E0,8.384126094E-3
2.065252958E0,1.362452410E-2
2.075188958E0,-2.855286766E-3
2.085125958E0,3.493743329E-3
2.095062958E0,-1.020335020E-2
2.104999958E0,-6.843800470E-4
2.114936958E0,-4.242835608E-3
2.124872958E0,2.449919404E-3
2.134809958E0,1.207405264E-2
2.144746958E0,3.520873496E-3
2.154683958E0,-7.548156981E-3
2.164620958E0,-1.015329712E-2
2.174556958E0,1.324009251E-2
2.184493958E0,1.885647562E-2
2.194430958E0,6.516561960E-3
2.204367958E0,-1.835166905E-3
2.214303958E0,-4.425579370E-3
2.224240958E0,-7.032099087E-3
2.234177958E0,-5.294525865E-3
2.244114958E0,3.071469292E-3
2.254051958E0,-2.917600726E-3
2.263987958E0,-7.991124680E-3
2.273924958E0,-5.274928557E-3
2.283861958E0,3.944728109E-3
2.293798958E0,-3.252979657E-3
2.303735958E0,-1.139600860E-2
2.313671958E0,1.716158251E-2
2.323608958E0,1.432662395E-2
2.333545958E0,7.267664219E-3
2.343482958E0,1.477405929E-2
2.353419958E0,-1.662844435E-2
2.363355958E0,5.235327375E-3
2.373292958E0,1.330194509E-2
2.383229958E0,-6.170758540E-3
2.393166958E0,-7.796257082E-4
2.403102958E0,-1.370372646E-3
2.413039958E0,-9.691463015E-3
2.422976958E0,-9.487016033E-4
2.432913958E0,-9.260418154E-3
2.442850958E0,1.207659710E-2
2.452786958E0,5.796692055E-3
2.462723958E0,8.935185056E-3
2.472660958E0,6.003838805E-3
2.482597958E0,-9.691385357E-3
2.492534958E0,2.717018388E-3
2.502470958E0,4.076820365E-3
2.512407958E0,6.521029598E-3
2.522344958E0,-2.199051012E-3
2.532281958E0,-7.221526033E-3
2.542217958E0,1.090178641E-2
2.552154958E0,-8.989737751E-3
2.562091958E0,-6.538694585E-3
2.572028958E0,1.352413472E-2
2.581965958E0,-1.499941464E-2
2.591901958E0,-1.330840901E-2
2.601838958E0,-1.664638342E-3
2.611775958E0,4.195692432E-3
2.621712958E0,-1.515741737E-2
2.631649958E0,2.602970274E-4
2.641585958E0,2.555173854E-3
2.651522958E0,6.313759508E-4
2.661459958E0,-1.149156033E-2
2.671396958E0,-1.084112611E-2
2.681333958E0,1.262485579E-2
2.691269958E0,3.539095796E-3
2.701206958E0,4.517115704E-3
2.711143958E0,1.405169518E-2
2.721080958E0,6.426743246E-3
2.731016958E0,1.489207712E-2
2.740953958E0,5.443620728E-3
2.750890958E0,-3.851716267E-4
2.760827958E0,2.303789263E-3
2.770764958E0,2.212611071E-2
2.780700958E0,-1.224610240E-2
2.790637958E0,-5.021127420E-3
2.800574958E0,3.548200093E-3
2.810511958E0,1.767933518E-2
2.820448958E0,1.564016897E-2
2.830384958E0,5.439267294E-3
2.840321958E0,2.088846529E-2
2.850258958E0,-1.039867918E-3
2.860195958E0,-1.432768833E-3
2.870131958E0,-3.675395306E-3
2.880068958E0,8.198161796E-3
2.890005958E0,-1.553678289E-3
2.899942958E0,5.472902488E-3
2.909879958E0,5.862564594E-4
2.919815958E0,-3.561941050E-3
2.929752958E0,-6.663719933E-3
2.939689958E0,-1.147714329E-2
2.949627500E0,-1.222875718E-2
2.959564500E0,4.245115109E-3
2.969500500E0,3.900969923E-3
2.979437500E0,1.279001679E-2
2.989374500E0,-2.026101337E-3
2.999311500E0,2.426666672E-2
3.009247500E0,-3.437705990E-4
3.019184500E0,7.042861618E-3
3.029121500E0,1.942741969E-3
3.039058500E0,3.471254390E-3
3.048995500E0,1.298140347E-2
3.058931500E0,6.853183424E-3
3.068868500E0,-1.268511409E-2
3.078805500E0,2.936855424E-3
3.088742500E0,1.756231321E-2
3.098679500E0,-6.607011077E-3
3.108615500E0,2.909250171E-3
3.118552500E0,2.098274707E-2
3.128489500E0,1.502711125E-2
3.138426500E0,2.048553731E-3
3.148362500E0,8.305695746E-4
3.158299500E0,2.396353427E-3
3.168236500E0,-1.083238726E-2
3.178173500E0,1.746957089E-2
3.188110500E0,2.012472756E-2
3.198046500E0,1.035552399E-2
3.207983500E0,-1.097210831E-2
3.217920500E0,-5.697207162E-3
3.227857500E0,-4.802240557E-3
3.237793500E0,4.794182363E-3
3.247730500E0,-5.573826344E-3
3.257667500E0,-1.082829421E-2
3.267604500E0,-7.205336555E-3
3.277541500E0,1.177845305E-2
3.287477500E0,3.838304216E-3
3.297414500E0,9.211543654E-3
3.307351500E0,-6.176098692E-3
3.317288500E0,1.276211004E-2
3.327225500E0,1.628668373E-2
3.337161500E0,1.991785490E-3
3.347098500E0,1.471419842E-3
3.357035500E0,-3.248744993E-3
3.366972500E0,9.398663691E-3
3.376908500E0,7.498012539E-3
3.386845500E0,7.658737879E-3
3.396782500E0,5.418952787E-3
3.406719500E0,-2.538312860E-3
3.416656500E0,5.384664349E-3
3.426592500E0,-1.097346505E-2
3.436529500E0,-1.348371127E-2
3.446466500E0,1.668795804E-2
3.456403500E0,1.269011163E-2
3.466339500E0,8.884296007E-3
3.476276500E0,-1.682828665E-3
3.486213500E0,-9.296638914E-3
3.496150500E0,2.759004137E-3
3.506087500E0,-4.862521696E-3
3.516023500E0,1.506568460E-2
3.525960500E0,-1.834614160E-3
3.535897500E0,-9.543432528E-4
3.545834500E0,1.580934080E-2
3.555771500E0,1.061711380E-2
3.565707500E0,9.752045651E-3
3.575644500E0,4.532464645E-3
3.585581500E0,3.893519291E-3
3.595518500E0,8.450021474E-3
3.605454500E0,-2.110885964E-3
3.615391500E0,-4.910925678E-3
3.625328500E0,7.727456368E-3
3.635265500E0,1.808286158E-2
3.645202500E0,-7.223321311E-4
3.655138500E0,2.552168020E-3
3.665075500E0,-9.230780080E-3
3.675012500E0,-2.594007589E-3
3.684949500E0,-1.060104766E-3
3.694885500E0,2.100740131E-2
3.704822500E0,3.376739630E-3
3.714759500E0,1.550928270E-4
3.724696500E0,-4.879538007E-3
3.734633500E0,-4.605267048E-3
3.744569500E0,1.154792201E-2
3.754506500E0,6.102620205E-3
3.764443500E0,-1.212995751E-2
3.774380500E0,2.255280213E-3
3.784316500E0,-3.141325247E-4
3.794253500E0,-9.524095603E-3
3.804190500E0,1.136958193E-2
3.814127500E0,4.106618324E-3
3.824064500E0,2.859422300E-2
3.834000500E0,3.491664827E-3
3.843937500E0,-2.990453378E-3
3.853874500E0,2.169563686E-3
3.863811500E0,1.248374146E-2
3.873747500E0,-1.821677196E-3
3.883684500E0,-1.108144667E-2
3.893621500E0,-4.963737912E-4
3.903558500E0,-1.831425601E-3
3.913495500E0,1.099406735E-2
3.923431500E0,-4.532921459E-3
3.933368500E0,-7.755303732E-3
3.943305500E0,1.927636509E-2
3.953242125E0,-7.953460389E-3
3.963179125E0,1.145267178E-2
3.973115125E0,6.636589766E-3
3.983052125E0,6.132614594E-3
3.992989125E0,-1.969538662E-3
4.002926125E0,5.896999212E-3
