"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.743568518545985E9,"2025-04-02 00:35:18.546 UTC-04:00"
"PAUSE",1.979965335125104E3,1.743570498492014E9,"2025-04-02 01:08:18.492 UTC-04:00"
