Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 17:10:43.842,COM3,, 0.000, -0.008, 1.003, 0.000, 0.000, 0.000, 0.225, -0.544, -50.955, -18.013, 14.813, -41.107, 26.54,,,,,,,,,,,,,,,,
 17:10:43.926,COM3,, 0.000, -0.008, 1.003, 0.000, 0.000, 0.000, 0.225, -0.544, -50.955, -17.960, 14.953, -41.220, 26.54,,,,,,,,,,,,,,,,
 17:10:44.023,COM3,, 0.000, -0.008, 1.003, 0.000, 0.000, 0.000, 0.220, -0.544, -50.955, -18.100, 14.713, -40.913, 26.59,,,,,,,,,,,,,,,,
 17:10:44.141,COM3,, 0.000, -0.008, 1.004, 0.000, 0.000, 0.000, 0.220, -0.544, -50.955, -18.053, 14.880, -41.193, 26.57,,,,,,,,,,,,,,,,
 17:10:44.250,COM3,, 0.000, -0.008, 1.003, 0.000, 0.000, 0.000, 0.220, -0.544, -50.955, -17.953, 14.920, -41.473, 26.62,,,,,,,,,,,,,,,,
 17:10:44.338,COM3,, 0.000, -0.008, 1.003, 0.000, 0.000, 0.000, 0.220, -0.544, -50.955, -18.067, 14.947, -41.220, 26.57,,,,,,,,,,,,,,,,
 17:10:44.434,COM3,, 0.000, -0.008, 1.003, 0.000, 0.000, 0.000, 0.220, -0.544, -50.955, -18.160, 14.853, -41.000, 26.59,,,,,,,,,,,,,,,,
 17:10:44.531,COM3,, 0.000, -0.008, 1.004, 0.000, 0.000, 0.000, 0.220, -0.544, -50.955, -18.047, 14.847, -41.067, 26.60,,,,,,,,,,,,,,,,
 17:10:44.626,COM3,, 0.000, -0.008, 1.003, 0.000, 0.000, 0.000, 0.220, -0.544, -50.955, -18.060, 14.760, -41.200, 26.57,,,,,,,,,,,,,,,,
 17:10:44.730,COM3,, 0.000, -0.008, 1.003, 0.000, 0.000, 0.000, 0.220, -0.544, -50.955, -17.940, 14.833, -41.320, 26.60,,,,,,,,,,,,,,,,
 17:10:44.782,COM3,, 0.000, -0.008, 1.003, 0.000, 0.000, 0.000, 0.225, -0.544, -50.955, -18.000, 14.867, -41.100, 26.57,,,,,,,,,,,,,,,,
 17:10:44.916,COM3,, 0.000, -0.008, 1.003, 0.000, 0.000, 0.000, 0.225, -0.544, -50.955, -18.073, 14.887, -41.220, 26.60,,,,,,,,,,,,,,,,
 17:10:44.985,COM3,, 0.000, -0.008, 1.003, 0.000, 0.000, 0.000, 0.220, -0.544, -50.955, -18.013, 14.813, -40.947, 26.57,,,,,,,,,,,,,,,,
 17:10:45.091,COM3,, 0.000, -0.007, 1.003, 0.000, 0.000, 0.000, 0.225, -0.544, -50.955, -17.987, 14.813, -41.000, 26.59,,,,,,,,,,,,,,,,
 17:10:45.244,COM3,, 0.000, -0.008, 1.003, 0.000, 0.000, 0.000, 0.225, -0.544, -50.955, -17.960, 14.967, -41.327, 26.59,,,,,,,,,,,,,,,,
 17:10:45.297,COM3,, 0.000, -0.008, 1.003, 0.000, 0.000, 0.000, 0.225, -0.544, -50.955, -18.007, 14.893, -41.147, 26.60,,,,,,,,,,,,,,,,
 17:10:45.399,COM3,, 0.000, -0.008, 1.004, 0.000, 0.000, 0.000, 0.225, -0.544, -50.955, -17.967, 15.013, -41.040, 26.62,,,,,,,,,,,,,,,,
 17:10:45.500,COM3,, 0.000, -0.008, 1.003, 0.000, 0.000, 0.000, 0.225, -0.544, -50.955, -17.967, 14.847, -41.260, 26.57,,,,,,,,,,,,,,,,
 17:10:45.598,COM3,, 0.000, -0.008, 1.003, 0.000, 0.000, 0.000, 0.225, -0.544, -50.955, -18.053, 14.860, -41.013, 26.62,,,,,,,,,,,,,,,,
 17:10:45.695,COM3,, 0.000, -0.008, 1.003, 0.000, 0.000, 0.000, 0.225, -0.544, -50.955, -18.067, 14.893, -40.980, 26.60,,,,,,,,,,,,,,,,
 17:10:45.791,COM3,, 0.000, -0.008, 1.004, 0.000, 0.000, 0.000, 0.225, -0.544, -50.955, -18.027, 14.893, -41.127, 26.57,,,,,,,,,,,,,,,,
 17:10:45.887,COM3,, 0.000, -0.008, 1.003, 0.000, 0.000, 0.000, 0.225, -0.544, -50.955, -18.073, 14.913, -41.207, 26.62,,,,,,,,,,,,,,,,
 17:10:45.985,COM3,, 0.000, -0.008, 1.003, 0.000, 0.000, 0.000, 0.225, -0.544, -50.955, -18.040, 14.833, -41.300, 26.59,,,,,,,,,,,,,,,,
 17:10:46.086,COM3,, 0.000, -0.008, 1.004, 0.000, 0.000, 0.000, 0.225, -0.544, -50.955, -18.013, 14.907, -41.233, 26.59,,,,,,,,,,,,,,,,
 17:10:46.197,COM3,, 0.000, -0.008, 1.002, 0.000, 0.000, 0.000, 0.225, -0.549, -50.955, -17.953, 14.820, -41.273, 26.59,,,,,,,,,,,,,,,,
 17:10:46.286,COM3,, 0.000, -0.008, 1.002, 0.000, 0.000, 0.000, 0.225, -0.549, -50.955, -17.953, 14.860, -41.360, 26.57,,,,,,,,,,,,,,,,
 17:10:46.382,COM3,, 0.000, -0.008, 1.004, 0.000, 0.000, 0.000, 0.225, -0.549, -50.955, -17.967, 14.833, -41.180, 26.60,,,,,,,,,,,,,,,,
 17:10:46.495,COM3,, 0.000, -0.008, 1.003, 0.000, 0.000, 0.000, 0.225, -0.549, -50.955, -17.973, 14.827, -41.100, 26.60,,,,,,,,,,,,,,,,
 17:10:46.593,COM3,, 0.000, -0.008, 1.004, 0.000, 0.000, 0.000, 0.225, -0.544, -50.955, -18.107, 14.847, -41.267, 26.64,,,,,,,,,,,,,,,,
 17:10:46.690,COM3,, 0.000, -0.008, 1.004, 0.000, 0.000, 0.000, 0.225, -0.544, -50.955, -18.187, 14.893, -41.013, 26.59,,,,,,,,,,,,,,,,
 17:10:46.783,COM3,, 0.000, -0.007, 1.003, 0.000, 0.000, 0.000, 0.225, -0.544, -50.955, -17.980, 14.760, -41.107, 26.59,,,,,,,,,,,,,,,,
 17:10:46.890,COM3,, 0.000, -0.008, 1.003, 0.000, 0.000, 0.000, 0.225, -0.544, -50.955, -17.933, 14.907, -41.300, 26.60,,,,,,,,,,,,,,,,
 17:10:46.987,COM3,, 0.000, -0.008, 1.003, 0.000, 0.000, 0.000, 0.225, -0.544, -50.955, -17.973, 14.793, -41.040, 26.57,,,,,,,,,,,,,,,,
 17:10:47.086,COM3,, 0.000, -0.008, 1.002, 0.000, 0.000, 0.000, 0.225, -0.544, -50.955, -18.040, 14.793, -41.067, 26.59,,,,,,,,,,,,,,,,
 17:10:47.190,COM3,, 0.000, -0.008, 1.003, 0.000, 0.000, 0.000, 0.225, -0.544, -50.955, -18.087, 14.800, -41.033, 26.59,,,,,,,,,,,,,,,,
 17:10:47.322,COM3,, 0.000, -0.008, 1.004, 0.000, 0.000, 0.000, 0.225, -0.544, -50.955, -18.133, 14.953, -41.240, 26.62,,,,,,,,,,,,,,,,
 17:10:47.394,COM3,, 0.000, -0.008, 1.004, 0.000, 0.000, 0.000, 0.225, -0.544, -50.955, -17.927, 14.973, -41.600, 26.64,,,,,,,,,,,,,,,,
 17:10:47.517,COM3,, 0.000, -0.008, 1.003, 0.000, 0.000, 0.000, 0.225, -0.549, -50.955, -17.967, 14.813, -41.193, 26.56,,,,,,,,,,,,,,,,
 17:10:47.601,COM3,, 0.000, -0.008, 1.003, 0.000, 0.000, 0.000, 0.220, -0.544, -50.955, -17.973, 14.887, -41.127, 26.60,,,,,,,,,,,,,,,,
 17:10:47.720,COM3,, 0.000, -0.008, 1.003, 0.000, 0.000, 0.000, 0.220, -0.544, -50.955, -18.053, 14.840, -41.133, 26.59,,,,,,,,,,,,,,,,
 17:10:47.815,COM3,, 0.000, -0.007, 1.003, 0.000, 0.000, 0.000, 0.220, -0.544, -50.955, -18.027, 14.800, -41.180, 26.60,,,,,,,,,,,,,,,,
 17:10:47.871,COM3,, 0.000, -0.008, 1.003, 0.000, 0.000, 0.000, 0.220, -0.544, -50.955, -17.833, 14.973, -41.593, 26.59,,,,,,,,,,,,,,,,
 17:10:47.977,COM3,, 0.000, -0.008, 1.004, 0.000, 0.000, 0.000, 0.225, -0.544, -50.955, -17.967, 14.853, -41.353, 26.57,,,,,,,,,,,,,,,,
 17:10:48.113,COM3,, 0.000, -0.008, 1.003, 0.000, 0.000, 0.000, 0.225, -0.544, -50.955, -17.973, 14.833, -40.980, 26.57,,,,,,,,,,,,,,,,
 17:10:48.216,COM3,, 0.000, -0.009, 1.002, 0.000, 0.000, 0.000, 0.225, -0.544, -50.955, -17.940, 14.867, -41.247, 26.62,,,,,,,,,,,,,,,,
 17:10:48.336,COM3,, 0.000, -0.008, 1.005, 0.000, 0.000, 0.000, 0.225, -0.544, -50.955, -18.013, 14.753, -41.333, 26.57,,,,,,,,,,,,,,,,
 17:10:48.396,COM3,, 0.000, -0.008, 1.003, 0.000, 0.000, 0.000, 0.225, -0.549, -50.955, -17.820, 14.820, -41.540, 26.57,,,,,,,,,,,,,,,,
 17:10:48.471,COM3,, 0.000, -0.008, 1.003, 0.000, 0.000, 0.000, 0.220, -0.549, -50.955, -17.880, 14.933, -41.300, 26.57,,,,,,,,,,,,,,,,
 17:10:48.623,COM3,, 0.000, -0.008, 1.003, 0.000, 0.000, 0.000, 0.220, -0.549, -50.955, -18.013, 14.940, -41.227, 26.59,,,,,,,,,,,,,,,,
 17:10:48.730,COM3,, 0.000, -0.008, 1.003, 0.000, 0.000, 0.000, 0.220, -0.549, -50.955, -18.007, 14.813, -41.080, 26.60,,,,,,,,,,,,,,,,
 17:10:48.779,COM3,, 0.000, -0.009, 1.004, 0.000, 0.000, 0.000, 0.225, -0.549, -50.955, -17.967, 14.973, -41.327, 26.60,,,,,,,,,,,,,,,,
 17:10:48.930,COM3,, 0.000, -0.008, 1.002, 0.000, 0.000, 0.000, 0.220, -0.544, -50.955, -18.080, 14.987, -41.413, 26.60,,,,,,,,,,,,,,,,
 17:10:48.984,COM3,, 0.000, -0.008, 1.003, 0.000, 0.000, 0.000, 0.220, -0.544, -50.955, -18.127, 14.927, -41.407, 26.59,,,,,,,,,,,,,,,,
 17:10:49.150,COM3,, 0.000, -0.008, 1.003, 0.000, 0.000, 0.000, 0.220, -0.544, -50.955, -18.100, 14.967, -41.113, 26.67,,,,,,,,,,,,,,,,
 17:10:49.178,COM3,, 0.000, -0.008, 1.003, 0.000, 0.000, 0.000, 0.220, -0.544, -50.955, -18.067, 14.887, -40.987, 26.62,,,,,,,,,,,,,,,,
 17:10:49.274,COM3,, 0.000, -0.008, 1.003, 0.000, 0.000, 0.000, 0.220, -0.544, -50.955, -18.093, 14.893, -41.133, 26.64,,,,,,,,,,,,,,,,
 17:10:49.441,COM3,, 0.000, -0.008, 1.003, 0.000, 0.000, 0.000, 0.220, -0.544, -50.955, -18.080, 14.880, -41.167, 26.59,,,,,,,,,,,,,,,,
 17:10:49.469,COM3,, 0.000, -0.008, 1.004, 0.000, 0.000, 0.000, 0.220, -0.544, -50.955, -17.973, 14.853, -41.200, 26.64,,,,,,,,,,,,,,,,
 17:10:49.572,COM3,, 0.000, -0.007, 1.003, 0.000, 0.000, 0.000, 0.220, -0.544, -50.955, -17.967, 14.927, -41.253, 26.57,,,,,,,,,,,,,,,,
 17:10:49.668,COM3,, 0.000, -0.008, 1.004, 0.000, 0.000, 0.000, 0.220, -0.544, -50.955, -17.973, 14.907, -41.100, 26.57,,,,,,,,,,,,,,,,
 17:10:49.786,COM3,, 0.000, -0.007, 1.002, 0.000, 0.000, 0.000, 0.220, -0.544, -50.955, -18.040, 14.787, -41.040, 26.62,,,,,,,,,,,,,,,,
 17:10:49.889,COM3,, 0.000, -0.008, 1.004, 0.000, 0.000, 0.000, 0.220, -0.544, -50.955, -17.973, 14.887, -40.807, 26.62,,,,,,,,,,,,,,,,
 17:10:49.984,COM3,, 0.000, -0.008, 1.002, 0.000, 0.000, 0.000, 0.220, -0.544, -50.955, -17.980, 14.847, -41.173, 26.64,,,,,,,,,,,,,,,,
 17:10:50.082,COM3,, 0.000, -0.008, 1.002, 0.000, 0.000, 0.000, 0.220, -0.544, -50.955, -17.927, 14.880, -41.040, 26.60,,,,,,,,,,,,,,,,
 17:10:50.174,COM3,, 0.000, -0.008, 1.003, 0.000, 0.000, 0.000, 0.225, -0.544, -50.955, -18.000, 14.820, -41.427, 26.60,,,,,,,,,,,,,,,,
 17:10:50.271,COM3,, 0.000, -0.009, 1.002, 0.000, 0.000, 0.000, 0.225, -0.544, -50.955, -17.973, 14.887, -40.927, 26.62,,,,,,,,,,,,,,,,
 17:10:50.388,COM3,, 0.000, -0.007, 1.003, 0.000, 0.000, 0.000, 0.225, -0.544, -50.955, -18.147, 14.920, -41.280, 26.64,,,,,,,,,,,,,,,,
 17:10:50.496,COM3,, 0.000, -0.008, 1.003, 0.000, 0.000, 0.000, 0.225, -0.544, -50.955, -17.967, 14.867, -41.353, 26.65,,,,,,,,,,,,,,,,
 17:10:50.586,COM3,, 0.000, -0.008, 1.002, 0.000, 0.000, 0.000, 0.225, -0.544, -50.955, -18.040, 14.860, -41.260, 26.64,,,,,,,,,,,,,,,,
 17:10:50.706,COM3,, 0.000, -0.008, 1.002, 0.000, 0.000, 0.000, 0.225, -0.544, -50.955, -18.013, 14.793, -41.200, 26.62,,,,,,,,,,,,,,,,
 17:10:50.779,COM3,, 0.000, -0.008, 1.003, 0.000, 0.000, 0.000, 0.225, -0.544, -50.955, -18.000, 14.793, -41.300, 26.60,,,,,,,,,,,,,,,,
 17:10:50.874,COM3,, 0.000, -0.008, 1.004, 0.000, 0.000, 0.000, 0.225, -0.544, -50.955, -17.960, 14.740, -41.307, 26.64,,,,,,,,,,,,,,,,
 17:10:50.987,COM3,, 0.000, -0.008, 1.003, 0.000, 0.000, 0.000, 0.225, -0.544, -50.955, -18.047, 14.887, -41.480, 26.60,,,,,,,,,,,,,,,,
 17:10:51.084,COM3,, 0.000, -0.008, 1.003, 0.000, 0.000, 0.000, 0.225, -0.544, -50.955, -18.133, 14.873, -41.213, 26.62,,,,,,,,,,,,,,,,
 17:10:51.186,COM3,, 0.000, -0.008, 1.004, 0.000, 0.000, 0.000, 0.225, -0.544, -50.955, -18.113, 14.787, -41.260, 26.62,,,,,,,,,,,,,,,,
 17:10:51.300,COM3,, 0.000, -0.008, 1.003, 0.000, 0.000, 0.000, 0.225, -0.544, -50.955, -17.947, 14.747, -41.213, 26.64,,,,,,,,,,,,,,,,
 17:10:51.398,COM3,, 0.000, -0.008, 1.003, 0.000, 0.000, 0.000, 0.225, -0.544, -50.955, -18.020, 14.887, -41.233, 26.62,,,,,,,,,,,,,,,,
 17:10:51.495,COM3,, 0.000, -0.008, 1.002, 0.000, 0.000, 0.000, 0.225, -0.544, -50.955, -18.033, 14.947, -41.513, 26.64,,,,,,,,,,,,,,,,
 17:10:51.599,COM3,, 0.000, -0.008, 1.002, 0.000, 0.000, 0.000, 0.225, -0.544, -50.955, -18.120, 14.873, -41.173, 26.64,,,,,,,,,,,,,,,,
 17:10:51.715,COM3,, 0.000, -0.008, 1.002, 0.000, 0.000, 0.000, 0.225, -0.544, -50.955, -18.027, 14.867, -41.080, 26.65,,,,,,,,,,,,,,,,
 17:10:51.837,COM3,, 0.000, -0.008, 1.003, 0.000, 0.000, 0.000, 0.225, -0.544, -50.955, -18.220, 14.987, -41.207, 26.64,,,,,,,,,,,,,,,,
 17:10:51.920,COM3,, 0.000, -0.009, 1.004, 0.000, 0.000, 0.000, 0.225, -0.544, -50.955, -18.047, 14.993, -41.460, 26.64,,,,,,,,,,,,,,,,
 17:10:52.012,COM3,, 0.000, -0.008, 1.002, 0.000, 0.000, 0.000, 0.225, -0.544, -50.955, -18.140, 14.873, -41.460, 26.60,,,,,,,,,,,,,,,,
