Time Lapsed,Absolute_Acceleration
479.607,1.429
479.708,1.429
479.814,1.428
479.913,1.427
480.015,1.428
480.119,1.428
530.244,1.428
530.324,1.429
530.426,1.428
530.454,1.427
530.553,1.429
530.653,1.428
530.757,1.428
530.858,1.428
530.963,1.427
531.064,1.428
531.165,1.427
531.264,1.429
531.351,1.429
531.450,1.427
531.552,1.429
531.673,1.427
531.757,1.429
531.859,1.428
531.961,1.429
532.067,1.428
532.166,1.427
532.268,1.428
532.369,1.427
532.475,1.427
532.575,1.429
532.677,1.428
532.780,1.429
532.884,1.428
532.986,1.428
533.100,1.427
533.195,1.428
533.254,1.428
533.357,1.429
533.512,1.428
533.602,1.428
533.706,1.427
533.836,1.428
533.844,1.428
533.944,1.428
534.043,1.427
534.145,1.427
534.318,1.428
534.345,1.427
534.443,1.428
534.548,1.427
534.649,1.427
534.742,1.428
534.852,1.429
534.972,1.428
535.048,1.428
535.143,1.429
535.243,1.427
535.341,1.427
535.449,1.428
535.553,1.428
535.651,1.428
535.751,1.429
535.847,1.427
535.952,1.428
536.075,1.427
536.159,1.427
536.262,1.428
536.364,1.428
536.487,1.428
536.569,1.427
536.672,1.429
536.775,1.428
536.878,1.427
537.004,1.427
537.083,1.428
537.184,1.429
537.287,1.427
537.389,1.428
537.489,1.428
537.592,1.427
537.695,1.428
537.798,1.427
537.833,1.427
537.936,1.428
538.031,1.427
538.130,1.428
538.233,1.428
538.346,1.427
538.443,1.428
538.540,1.427
538.646,1.427
538.743,1.428
538.847,1.428
538.948,1.428
539.028,1.429
539.129,1.429
539.226,1.427
539.347,1.429
539.472,1.428
539.543,1.427
539.641,1.428
539.748,1.429
539.834,1.427
539.953,1.428
540.048,1.428
540.161,1.429
590.257,1.427
590.353,1.428
590.449,1.427
590.553,1.428
590.673,1.428
590.770,1.427
590.861,1.427
590.962,1.428
591.082,1.428
591.180,1.427
591.266,1.427
591.389,1.428
591.482,1.428
591.586,1.428
591.676,1.428
591.729,1.428
591.827,1.428
591.923,1.427
592.021,1.427
592.119,1.428
592.239,1.428
592.323,1.428
592.435,1.428
592.518,1.428
592.638,1.428
592.722,1.428
592.819,1.427
592.916,1.428
593.056,1.428
593.135,1.428
593.233,1.428
593.330,1.427
593.423,1.427
593.535,1.429
593.631,1.427
593.724,1.427
