Time Lapsed,Magnetic field Y
479.607,11.333
479.708,11.26
479.814,11.387
479.913,11.413
480.015,11.347
480.119,11.34
530.244,11.38
530.324,11.373
530.426,11.327
530.454,11.313
530.553,11.427
530.653,11.327
530.757,11.327
530.858,11.32
530.963,11.287
531.064,11.347
531.165,11.267
531.264,11.373
531.351,11.413
531.450,11.36
531.552,11.353
531.673,11.247
531.757,11.307
531.859,11.433
531.961,11.353
532.067,11.307
532.166,11.407
532.268,11.4
532.369,11.38
532.475,11.393
532.575,11.44
532.677,11.413
532.780,11.393
532.884,11.34
532.986,11.327
533.100,11.407
533.195,11.28
533.254,11.433
533.357,11.373
533.512,11.307
533.602,11.327
533.706,11.447
533.836,11.413
533.844,11.307
533.944,11.253
534.043,11.3
534.145,11.447
534.318,11.367
534.345,11.393
534.443,11.367
534.548,11.34
534.649,11.353
534.742,11.287
534.852,11.34
534.972,11.28
535.048,11.46
535.143,11.313
535.243,11.353
535.341,11.407
535.449,11.34
535.553,11.287
535.651,11.313
535.751,11.373
535.847,11.353
535.952,11.32
536.075,11.353
536.159,11.387
536.262,11.373
536.364,11.38
536.487,11.387
536.569,11.353
536.672,11.373
536.775,11.293
536.878,11.373
537.004,11.387
537.083,11.367
537.184,11.413
537.287,11.313
537.389,11.307
537.489,11.287
537.592,11.32
537.695,11.353
537.798,11.233
537.833,11.247
537.936,11.46
538.031,11.34
538.130,11.3
538.233,11.287
538.346,11.387
538.443,11.407
538.540,11.42
538.646,11.4
538.743,11.353
538.847,11.333
538.948,11.3
539.028,11.413
539.129,11.333
539.226,11.347
539.347,11.38
539.472,11.367
539.543,11.327
539.641,11.273
539.748,11.353
539.834,11.28
539.953,11.347
540.048,11.347
540.161,11.387
590.257,11.313
590.353,11.3
590.449,11.333
590.553,11.387
590.673,11.387
590.770,11.38
590.861,11.48
590.962,11.413
591.082,11.393
591.180,11.433
591.266,11.4
591.389,11.413
591.482,11.353
591.586,11.393
591.676,11.507
591.729,11.427
591.827,11.413
591.923,11.4
592.021,11.3
592.119,11.347
592.239,11.42
592.323,11.38
592.435,11.333
592.518,11.38
592.638,11.447
592.722,11.34
592.819,11.3
592.916,11.42
593.056,11.393
593.135,11.34
593.233,11.313
593.330,11.333
593.423,11.307
593.535,11.367
593.631,11.307
593.724,11.433
593.836,11.447
593.932,11.387
594.036,11.433
594.134,11.42
594.248,11.42
594.344,11.247
594.440,11.38
594.543,11.32
594.633,11.267
594.761,11.387
594.858,11.36
594.965,11.327
595.058,11.347
595.110,11.5
595.274,11.44
595.376,11.333
595.484,11.367
595.577,11.4
595.678,11.4
595.802,11.293
595.887,11.413
595.915,11.287
596.021,11.447
596.119,11.313
596.221,11.367
596.320,11.3
596.409,11.28
596.506,11.32
596.629,11.327
596.706,11.393
596.811,11.36
596.913,11.387
597.015,11.287
597.116,11.413
597.219,11.453
597.322,11.42
597.423,11.4
597.525,11.307
597.629,11.307
597.731,11.38
597.835,11.367
597.935,11.38
598.038,11.373
598.141,11.34
598.246,11.36
598.346,11.32
598.448,11.333
598.579,11.427
598.658,11.367
598.779,11.42
598.858,11.433
598.982,11.42
599.016,11.307
599.123,11.487
599.266,11.373
599.305,11.34
599.398,11.44
599.575,11.413
599.603,11.36
599.702,11.307
599.811,11.247
599.907,11.313
600.008,11.467
600.111,11.433
650.212,11.393
650.315,11.4
650.406,11.36
650.496,11.247
650.597,11.353
650.702,11.313
650.818,11.373
650.906,11.307
651.018,11.3
651.114,11.433
651.219,11.32
651.319,11.393
651.417,11.413
651.519,11.427
651.624,11.42
651.725,11.34
651.827,11.467
651.930,11.26
652.033,11.433
652.133,11.287
652.243,11.313
652.339,11.38
652.440,11.28
652.543,11.4
652.655,11.48
652.760,11.34
652.855,11.293
652.953,11.373
653.010,11.36
653.117,11.287
653.262,11.307
653.290,11.373
653.387,11.4
653.489,11.427
653.592,11.267
653.771,11.373
653.798,11.353
653.899,11.28
654.003,11.347
654.106,11.253
654.206,11.34
654.308,11.333
654.388,11.267
654.493,11.327
654.591,11.373
654.694,11.407
654.817,11.38
654.906,11.427
655.002,11.333
655.104,11.533
655.229,11.393
655.308,11.4
655.411,11.3
655.514,11.24
655.621,11.407
655.719,11.393
655.820,11.327
655.923,11.367
656.030,11.307
656.129,11.353
656.230,11.273
656.332,11.247
656.436,11.24
656.538,11.313
656.655,11.327
656.743,11.273
656.844,11.227
656.945,11.333
657.065,11.38
657.096,11.393
657.258,11.42
657.285,11.3
657.390,11.267
657.486,11.287
657.589,11.367
657.693,11.353
657.793,11.313
657.891,11.38
657.997,11.373
658.076,11.433
658.175,11.44
658.278,11.347
658.381,11.34
658.492,11.273
658.586,11.367
658.707,11.367
658.789,11.387
658.904,11.267
659.000,11.36
659.097,11.467
659.200,11.333
659.301,11.347
659.406,11.327
659.507,11.26
659.610,11.34
659.711,11.24
659.815,11.32
659.916,11.333
660.019,11.287
660.124,11.307
710.224,11.32
710.328,11.287
710.428,11.28
710.531,11.313
710.634,11.24
710.749,11.28
710.838,11.32
710.868,11.42
711.065,11.333
711.081,11.333
711.172,11.287
711.276,11.36
711.374,11.36
711.477,11.34
711.579,11.22
711.681,11.38
711.801,11.373
711.864,11.407
711.964,11.347
712.068,11.28
712.168,11.467
712.277,11.34
712.376,11.3
712.476,11.307
712.578,11.3
712.683,11.313
712.786,11.26
712.905,11.327
712.992,11.34
713.091,11.3
713.194,11.3
713.315,11.26
713.398,11.32
713.496,11.307
713.602,11.38
713.707,11.32
713.808,11.353
713.910,11.36
714.013,11.407
714.117,11.34
714.217,11.307
714.320,11.253
714.422,11.313
714.526,11.307
714.628,11.213
714.739,11.32
714.758,11.46
714.857,11.36
714.958,11.367
715.059,11.307
715.175,11.373
715.271,11.28
715.368,11.34
715.475,11.373
715.576,11.347
715.675,11.26
715.754,11.273
715.858,11.273
715.959,11.273
716.062,11.333
716.162,11.347
716.266,11.307
716.393,11.3
716.479,11.387
716.576,11.367
716.675,11.4
716.778,11.293
716.849,11.407
716.989,11.32
717.086,11.353
717.186,11.38
717.313,11.347
717.391,11.313
717.494,11.313
717.597,11.307
717.699,11.407
717.803,11.5
717.905,11.413
718.006,11.28
718.047,11.273
718.209,11.213
718.314,11.3
718.415,11.367
718.518,11.24
718.545,11.32
718.645,11.3
718.746,11.38
718.849,11.313
718.953,11.307
719.053,11.293
719.150,11.32
719.259,11.36
719.363,11.307
719.463,11.313
719.561,11.373
