Time Lapsed,Magnetic field X
475.203,-32.087
475.307,-32.053
475.428,-32.08
475.511,-32.067
475.611,-32.14
475.716,-32.047
475.820,-32.107
475.918,-31.947
476.021,-32.06
476.125,-32.073
476.227,-32.073
476.329,-32.093
476.433,-32.08
476.534,-32.08
476.562,-32.06
476.737,-32.14
476.765,-32.187
476.878,-32.16
476.974,-32.167
477.070,-32.067
477.176,-32.287
477.264,-32.14
477.377,-32.047
477.479,-32.073
477.589,-32.14
477.662,-32.047
477.763,-32.147
477.866,-32.14
477.969,-32.107
478.070,-31.92
478.173,-32.033
478.274,-32.1
478.391,-32.093
478.487,-32.047
478.584,-32.067
478.690,-32.06
478.782,-32.107
478.889,-32.107
478.993,-32.113
479.103,-32.187
479.198,-32.207
479.298,-32.093
479.426,-32.027
479.500,-32.067
479.607,-31.973
479.708,-32.02
479.814,-32.107
479.913,-32.107
480.015,-32.093
480.119,-32.073
530.244,-32.1
530.324,-32.127
530.426,-32.153
530.454,-32.173
530.553,-32.087
530.653,-32.107
530.757,-32.093
530.858,-32.107
530.963,-32.2
531.064,-32.033
531.165,-32.087
531.264,-32.06
531.351,-32.087
531.450,-32.08
531.552,-32.053
531.673,-32.013
531.757,-32.007
531.859,-32.08
531.961,-32.133
532.067,-32.053
532.166,-32.013
532.268,-32.1
532.369,-32.107
532.475,-32.16
532.575,-32.173
532.677,-32.053
532.780,-32.173
532.884,-31.973
532.986,-32.007
533.100,-32.127
533.195,-32.033
533.254,-32.08
533.357,-32.087
533.512,-31.993
533.602,-32.08
533.706,-32.033
533.836,-32.047
533.844,-32.093
533.944,-32.073
534.043,-32.14
534.145,-32.053
534.318,-32.06
534.345,-32.033
534.443,-32.107
534.548,-32.027
534.649,-32.133
534.742,-32.093
534.852,-32.073
534.972,-32.033
535.048,-32.14
535.143,-32.073
535.243,-32.027
535.341,-32.2
535.449,-32.1
535.553,-32.127
535.651,-32.107
535.751,-32.153
535.847,-32.113
535.952,-32.06
536.075,-32.06
536.159,-32.027
536.262,-32.12
536.364,-32.013
536.487,-32.04
536.569,-31.973
536.672,-32.073
536.775,-31.987
536.878,-32.02
537.004,-32.033
537.083,-32.06
537.184,-32.113
537.287,-32.087
537.389,-32.067
537.489,-31.933
537.592,-32.073
537.695,-32.093
537.798,-32.153
537.833,-32.033
537.936,-32.08
538.031,-32.147
538.130,-32.06
538.233,-32.167
538.346,-32.087
538.443,-32.06
538.540,-32.1
538.646,-32.113
538.743,-32.107
538.847,-32.12
538.948,-32.107
539.028,-32.033
539.129,-31.993
539.226,-32.16
539.347,-32.173
539.472,-32.067
539.543,-32.073
539.641,-32.013
539.748,-32.04
539.834,-32.167
539.953,-32.107
540.048,-32.033
540.161,-32.08
590.257,-32.14
590.353,-32.113
590.449,-32.053
590.553,-32.033
590.673,-31.953
590.770,-32.047
590.861,-32.013
590.962,-32.26
591.082,-32.133
591.180,-32.007
591.266,-32.113
591.389,-32.12
591.482,-32.067
591.586,-32.153
591.676,-32.04
591.729,-32.06
591.827,-32.06
591.923,-32.1
592.021,-32.087
592.119,-32.093
592.239,-32.093
592.323,-32.113
592.435,-32.073
592.518,-32.1
592.638,-32.04
592.722,-32.18
592.819,-32.147
592.916,-32.193
593.056,-32.133
593.135,-32.107
593.233,-32.073
593.330,-32.127
593.423,-32.133
593.535,-32.113
593.631,-32.127
593.724,-32.02
593.836,-32.06
593.932,-32.227
594.036,-32.26
594.134,-32.187
594.248,-32.013
594.344,-32.14
594.440,-32.073
594.543,-32.113
594.633,-32.227
594.761,-32.02
594.858,-32.093
594.965,-32.147
595.058,-32.06
595.110,-32.06
595.274,-32.04
595.376,-32.12
595.484,-32.14
595.577,-32.013
595.678,-32.027
595.802,-32.107
595.887,-31.993
595.915,-32.06
596.021,-32.12
596.119,-31.993
596.221,-32.08
596.320,-32.093
596.409,-32.107
596.506,-32.08
596.629,-32.153
596.706,-32.18
596.811,-32.133
596.913,-32.013
597.015,-32.06
597.116,-32.14
597.219,-32.2
597.322,-32.087
597.423,-32.02
597.525,-32.08
597.629,-32.053
597.731,-32.18
597.835,-32.053
597.935,-32.12
598.038,-32.047
598.141,-32.1
598.246,-32.12
598.346,-32.1
598.448,-32.107
598.579,-32.073
598.658,-32.093
598.779,-31.953
598.858,-32.1
598.982,-32.06
599.016,-32.1
599.123,-32.16
599.266,-32.187
599.305,-32.16
599.398,-31.953
599.575,-31.987
599.603,-32.0
599.702,-32.113
599.811,-32.0
599.907,-32.047
600.008,-32.08
600.111,-32.227
650.212,-32.133
650.315,-32.047
650.406,-32.007
650.496,-32.033
650.597,-31.993
650.702,-32.1
650.818,-32.087
650.906,-31.98
651.018,-31.927
651.114,-31.98
651.219,-32.08
651.319,-32.093
651.417,-32.06
651.519,-31.873
651.624,-32.087
651.725,-32.007
651.827,-31.993
651.930,-32.053
652.033,-31.967
652.133,-32.087
652.243,-32.013
652.339,-31.98
652.440,-32.08
652.543,-32.027
652.655,-31.98
652.760,-32.033
652.855,-32.047
652.953,-32.02
653.010,-32.167
653.117,-32.033
653.262,-32.027
653.290,-32.02
653.387,-32.107
653.489,-32.2
653.592,-32.14
653.771,-32.073
653.798,-32.167
653.899,-32.053
654.003,-32.06
654.106,-32.08
654.206,-32.027
654.308,-32.02
654.388,-32.053
654.493,-32.12
654.591,-32.06
654.694,-32.047
654.817,-32.18
654.906,-32.007
655.002,-32.067
655.104,-32.073
655.229,-31.993
655.308,-32.073
655.411,-32.073
655.514,-32.093
655.621,-32.087
655.719,-31.953
655.820,-32.033
655.923,-32.053
656.030,-32.1
656.129,-32.067
656.230,-32.06
656.332,-32.027
656.436,-32.033
656.538,-32.047
656.655,-32.0
656.743,-31.98
656.844,-32.027
656.945,-32.107
657.065,-32.087
657.096,-32.067
657.258,-32.053
657.285,-31.94
657.390,-32.047
657.486,-32.073
657.589,-32.127
657.693,-31.98
657.793,-31.953
657.891,-32.08
657.997,-32.1
658.076,-32.053
658.175,-32.013
658.278,-32.093
658.381,-32.047
658.492,-32.073
658.586,-32.16
658.707,-31.993
658.789,-32.12
658.904,-32.073
659.000,-32.093
659.097,-32.133
659.200,-32.04
659.301,-32.173
659.406,-31.967
659.507,-32.047
659.610,-32.087
659.711,-32.093
659.815,-32.047
659.916,-32.033
660.019,-32.007
660.124,-31.9
710.224,-32.093
710.328,-32.06
710.428,-32.093
710.531,-32.093
710.634,-32.033
710.749,-32.1
710.838,-32.013
