"event","experiment time","system time","system time text"
"START",0.000000000E0,1743568521.356,"2025-04-02 00:35:21.356 UTC-04:00"
"PAUSE",1.982311980E3,1743570503.668,"2025-04-02 01:08:23.668 UTC-04:00"
