Time (s),Linear Acceleration z (m/s^2)
1.382209690E-1,-5.418014526E-2
1.550968440E-1,-5.882072449E-2
1.719773480E-1,-5.546188354E-2
1.888428480E-1,-5.787467957E-2
2.057123640E-1,-5.352878571E-2
2.226048610E-1,-5.059719086E-2
2.394807480E-1,-5.762672424E-2
2.563676090E-1,-5.706691742E-2
2.732380820E-1,-5.519485474E-2
2.901257580E-1,-5.312538147E-2
3.070057530E-1,-5.346107483E-2
3.239038550E-1,-5.757522583E-2
3.407871680E-1,-5.299854279E-2
3.576547000E-1,-4.909801483E-2
3.745349190E-1,-4.700469971E-2
3.914254850E-1,-5.659770966E-2
4.083278280E-1,-5.983543396E-2
4.251615270E-1,-4.862880707E-2
4.420643610E-1,-4.693603516E-2
4.589353220E-1,-5.252456665E-2
4.758307490E-1,-4.866027832E-2
4.926991370E-1,-5.684661865E-2
5.095837210E-1,-5.530452728E-2
5.264723520E-1,-5.606460571E-2
5.433277400E-1,-5.504322052E-2
5.602325670E-1,-5.310058594E-2
5.771051660E-1,-5.751991272E-2
5.939581010E-1,-4.941558838E-2
6.108628370E-1,-4.997634888E-2
6.277288550E-1,-5.134105682E-2
6.446266720E-1,-5.319404602E-2
6.615064540E-1,-5.574798584E-2
6.783661550E-1,-5.400371552E-2
6.952571360E-1,-5.408477783E-2
7.121337350E-1,-4.954624176E-2
7.290139730E-1,-4.820919037E-2
7.458812420E-1,-5.385589600E-2
7.627715720E-1,-5.243587494E-2
7.796583130E-1,-5.222034454E-2
7.965352650E-1,-5.332565308E-2
8.134186480E-1,-4.943180084E-2
8.303101800E-1,-5.403995514E-2
8.471880680E-1,-5.473709106E-2
8.640540970E-1,-5.370521545E-2
8.809299930E-1,-4.883670807E-2
8.978314110E-1,-5.459785461E-2
9.147153830E-1,-5.189418793E-2
9.315913610E-1,-5.554580688E-2
9.484698200E-1,-4.976272583E-2
9.653370280E-1,-5.408573151E-2
9.822326380E-1,-5.360221863E-2
9.991086350E-1,-5.032157898E-2
1.015995598E0,-4.832363129E-2
1.032873640E0,-5.792808533E-2
1.049754104E0,-5.710792542E-2
1.066634038E0,-5.227375031E-2
1.083512568E0,-5.218982697E-2
1.100394811E0,-4.633140564E-2
1.117274033E0,-4.836750031E-2
1.134154862E0,-4.916286469E-2
1.151036251E0,-4.993247986E-2
1.167899116E0,-5.004978180E-2
1.184782600E0,-5.299091339E-2
1.201661558E0,-5.343723297E-2
1.218543181E0,-5.236625671E-2
1.235420225E0,-5.561733246E-2
1.252301696E0,-5.269813538E-2
1.269181670E0,-5.453109741E-2
1.286064443E0,-5.494976044E-2
1.302931244E0,-5.052375793E-2
1.319842652E0,-4.900074005E-2
1.336719350E0,-5.754470825E-2
1.353599356E0,-5.867576599E-2
1.370479779E0,-5.736446381E-2
1.387361605E0,-5.231285095E-2
1.404237764E0,-5.091953278E-2
1.421116744E0,-5.732917786E-2
1.438005242E0,-4.796314240E-2
1.454881138E0,-5.495071411E-2
1.471763015E0,-5.004024506E-2
