"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.252301696E0,-2.188459039E-3,-8.612126112E-4,-5.269813538E-2,5.275058779E-2
1.269181670E0,-2.968527377E-3,1.458272338E-3,-5.453109741E-2,5.463130328E-2
1.286064443E0,-4.184484482E-3,-2.250835299E-3,-5.494976044E-2,5.515480344E-2
1.302931244E0,-6.065092981E-3,-2.861857414E-3,-5.052375793E-2,5.096690786E-2
1.319842652E0,-3.446817398E-3,-2.944827080E-3,-4.900074005E-2,4.921000998E-2
1.336719350E0,-3.103390336E-3,-5.878731608E-3,-5.754470825E-2,5.792740254E-2
1.353599356E0,-1.911476254E-3,-5.134105682E-3,-5.867576599E-2,5.893096213E-2
1.370479779E0,4.760444164E-3,-2.104267478E-3,-5.736446381E-2,5.760009964E-2
1.387361605E0,-1.818187535E-3,-4.573613405E-4,-5.231285095E-2,5.234643598E-2
1.404237764E0,-2.877824008E-3,3.845810890E-3,-5.091953278E-2,5.114558584E-2
1.421116744E0,-4.125520587E-3,3.366231918E-3,-5.732917786E-2,5.757591572E-2
1.438005242E0,-2.055175602E-3,-7.062256336E-4,-4.796314240E-2,4.801234768E-2
1.454881138E0,1.274183393E-3,1.542702317E-3,-5.495071411E-2,5.498712990E-2
1.471763015E0,-5.228035152E-3,-8.810907602E-4,-5.004024506E-2,5.032032192E-2
1.488637791E0,-4.427552223E-3,1.704216003E-3,-4.942035675E-2,4.964755011E-2
1.505505285E0,2.027243376E-3,-3.850981593E-3,-5.403709412E-2,5.421205876E-2
1.522387366E0,7.772445679E-4,-4.555776715E-3,-5.438995361E-2,5.458595300E-2
1.539285936E0,1.715153456E-3,-4.711806774E-3,-4.374122620E-2,4.402769292E-2
1.556154985E0,8.734092116E-3,-4.726216197E-3,-4.911708832E-2,5.011097534E-2
1.573051550E0,-1.141153276E-3,-1.803457737E-3,-5.478286743E-2,5.482442206E-2
1.589897590E0,1.456677914E-3,-3.146871924E-3,-5.712223053E-2,5.722738797E-2
1.606804726E0,7.484629750E-4,-4.485368729E-3,-5.520153046E-2,5.538851591E-2
1.623681312E0,-7.234513760E-5,5.271419883E-3,-5.604934692E-2,5.629673518E-2
1.640568357E0,3.426723182E-3,-1.942217350E-4,-4.805564880E-2,4.817806073E-2
1.657427998E0,-1.757107675E-3,2.102851868E-4,-5.269241333E-2,5.272212126E-2
1.674311675E0,2.675518394E-3,1.562982798E-4,-5.046844482E-2,5.053955630E-2
1.691192180E0,-1.861378551E-3,-2.111494541E-3,-5.677223206E-2,5.684196928E-2
1.708072378E0,-1.364961267E-3,-6.511524320E-3,-4.816246033E-2,4.861980721E-2
1.724948121E0,-5.419932306E-3,-1.929044724E-3,-5.421161652E-2,5.451601824E-2
1.741832968E0,3.817543387E-3,-1.247301698E-3,-4.371547699E-2,4.389957093E-2
1.758710034E0,-5.886107683E-4,-6.179511547E-5,-5.089759827E-2,5.090103919E-2
1.775596589E0,-2.414397895E-3,-5.177944899E-3,-5.019760132E-2,5.052167464E-2
1.792474429E0,2.544447780E-3,-3.715053201E-3,-5.821323395E-2,5.838712565E-2
1.809372246E0,2.974718809E-4,2.311468124E-3,-6.007575989E-2,6.012094727E-2
1.826230553E0,-1.084908843E-3,-7.344037294E-4,-5.450916290E-2,5.452490455E-2
1.843134555E0,7.497198880E-3,-5.273848772E-3,-5.594158173E-2,5.668758275E-2
1.860005914E0,2.974539995E-3,-2.126246691E-4,-5.323314667E-2,5.331661093E-2
1.876889134E0,1.182228327E-3,-2.308771014E-3,-5.867195129E-2,5.872925979E-2
1.893776747E0,2.076253295E-3,-1.500189304E-3,-5.250740051E-2,5.256984406E-2
1.910647609E0,-6.840825081E-4,-4.305168986E-3,-5.271244049E-2,5.289237971E-2
1.927530848E0,-2.208754420E-3,-5.817994475E-3,-5.160617828E-2,5.198004706E-2
1.944410283E0,-2.510860562E-3,-4.919856787E-3,-5.728816986E-2,5.755383408E-2
1.961286587E0,1.597918570E-3,-7.275193930E-4,-5.863475800E-2,5.866103880E-2
1.978175595E0,-6.629608572E-3,-4.201442003E-3,-4.766845703E-2,4.831030553E-2
1.995051429E0,2.726741135E-3,-4.722923040E-3,-5.262851715E-2,5.291031976E-2
2.011931863E0,-5.896165967E-4,-7.676556706E-3,-5.159378052E-2,5.216507796E-2
2.028809242E0,3.005139530E-3,-2.286836505E-3,-5.614757538E-2,5.627442319E-2
2.045690672E0,2.439536154E-3,-3.383457661E-4,-5.504894257E-2,5.510400976E-2
2.062572894E0,3.417506814E-3,-5.288571119E-3,-5.602073669E-2,5.637349800E-2
2.079437113E0,5.393743515E-3,-7.169649005E-3,-5.730533600E-2,5.800342981E-2
2.096316416E0,2.796545625E-3,-5.030214787E-3,-5.295085907E-2,5.326271871E-2
2.113214507E0,-1.578316092E-3,-6.222128868E-4,-5.749130249E-2,5.751632892E-2
2.130093893E0,4.763856530E-3,-5.163669586E-3,-5.931472778E-2,5.972934576E-2
2.146966146E0,5.651742220E-3,-3.576666117E-3,-5.374336243E-2,5.415795173E-2
2.163837596E0,-1.154847443E-3,-1.554191113E-3,-5.176258087E-2,5.179878339E-2
2.180725659E0,3.042154014E-3,-4.174217582E-3,-5.731010437E-2,5.754239182E-2
2.197600375E0,1.380011439E-3,-4.573106766E-3,-5.815029144E-2,5.834615782E-2
2.214481783E0,-6.717294455E-4,1.209199429E-3,-5.421543121E-2,5.423307446E-2
2.231360822E0,3.063544631E-3,2.929121256E-4,-5.654525757E-2,5.662894363E-2
2.248242771E0,4.749812186E-3,-2.022802830E-3,-5.803585052E-2,5.826501861E-2
2.265109683E0,2.714902163E-3,1.717939973E-3,-5.127716064E-2,5.137771127E-2
2.282002954E0,-1.616641879E-3,2.270609140E-3,-5.317783356E-2,5.325083266E-2
2.298894475E0,3.551453352E-3,-2.076521516E-3,-5.232810974E-2,5.248957831E-2
2.315783930E0,1.544117928E-3,-5.296140909E-3,-5.154800415E-2,5.184235856E-2
2.332658452E0,-4.591226578E-3,-2.811938524E-3,-5.179691315E-2,5.207596923E-2
2.349538143E0,1.441687346E-3,1.610904932E-3,-5.439186096E-2,5.443480519E-2
2.366417130E0,6.398431957E-3,-3.570079803E-3,-5.007457733E-2,5.060779284E-2
2.383277961E0,2.036690712E-3,-1.483798027E-3,-5.199813843E-2,5.205916025E-2
2.400197202E0,-3.889799118E-4,-2.352520823E-3,-5.149650574E-2,5.155168050E-2
2.417058906E0,4.092082381E-4,-2.480044961E-3,-5.613136292E-2,5.618761409E-2
2.433940376E0,4.078038037E-3,-1.366928220E-3,-5.325889587E-2,5.343228309E-2
2.450813587E0,5.104660988E-3,4.642263055E-3,-5.396270752E-2,5.440204015E-2
2.467702463E0,3.020323813E-3,-3.222942352E-3,-6.056594849E-2,6.072679663E-2
2.484578989E0,-4.197455943E-3,2.932697535E-4,-5.202007294E-2,5.218996677E-2
2.501456797E0,-5.265384912E-3,-2.152517438E-3,-5.365085602E-2,5.395157052E-2
2.518345581E0,-1.337394118E-3,-4.298493266E-3,-5.873012543E-2,5.890240488E-2
2.535222453E0,2.157784998E-3,-1.703783870E-3,-5.657386780E-2,5.664063412E-2
2.552098929E0,9.362548590E-4,-1.466721296E-3,-5.169487000E-2,5.172414744E-2
2.568982169E0,2.615943551E-3,1.460015774E-3,-4.851913452E-2,4.861153383E-2
2.585859407E0,-8.223205805E-5,-2.802193165E-3,-5.681228638E-2,5.688141113E-2
2.602751761E0,2.417095006E-3,-2.750933170E-3,-5.579280853E-2,5.591285600E-2
2.619617913E0,-2.417065203E-3,-5.677163601E-3,-5.513191223E-2,5.547612222E-2
2.636486463E0,2.134449780E-3,-4.985108972E-3,-4.969024658E-2,4.998527576E-2
2.653359693E0,-7.929652929E-5,-1.959845424E-3,-5.000305176E-2,5.004150744E-2
2.670247309E0,1.351296902E-3,-2.204239368E-3,-5.411052704E-2,5.417226053E-2
2.687137639E0,2.689003944E-3,-1.638606191E-3,-5.180835724E-2,5.190396567E-2
2.704010696E0,5.848899484E-3,-2.685040236E-3,-5.324649811E-2,5.363402490E-2
2.720888250E0,2.242095768E-3,-5.711972713E-3,-5.638885498E-2,5.672174708E-2
2.737773341E0,1.782454550E-3,-3.156304359E-3,-5.215454102E-2,5.228035530E-2
2.754651760E0,-1.240022480E-3,1.320615411E-3,-5.443859100E-2,5.446872379E-2
2.771538408E0,1.161359251E-3,3.221973777E-3,-5.478572845E-2,5.489267631E-2
2.788402819E0,2.653203905E-3,-5.715936422E-4,-5.191421509E-2,5.198511266E-2
2.805289557E0,-8.113682270E-6,-1.149341464E-3,-5.554103851E-2,5.555292981E-2
2.822180601E0,-4.321709275E-4,-5.299016833E-3,-5.901432037E-2,5.925332362E-2
2.839069710E0,5.384571850E-3,-5.927547812E-3,-5.255413055E-2,5.316075691E-2
2.855923968E0,2.178676426E-3,1.012757421E-3,-4.865264893E-2,4.871193443E-2
2.872826333E0,1.628205180E-3,1.997426152E-3,-5.277252197E-2,5.283540327E-2
2.889703968E0,2.774357796E-3,-3.696262836E-3,-6.265735626E-2,6.282757129E-2
2.906590312E0,-2.278111875E-3,-2.723470330E-3,-5.068874359E-2,5.081294925E-2
2.923451619E0,-3.703780472E-3,1.578137279E-3,-5.166149139E-2,5.181812617E-2
2.940349549E0,8.776858449E-4,2.155929804E-3,-5.956459045E-2,5.961005621E-2
2.957225109E0,2.626553178E-3,2.295210958E-3,-5.913734436E-2,5.924012384E-2
2.974111908E0,-8.947402239E-5,-5.182027817E-4,-5.371379852E-2,5.371637266E-2
2.990977043E0,-4.060789943E-4,-2.100244164E-3,-5.695343018E-2,5.699358854E-2
3.007870058E0,-1.619011164E-3,-1.199707389E-3,-4.897594452E-2,4.901738096E-2
3.024750775E0,2.293467522E-3,-3.989949822E-3,-5.396080017E-2,5.415669532E-2
3.041623854E0,2.912282944E-3,7.809549570E-4,-5.357742310E-2,5.366219850E-2
3.058494337E0,5.993247032E-5,-8.713752031E-4,-5.030918121E-2,5.031676262E-2
3.075392521E0,4.219673574E-3,-1.155734062E-3,-4.831504822E-2,4.851273287E-2
3.092271713E0,7.889121771E-4,-4.066765308E-3,-5.207443237E-2,5.223894591E-2
3.109152176E0,-1.529313624E-3,-5.602031946E-3,-5.150699615E-2,5.183331183E-2
3.126016902E0,-1.842655241E-3,-7.627993822E-3,-5.434417725E-2,5.490784342E-2
3.142886347E0,-1.960583031E-3,-2.083897591E-3,-5.477428436E-2,5.484896300E-2
3.159763434E0,-8.467659354E-4,2.808094025E-3,-5.077838898E-2,5.086302382E-2
3.176662726E0,3.468200564E-3,-1.703500748E-3,-5.309581757E-2,5.323622989E-2
3.193540188E0,6.959550083E-3,-1.188308001E-3,-5.637264252E-2,5.681304637E-2
3.210420234E0,1.144416630E-3,7.120519876E-4,-5.408763885E-2,5.410443036E-2
3.227282518E0,-3.474354744E-4,-1.934915781E-3,-5.294895172E-2,5.298543289E-2
3.244180387E0,2.327643335E-3,4.540368915E-3,-5.456256866E-2,5.480060924E-2
3.261058419E0,9.646423161E-3,-1.451924443E-3,-5.366992950E-2,5.454927037E-2
3.277944843E0,7.288753986E-4,-6.418719888E-3,-5.759811401E-2,5.795924398E-2
3.294838184E0,5.265846848E-3,2.520829439E-4,-5.997848511E-2,6.020972816E-2
