Time (s),Linear Acceleration z (m/s^2)
2.438204167E-2,-1.416195631E-2
3.431704166E-2,-2.314269483E-2
4.425204167E-2,-1.760421216E-2
5.418704166E-2,-2.688608229E-2
6.412204167E-2,-9.970672131E-3
7.405704167E-2,-1.888650656E-3
8.399204166E-2,-1.745452344E-2
9.392704167E-2,-1.969693065E-2
1.038620417E-1,-2.224222362E-2
1.137970417E-1,-2.628323436E-2
1.237320417E-1,-2.359293044E-2
1.336670417E-1,-2.928519487E-2
1.436010417E-1,-1.850994587E-2
1.535360417E-1,-2.165808678E-2
1.634710417E-1,-1.986416101E-2
1.734060417E-1,-2.420688808E-2
1.833410417E-1,-5.349032879E-3
1.932760417E-1,-1.028876066E-2
2.032110417E-1,-4.082116663E-2
2.131460417E-1,-1.956419885E-2
2.230810417E-1,-1.956419885E-2
2.330160417E-1,-1.716742516E-2
2.429510417E-1,-1.133131921E-2
2.528860417E-1,-1.477182090E-2
2.628200417E-1,-2.764037311E-2
2.727550417E-1,-2.644169390E-2
2.826900417E-1,-2.374671221E-2
2.926250417E-1,-1.925897419E-2
3.025600417E-1,-1.985714436E-2
3.124950417E-1,-7.430056930E-3
3.224300417E-1,-1.490981519E-2
3.323650417E-1,-2.598385692E-2
3.423000417E-1,-1.655405223E-2
3.522350417E-1,-1.640143991E-2
3.621700417E-1,-1.684816718E-2
3.721050417E-1,-1.221366405E-2
3.820400417E-1,-2.403907299E-2
3.919740417E-1,-2.059681714E-2
4.019090417E-1,-1.505950391E-2
4.118440417E-1,-1.475895703E-2
4.217790417E-1,-1.834914744E-2
4.317140417E-1,-1.011685252E-2
4.416490417E-1,-1.310653389E-2
4.515840417E-1,-9.061430097E-3
4.615190417E-1,-1.984077215E-2
4.714540417E-1,-2.044128120E-2
4.813890417E-1,-1.879879832E-3
4.913240417E-1,-1.355969310E-2
5.012590417E-1,-3.601124704E-2
5.111930417E-1,-3.061952949E-2
5.211280417E-1,-1.385263860E-2
5.310630417E-1,-2.897061467E-2
5.409980417E-1,-2.731877625E-2
5.509330417E-1,-6.061223745E-3
5.608680417E-1,-2.162885070E-2
5.708030417E-1,-2.671826720E-2
5.807380417E-1,-1.024607599E-2
5.906730417E-1,-6.500349641E-3
6.006080417E-1,-1.862805963E-2
6.105430417E-1,-3.584167778E-2
6.204780417E-1,-2.566576838E-2
6.304120417E-1,-1.653534114E-2
6.403470417E-1,-2.655863822E-2
6.502811250E-1,-2.491030812E-2
6.602161250E-1,-2.251821220E-2
6.701511250E-1,-1.593483210E-2
6.800861250E-1,-1.189148247E-2
6.900211250E-1,-2.536288261E-2
6.999561250E-1,-2.940330863E-2
7.098911250E-1,-1.877365530E-2
7.198261250E-1,-1.772758842E-2
7.297611250E-1,-2.836133480E-2
7.396961250E-1,-1.593950987E-2
7.496311250E-1,-9.504649043E-3
7.595651250E-1,-2.117978454E-2
7.695001250E-1,-3.600072205E-2
7.794351250E-1,-2.507286072E-2
7.893701250E-1,-9.653168321E-3
7.993051250E-1,-1.893503845E-2
8.092401250E-1,-3.000966489E-2
8.191751250E-1,-1.548927426E-2
8.291101250E-1,-2.476880550E-2
8.390451250E-1,-1.743522763E-2
8.489801250E-1,-2.612009704E-2
8.589151250E-1,-6.668164730E-3
8.688501250E-1,-3.465644717E-2
8.787841250E-1,-9.360222816E-3
8.887191250E-1,-4.568429589E-3
8.986541250E-1,-1.938585877E-2
9.085891250E-1,-3.285901308E-2
9.185241250E-1,-2.013605654E-2
9.284591250E-1,-2.567687809E-2
9.383941250E-1,-3.226844430E-2
9.483291250E-1,-1.310711861E-2
9.582641250E-1,-1.355793893E-2
9.681991250E-1,-2.298774362E-2
9.781341250E-1,-2.777953684E-2
9.880691250E-1,-1.535361886E-2
9.980031250E-1,-1.385848582E-2
1.007938125E0,-1.759894967E-2
1.017873125E0,-1.714754462E-2
1.027808125E0,-1.834271550E-2
1.037743125E0,-2.388002872E-2
1.047678125E0,-1.954197943E-2
1.057613125E0,-3.166559637E-2
1.067548125E0,-2.088391542E-2
1.077483125E0,-1.893679261E-2
1.087418125E0,-4.415232539E-3
1.097353125E0,-2.461911678E-2
1.107288125E0,-1.488701105E-2
1.117222125E0,-1.773343563E-2
1.127157125E0,-2.492375672E-2
1.137092125E0,-2.073598087E-2
1.147027125E0,-2.327893496E-2
1.156962125E0,-1.759485662E-2
1.166897125E0,-5.919721127E-3
1.176832125E0,-1.190493107E-2
1.186767125E0,-1.415026188E-2
1.196702125E0,-9.802272320E-3
1.206637125E0,-1.323751152E-2
1.216572125E0,-1.637922049E-2
1.226507125E0,-3.030085623E-2
1.236441125E0,-1.173594654E-2
1.246376125E0,-1.547641039E-2
1.256311125E0,-2.430804491E-2
1.266246125E0,-9.045057893E-3
1.276181125E0,-2.341400564E-2
1.286116125E0,-1.981972218E-2
1.296051125E0,-1.607925832E-2
1.305986125E0,-1.368657768E-2
1.315921125E0,-1.443151295E-2
1.325856125E0,-2.805377126E-2
1.335791125E0,-1.637688160E-2
1.345726125E0,-1.427890062E-2
1.355660125E0,-1.712123215E-2
1.365595125E0,-2.774971604E-2
1.375530125E0,-1.472270429E-2
1.385465125E0,-2.939336836E-2
1.395400125E0,-1.083547533E-2
1.405335125E0,-1.547933400E-2
1.415270125E0,-1.188680470E-2
1.425205125E0,-2.101489305E-2
1.435140125E0,-3.284030199E-2
1.445075125E0,-1.981972218E-2
1.455010125E0,-1.802638113E-2
1.464945125E0,-2.102074027E-2
1.474879125E0,-1.862805963E-2
1.484814125E0,-2.342043757E-2
1.494749125E0,-2.357071102E-2
1.504684125E0,-1.144592464E-2
1.514619125E0,-3.314961970E-2
1.524554125E0,-1.474433899E-2
1.534489125E0,-3.016227722E-2
1.544424125E0,-2.013371766E-2
1.554359125E0,-1.205169618E-2
1.564294125E0,-2.432734072E-2
1.574229125E0,-2.297897279E-2
1.584164125E0,-1.025426209E-2
1.594098125E0,-2.477640688E-2
1.604033125E0,-2.417531312E-2
1.613968125E0,-2.148091614E-2
1.623903125E0,-2.433026433E-2
1.633838125E0,-2.625984550E-3
1.643772875E0,-2.807423651E-2
1.653707875E0,-2.448463082E-2
1.663642875E0,-1.370411932E-2
1.673577875E0,-1.909232855E-2
1.683512875E0,-2.208317935E-2
1.693447875E0,-2.867474556E-2
1.703382875E0,-3.077331126E-2
1.713316875E0,-1.011743724E-2
1.723251875E0,-6.524323225E-3
1.733186875E0,-2.568389475E-2
1.743121875E0,-2.613471508E-2
1.753056875E0,-1.864794016E-2
1.762991875E0,-1.760011911E-2
1.772926875E0,-2.059681714E-2
1.782861875E0,-2.239483595E-2
1.792796875E0,-2.374203444E-2
1.802731875E0,-9.916877747E-4
1.812666875E0,-2.935302258E-3
1.822601875E0,-2.898581743E-2
1.832535875E0,-3.871792316E-2
1.842470875E0,-1.222243488E-2
1.852405875E0,-1.551383257E-2
1.862340875E0,-1.731302083E-2
1.872275875E0,-1.357021809E-2
1.882210875E0,-1.671309650E-2
1.892145875E0,-2.524535358E-2
1.902080875E0,-1.880990803E-2
1.912015875E0,-4.136320353E-3
1.921950875E0,-2.449340165E-2
1.931885875E0,-1.326148510E-2
1.941819875E0,-1.759953439E-2
1.951754875E0,-2.418583810E-2
1.961689875E0,-3.092416942E-2
1.971624875E0,-1.505541086E-2
1.981559875E0,-2.433318794E-2
1.991494875E0,-5.770617127E-3
2.001429875E0,-3.031722844E-2
2.011364875E0,-2.387827456E-2
2.021299875E0,-1.114771664E-2
2.031234875E0,-1.653300226E-2
2.041169875E0,-1.937533379E-2
2.051104875E0,-2.072136283E-2
2.061038875E0,-2.790992975E-2
2.070973875E0,-1.908121884E-2
2.080908875E0,-2.940974057E-2
2.090843875E0,-2.522021055E-2
2.100778875E0,-2.132596493E-2
2.110713875E0,-2.671358943E-2
2.120648875E0,-1.010223448E-2
2.130583875E0,-1.892919123E-2
2.140518875E0,-1.937357962E-2
2.150453875E0,-3.134516895E-2
2.160388875E0,-2.311111987E-2
2.170323875E0,-1.352870286E-2
2.180257875E0,-1.098224044E-2
2.190192875E0,-1.487356246E-2
2.200127875E0,-1.427422285E-2
2.210062875E0,-1.352987230E-2
2.219997875E0,-8.443964124E-3
2.229932875E0,-1.623362482E-2
2.239867875E0,-2.402153134E-2
2.249802875E0,-2.491907895E-2
2.259737875E0,-1.773460507E-2
2.269672875E0,-2.014365792E-3
2.279607875E0,-2.027580500E-2
2.289542875E0,-1.533783138E-2
2.299476875E0,-1.878125668E-2
2.309411875E0,-1.892626762E-2
2.319346875E0,-1.757906914E-2
2.329281875E0,-2.012670100E-2
2.339216875E0,-1.908004940E-2
2.349151875E0,-1.818250179E-2
2.359086875E0,-2.581955016E-2
2.369021875E0,-1.788020074E-2
2.378956875E0,-2.296669364E-2
2.388891875E0,-1.218559742E-2
2.398826875E0,-1.322757125E-2
2.408760875E0,-1.352753341E-2
2.418695875E0,-2.161364794E-2
2.428630875E0,-2.356018603E-2
2.438565875E0,-1.772641897E-2
2.448500875E0,-2.536522150E-2
2.458435875E0,-1.892919123E-2
2.468370875E0,-2.147506893E-2
2.478305875E0,-2.701530576E-2
2.488240875E0,-2.162183404E-2
2.498175875E0,-2.566752255E-2
2.508110875E0,-3.300402403E-2
2.518045875E0,-2.521728694E-2
