Time Lapsed,Temperature
479.708,30.09
479.814,30.06
479.913,30.11
480.015,30.07
480.119,30.09
530.244,30.09
530.324,30.11
530.426,30.11
530.454,30.07
530.553,30.09
530.653,30.11
530.757,30.11
530.858,30.07
530.963,30.06
531.064,30.09
531.165,30.11
531.264,30.07
531.351,30.07
531.450,30.11
531.552,30.09
531.673,30.06
531.757,30.09
531.859,30.09
531.961,30.11
532.067,30.06
532.166,30.07
532.268,30.07
532.369,30.07
532.475,30.12
532.575,30.06
532.677,30.07
532.780,30.07
532.884,30.04
532.986,30.09
533.100,30.06
533.195,30.09
533.254,30.06
533.357,30.07
533.512,30.07
533.602,30.07
533.706,30.09
533.836,30.07
533.844,30.09
533.944,30.07
534.043,30.09
534.145,30.09
534.318,30.09
534.345,30.07
534.443,30.09
534.548,30.07
534.649,30.07
534.742,30.06
534.852,30.09
534.972,30.07
535.048,30.06
535.143,30.06
535.243,30.04
535.341,30.06
535.449,30.03
535.553,30.09
535.651,30.06
535.751,30.06
535.847,30.03
535.952,30.07
536.075,30.09
536.159,30.04
536.262,30.06
536.364,30.07
536.487,30.06
536.569,30.03
536.672,30.06
536.775,30.06
536.878,30.07
537.004,30.07
537.083,30.06
537.184,30.07
537.287,30.04
537.389,30.06
537.489,30.06
537.592,30.06
537.695,30.06
537.798,30.03
537.833,30.07
537.936,30.03
538.031,30.06
538.130,30.06
538.233,30.09
538.346,30.07
538.443,30.06
538.540,30.06
538.646,30.06
538.743,30.09
538.847,30.04
538.948,30.04
539.028,30.03
539.129,30.03
539.226,30.09
539.347,30.06
539.472,30.03
539.543,30.07
539.641,30.07
539.748,30.04
539.834,30.03
539.953,30.07
540.048,30.06
540.161,30.06
590.257,30.04
590.353,30.06
590.449,30.06
590.553,30.03
590.673,30.06
590.770,30.04
590.861,30.07
590.962,30.06
591.082,30.03
591.180,30.06
591.266,30.06
591.389,30.01
591.482,30.03
591.586,30.04
591.676,30.04
591.729,30.04
591.827,30.01
591.923,30.04
592.021,30.03
592.119,30.01
592.239,30.04
592.323,30.01
592.435,30.03
592.518,30.01
592.638,30.03
592.722,30.07
592.819,30.03
592.916,30.04
593.056,30.03
593.135,29.98
593.233,30.04
593.330,30.03
593.423,30.01
593.535,30.03
593.631,30.0
593.724,30.06
593.836,30.01
593.932,30.03
594.036,30.03
594.134,30.01
594.248,30.04
594.344,30.03
594.440,30.01
594.543,30.01
594.633,30.03
594.761,30.01
594.858,30.06
594.965,30.03
595.058,30.0
595.110,30.03
595.274,30.06
595.376,30.0
595.484,30.01
595.577,30.04
595.678,30.03
595.802,30.03
595.887,30.04
595.915,30.04
596.021,30.0
596.119,30.03
596.221,30.07
596.320,30.0
596.409,30.04
596.506,30.03
596.629,30.0
596.706,30.03
596.811,30.04
596.913,30.01
597.015,30.03
597.116,30.03
597.219,30.0
597.322,30.01
597.423,30.03
597.525,30.0
597.629,30.0
597.731,30.03
597.835,30.03
597.935,30.03
598.038,30.0
598.141,30.03
598.246,30.03
598.346,30.01
598.448,30.0
598.579,30.01
598.658,30.0
598.779,30.03
598.858,30.01
598.982,30.04
599.016,30.04
599.123,30.03
599.266,30.01
599.305,30.01
599.398,30.01
599.575,30.01
599.603,30.01
599.702,30.03
599.811,30.01
599.907,30.01
600.008,30.03
600.111,30.0
650.212,30.0
650.315,30.0
650.406,30.04
650.496,29.98
650.597,30.0
650.702,30.01
650.818,30.03
650.906,30.03
651.018,30.03
651.114,29.98
651.219,30.01
651.319,29.96
651.417,30.06
651.519,30.0
651.624,30.0
651.725,30.0
651.827,30.03
651.930,30.01
652.033,29.98
652.133,30.03
652.243,29.98
652.339,29.98
652.440,29.98
652.543,29.98
652.655,29.98
652.760,29.95
652.855,30.03
652.953,29.98
653.010,29.98
653.117,30.0
653.262,30.03
653.290,29.98
653.387,29.96
653.489,29.96
653.592,29.98
653.771,30.01
