Time Lapsed,Angle_Z
475.203,-70.532
475.307,-70.532
475.428,-70.532
475.511,-70.532
475.611,-70.532
475.716,-70.532
475.820,-70.532
475.918,-70.532
476.021,-70.532
476.125,-70.532
476.227,-70.532
476.329,-70.532
476.433,-70.532
476.534,-70.532
476.562,-70.532
476.737,-70.532
476.765,-70.532
476.878,-70.532
476.974,-70.532
477.070,-70.532
477.176,-70.532
477.264,-70.532
477.377,-70.532
477.479,-70.532
477.589,-70.532
477.662,-70.532
477.763,-70.532
477.866,-70.532
477.969,-70.532
478.070,-70.532
478.173,-70.532
478.274,-70.532
478.391,-70.532
478.487,-70.532
478.584,-70.532
478.690,-70.532
478.782,-70.532
478.889,-70.532
478.993,-70.532
479.103,-70.532
479.198,-70.532
479.298,-70.532
479.426,-70.532
479.500,-70.532
479.607,-70.532
479.708,-70.532
479.814,-70.532
479.913,-70.532
480.015,-70.532
480.119,-70.532
530.244,-70.532
530.324,-70.532
530.426,-70.532
530.454,-70.532
530.553,-70.532
530.653,-70.532
530.757,-70.532
530.858,-70.532
530.963,-70.532
531.064,-70.532
531.165,-70.532
531.264,-70.532
531.351,-70.532
531.450,-70.532
531.552,-70.532
531.673,-70.532
531.757,-70.532
531.859,-70.532
531.961,-70.532
532.067,-70.532
532.166,-70.532
532.268,-70.532
532.369,-70.532
532.475,-70.532
532.575,-70.532
532.677,-70.532
532.780,-70.532
532.884,-70.532
532.986,-70.532
533.100,-70.532
533.195,-70.532
533.254,-70.532
533.357,-70.532
533.512,-70.532
533.602,-70.532
533.706,-70.532
533.836,-70.532
533.844,-70.532
533.944,-70.532
534.043,-70.532
534.145,-70.532
534.318,-70.532
534.345,-70.532
534.443,-70.532
534.548,-70.532
534.649,-70.532
534.742,-70.532
534.852,-70.532
534.972,-70.532
535.048,-70.532
535.143,-70.532
535.243,-70.532
535.341,-70.532
535.449,-70.532
535.553,-70.532
535.651,-70.532
535.751,-70.532
535.847,-70.532
535.952,-70.532
536.075,-70.532
536.159,-70.532
536.262,-70.532
536.364,-70.532
536.487,-70.532
536.569,-70.532
536.672,-70.532
536.775,-70.532
536.878,-70.532
537.004,-70.532
537.083,-70.532
537.184,-70.532
537.287,-70.532
537.389,-70.532
537.489,-70.532
537.592,-70.532
537.695,-70.532
537.798,-70.532
537.833,-70.532
537.936,-70.532
538.031,-70.532
538.130,-70.532
538.233,-70.532
538.346,-70.532
538.443,-70.532
538.540,-70.532
538.646,-70.532
538.743,-70.532
538.847,-70.532
538.948,-70.532
539.028,-70.532
539.129,-70.532
539.226,-70.532
539.347,-70.532
539.472,-70.532
539.543,-70.532
539.641,-70.532
539.748,-70.532
539.834,-70.532
539.953,-70.532
540.048,-70.532
540.161,-70.532
590.257,-70.532
590.353,-70.532
590.449,-70.532
590.553,-70.532
590.673,-70.532
590.770,-70.532
590.861,-70.532
590.962,-70.532
591.082,-70.532
591.180,-70.532
591.266,-70.532
591.389,-70.532
591.482,-70.532
591.586,-70.532
591.676,-70.532
591.729,-70.532
591.827,-70.532
591.923,-70.532
592.021,-70.532
592.119,-70.532
592.239,-70.532
592.323,-70.532
592.435,-70.532
592.518,-70.532
592.638,-70.532
592.722,-70.532
592.819,-70.532
592.916,-70.532
593.056,-70.532
593.135,-70.532
593.233,-70.532
593.330,-70.532
593.423,-70.532
593.535,-70.532
593.631,-70.532
593.724,-70.532
593.836,-70.532
593.932,-70.532
594.036,-70.532
594.134,-70.532
594.248,-70.532
594.344,-70.532
594.440,-70.532
594.543,-70.532
594.633,-70.532
594.761,-70.532
594.858,-70.532
594.965,-70.532
595.058,-70.532
595.110,-70.532
595.274,-70.532
595.376,-70.532
595.484,-70.532
595.577,-70.532
595.678,-70.532
595.802,-70.532
595.887,-70.532
595.915,-70.532
596.021,-70.532
596.119,-70.532
596.221,-70.532
596.320,-70.532
596.409,-70.532
596.506,-70.532
596.629,-70.532
596.706,-70.532
596.811,-70.532
596.913,-70.532
597.015,-70.532
597.116,-70.532
597.219,-70.532
597.322,-70.532
597.423,-70.532
597.525,-70.532
597.629,-70.532
597.731,-70.532
597.835,-70.532
597.935,-70.532
598.038,-70.532
598.141,-70.532
598.246,-70.532
598.346,-70.532
598.448,-70.532
598.579,-70.532
598.658,-70.532
598.779,-70.532
598.858,-70.532
598.982,-70.532
599.016,-70.532
599.123,-70.532
599.266,-70.532
599.305,-70.532
599.398,-70.532
599.575,-70.532
599.603,-70.532
599.702,-70.532
599.811,-70.532
