Time,Acceleration_X
475.307,-0.008
475.428,-0.008
475.511,-0.009
475.611,-0.008
475.716,-0.008
475.820,-0.008
475.918,-0.009
476.021,-0.008
476.125,-0.009
476.227,-0.008
476.329,-0.008
476.433,-0.009
476.534,-0.009
476.562,-0.008
476.737,-0.009
476.765,-0.008
476.878,-0.008
476.974,-0.008
477.070,-0.009
477.176,-0.008
477.264,-0.009
477.377,-0.009
477.479,-0.008
477.589,-0.008
477.662,-0.008
477.763,-0.008
477.866,-0.009
477.969,-0.009
478.070,-0.009
478.173,-0.008
478.274,-0.008
478.391,-0.009
478.487,-0.009
478.584,-0.009
478.690,-0.008
478.782,-0.009
478.889,-0.008
478.993,-0.009
479.103,-0.008
479.198,-0.008
479.298,-0.009
479.426,-0.008
479.500,-0.008
479.607,-0.009
479.708,-0.009
479.814,-0.008
479.913,-0.008
480.015,-0.009
480.119,-0.009
530.244,-0.009
530.324,-0.009
530.426,-0.008
530.454,-0.008
530.553,-0.009
530.653,-0.008
530.757,-0.009
530.858,-0.008
530.963,-0.008
531.064,-0.008
531.165,-0.008
531.264,-0.009
531.351,-0.009
531.450,-0.008
531.552,-0.009
531.673,-0.008
531.757,-0.009
531.859,-0.008
531.961,-0.009
532.067,-0.009
532.166,-0.008
532.268,-0.009
532.369,-0.008
532.475,-0.008
532.575,-0.009
532.677,-0.008
532.780,-0.009
532.884,-0.008
532.986,-0.009
533.100,-0.008
533.195,-0.009
533.254,-0.008
533.357,-0.009
533.512,-0.008
533.602,-0.009
533.706,-0.008
533.836,-0.008
533.844,-0.009
533.944,-0.008
534.043,-0.008
534.145,-0.008
534.318,-0.008
534.345,-0.008
534.443,-0.009
534.548,-0.008
534.649,-0.008
534.742,-0.008
534.852,-0.009
534.972,-0.009
535.048,-0.009
535.143,-0.009
535.243,-0.008
535.341,-0.008
535.449,-0.008
535.553,-0.008
535.651,-0.008
535.751,-0.009
535.847,-0.008
535.952,-0.008
536.075,-0.008
536.159,-0.008
536.262,-0.009
536.364,-0.009
536.487,-0.008
536.569,-0.008
536.672,-0.009
536.775,-0.009
536.878,-0.008
537.004,-0.008
537.083,-0.008
537.184,-0.009
537.287,-0.008
537.389,-0.009
537.489,-0.009
537.592,-0.008
537.695,-0.009
537.798,-0.008
537.833,-0.008
537.936,-0.008
538.031,-0.008
538.130,-0.009
538.233,-0.009
538.346,-0.008
538.443,-0.008
538.540,-0.008
538.646,-0.008
538.743,-0.008
538.847,-0.009
538.948,-0.009
539.028,-0.009
539.129,-0.009
539.226,-0.008
539.347,-0.009
539.472,-0.009
539.543,-0.008
539.641,-0.009
539.748,-0.009
539.834,-0.008
539.953,-0.008
540.048,-0.009
540.161,-0.009
590.257,-0.008
590.353,-0.008
590.449,-0.008
590.553,-0.008
590.673,-0.009
590.770,-0.008
590.861,-0.008
590.962,-0.008
591.082,-0.009
591.180,-0.008
591.266,-0.008
591.389,-0.008
591.482,-0.009
591.586,-0.008
591.676,-0.009
591.729,-0.009
591.827,-0.008
591.923,-0.008
592.021,-0.008
592.119,-0.009
592.239,-0.008
592.323,-0.009
592.435,-0.009
592.518,-0.009
592.638,-0.008
592.722,-0.009
592.819,-0.008
592.916,-0.008
593.056,-0.008
593.135,-0.008
593.233,-0.009
593.330,-0.008
593.423,-0.008
593.535,-0.009
593.631,-0.008
593.724,-0.008
593.836,-0.009
593.932,-0.008
594.036,-0.008
594.134,-0.008
594.248,-0.008
594.344,-0.009
594.440,-0.008
594.543,-0.008
594.633,-0.009
594.761,-0.009
594.858,-0.009
594.965,-0.008
595.058,-0.009
595.110,-0.009
595.274,-0.009
595.376,-0.008
595.484,-0.009
595.577,-0.008
595.678,-0.008
595.802,-0.009
595.887,-0.009
595.915,-0.008
596.021,-0.008
596.119,-0.009
596.221,-0.008
596.320,-0.009
596.409,-0.008
596.506,-0.008
596.629,-0.009
596.706,-0.009
596.811,-0.009
596.913,-0.009
597.015,-0.009
597.116,-0.009
597.219,-0.009
597.322,-0.008
597.423,-0.009
597.525,-0.009
597.629,-0.008
597.731,-0.009
597.835,-0.009
597.935,-0.008
598.038,-0.008
598.141,-0.009
598.246,-0.008
598.346,-0.009
598.448,-0.008
598.579,-0.009
598.658,-0.008
598.779,-0.008
598.858,-0.008
598.982,-0.009
599.016,-0.008
599.123,-0.009
599.266,-0.008
599.305,-0.008
599.398,-0.009
599.575,-0.009
599.603,-0.009
599.702,-0.008
599.811,-0.008
599.907,-0.008
600.008,-0.009
600.111,-0.009
650.212,-0.008
650.315,-0.008
650.406,-0.009
650.496,-0.008
650.597,-0.008
650.702,-0.009
650.818,-0.009
650.906,-0.008
651.018,-0.008
651.114,-0.008
651.219,-0.009
651.319,-0.01
651.417,-0.008
651.519,-0.008
651.624,-0.008
651.725,-0.008
651.827,-0.008
651.930,-0.009
652.033,-0.009
652.133,-0.008
652.243,-0.009
652.339,-0.009
652.440,-0.009
652.543,-0.008
652.655,-0.008
652.760,-0.008
652.855,-0.009
652.953,-0.008
653.010,-0.008
653.117,-0.009
653.262,-0.009
653.290,-0.009
653.387,-0.009
653.489,-0.009
653.592,-0.009
653.771,-0.009
653.798,-0.009
653.899,-0.008
654.003,-0.008
654.106,-0.008
654.206,-0.009
654.308,-0.008
654.388,-0.008
654.493,-0.009
654.591,-0.009
654.694,-0.009
654.817,-0.009
654.906,-0.009
655.002,-0.008
655.104,-0.009
655.229,-0.008
655.308,-0.009
655.411,-0.009
655.514,-0.008
655.621,-0.008
655.719,-0.008
655.820,-0.008
655.923,-0.008
656.030,-0.008
656.129,-0.008
656.230,-0.009
656.332,-0.009
656.436,-0.009
656.538,-0.009
656.655,-0.008
656.743,-0.009
656.844,-0.008
656.945,-0.009
657.065,-0.009
657.096,-0.009
657.258,-0.009
657.285,-0.009
657.390,-0.009
657.486,-0.008
657.589,-0.008
657.693,-0.009
657.793,-0.009
657.891,-0.009
657.997,-0.009
658.076,-0.009
658.175,-0.009
658.278,-0.009
658.381,-0.009
658.492,-0.009
658.586,-0.009
658.707,-0.009
658.789,-0.009
658.904,-0.008
659.000,-0.008
659.097,-0.009
659.200,-0.008
659.301,-0.008
659.406,-0.009
659.507,-0.008
659.610,-0.009
659.711,-0.009
659.815,-0.009
659.916,-0.009
660.019,-0.008
660.124,-0.009
710.224,-0.009
710.328,-0.009
710.428,-0.009
710.531,-0.008
710.634,-0.009
710.749,-0.009
710.838,-0.009
710.868,-0.009
711.065,-0.008
711.081,-0.009
711.172,-0.009
711.276,-0.009
711.374,-0.009
711.477,-0.008
711.579,-0.009
711.681,-0.009
711.801,-0.009
711.864,-0.009
711.964,-0.008
712.068,-0.009
712.168,-0.009
712.277,-0.008
712.376,-0.009
712.476,-0.009
712.578,-0.009
712.683,-0.008
712.786,-0.009
712.905,-0.009
712.992,-0.009
713.091,-0.008
713.194,-0.009
713.315,-0.008
713.398,-0.008
713.496,-0.009
713.602,-0.009
713.707,-0.009
713.808,-0.009
713.910,-0.009
714.013,-0.009
714.117,-0.009
714.217,-0.008
714.320,-0.009
714.422,-0.008
714.526,-0.008
714.628,-0.008
714.739,-0.008
714.758,-0.008
714.857,-0.009
714.958,-0.008
715.059,-0.008
715.175,-0.009
715.271,-0.009
715.368,-0.009
715.475,-0.008
715.576,-0.009
715.675,-0.008
715.754,-0.009
715.858,-0.009
715.959,-0.009
716.062,-0.009
716.162,-0.009
716.266,-0.009
716.393,-0.009
716.479,-0.008
716.576,-0.009
716.675,-0.008
716.778,-0.009
716.849,-0.009
716.989,-0.008
717.086,-0.009
717.186,-0.008
717.313,-0.009
717.391,-0.009
717.494,-0.009
717.597,-0.008
717.699,-0.008
717.803,-0.009
717.905,-0.009
718.006,-0.009
718.047,-0.008
718.209,-0.009
718.314,-0.009
718.415,-0.008
718.518,-0.009
718.545,-0.008
718.645,-0.008
718.746,-0.008
718.849,-0.009
718.953,-0.008
719.053,-0.008
719.150,-0.008
719.259,-0.009
719.363,-0.009
719.463,-0.008
719.561,-0.009
719.645,-0.009
719.747,-0.009
719.850,-0.009
719.954,-0.009
720.055,-0.009
720.157,-0.008
1010.258,-0.009
1010.364,-0.008
1010.465,-0.009
1010.565,-0.008
1010.668,-0.008
1010.771,-0.009
1010.874,-0.009
1010.985,-0.009
