Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 20:07:53.431,COM3,, -0.014, -0.012, 1.002, 0.000, 0.000, 0.000, 0.005, 0.231, -70.532, -32.167, 11.940, 8.953, 27.68,,,,,,,,,,,,,,,,
 20:07:53.544,COM3,, -0.014, -0.011, 1.002, 0.000, 0.000, 0.000, 0.000, 0.231, -70.532, -32.160, 12.047, 9.300, 27.71,,,,,,,,,,,,,,,,
 20:07:53.640,COM3,, -0.014, -0.011, 1.000, 0.000, 0.000, 0.000, 0.000, 0.231, -70.532, -32.127, 12.067, 9.367, 27.68,,,,,,,,,,,,,,,,
 20:07:53.742,COM3,, -0.013, -0.012, 1.001, 0.000, 0.000, 0.000, 0.000, 0.231, -70.532, -32.127, 12.047, 9.220, 27.69,,,,,,,,,,,,,,,,
 20:07:53.844,COM3,, -0.014, -0.012, 1.002, 0.000, 0.000, 0.000, 0.000, 0.231, -70.532, -32.247, 12.100, 9.160, 27.66,,,,,,,,,,,,,,,,
 20:07:53.933,COM3,, -0.014, -0.011, 1.000, 0.000, 0.000, 0.000, 0.000, 0.231, -70.532, -32.193, 12.147, 9.093, 27.68,,,,,,,,,,,,,,,,
 20:07:54.029,COM3,, -0.014, -0.012, 1.000, 0.000, 0.000, 0.000, 0.000, 0.231, -70.532, -32.200, 11.940, 9.500, 27.66,,,,,,,,,,,,,,,,
 20:07:54.127,COM3,, -0.014, -0.011, 1.003, 0.000, 0.000, 0.000, 0.000, 0.231, -70.532, -32.140, 11.980, 9.453, 27.63,,,,,,,,,,,,,,,,
 20:07:54.223,COM3,, -0.014, -0.012, 1.001, 0.000, 0.000, 0.000, 0.005, 0.231, -70.532, -32.107, 12.027, 9.360, 27.72,,,,,,,,,,,,,,,,
 20:07:54.324,COM3,, -0.014, -0.012, 1.001, 0.000, 0.000, 0.000, 0.005, 0.231, -70.532, -32.027, 12.133, 8.900, 27.68,,,,,,,,,,,,,,,,
 20:07:54.446,COM3,, -0.014, -0.011, 1.001, 0.000, 0.000, 0.000, 0.005, 0.231, -70.532, -32.180, 11.953, 9.013, 27.66,,,,,,,,,,,,,,,,
 20:07:54.545,COM3,, -0.014, -0.012, 1.002, 0.000, 0.000, 0.000, 0.005, 0.231, -70.532, -32.160, 12.047, 9.200, 27.68,,,,,,,,,,,,,,,,
 20:07:54.630,COM3,, -0.014, -0.012, 1.001, 0.000, 0.000, 0.000, 0.005, 0.231, -70.532, -32.147, 11.933, 9.360, 27.68,,,,,,,,,,,,,,,,
 20:07:54.748,COM3,, -0.014, -0.012, 1.001, 0.000, 0.000, 0.000, 0.005, 0.231, -70.532, -32.193, 12.133, 9.153, 27.69,,,,,,,,,,,,,,,,
