Time Lapsed,Acceleration_Z
479.607,1.002
479.708,1.003
479.814,1.002
479.913,1.002
480.015,1.002
480.119,1.001
530.244,1.001
530.324,1.002
530.426,1.002
530.454,1.002
530.553,1.002
530.653,1.002
530.757,1.002
530.858,1.001
530.963,1.001
531.064,1.002
531.165,1.003
531.264,1.002
531.351,1.001
531.450,1.002
531.552,1.0
531.673,1.001
531.757,1.001
531.859,1.001
531.961,1.004
532.067,1.001
532.166,1.002
532.268,1.002
532.369,1.001
532.475,1.003
532.575,1.002
532.677,1.003
532.780,1.002
532.884,1.001
532.986,1.002
533.100,1.002
533.195,1.001
533.254,1.001
533.357,1.002
533.512,1.003
533.602,1.002
533.706,1.002
533.836,1.001
533.844,1.001
533.944,1.001
534.043,1.0
534.145,1.002
534.318,1.003
534.345,1.002
534.443,1.002
534.548,1.001
534.649,1.002
534.742,1.002
534.852,1.002
534.972,1.002
535.048,1.002
535.143,1.001
535.243,1.002
535.341,1.001
535.449,1.002
535.553,1.002
535.651,1.002
535.751,1.003
535.847,1.002
535.952,1.003
536.075,1.001
536.159,1.002
536.262,1.002
536.364,1.001
536.487,1.001
536.569,1.0
536.672,1.002
536.775,1.001
536.878,1.002
537.004,1.002
537.083,1.002
537.184,1.002
537.287,1.002
537.389,1.0
537.489,1.002
537.592,1.001
537.695,1.001
537.798,1.001
537.833,1.001
537.936,1.002
538.031,1.001
538.130,1.001
538.233,1.003
538.346,1.0
538.443,1.003
538.540,1.001
538.646,1.001
538.743,1.001
538.847,1.001
538.948,1.002
539.028,1.0
539.129,1.002
539.226,1.003
539.347,1.0
539.472,1.002
539.543,1.002
539.641,1.002
539.748,1.002
539.834,1.001
539.953,1.003
540.048,1.002
540.161,1.002
590.257,1.002
590.353,1.001
590.449,1.001
590.553,1.001
590.673,1.002
590.770,1.002
590.861,1.0
590.962,1.003
591.082,1.003
591.180,1.002
591.266,1.002
591.389,1.001
591.482,1.001
591.586,1.001
591.676,1.001
591.729,1.003
591.827,1.001
591.923,1.002
592.021,1.002
592.119,1.002
592.239,1.002
592.323,1.002
592.435,1.002
592.518,1.001
592.638,1.002
592.722,1.003
592.819,1.001
592.916,1.003
593.056,1.0
593.135,1.002
593.233,1.003
593.330,1.003
593.423,1.001
593.535,1.0
593.631,1.001
593.724,1.001
593.836,1.003
593.932,1.002
594.036,1.001
594.134,1.001
594.248,1.002
594.344,1.001
594.440,1.002
594.543,1.002
594.633,1.002
594.761,1.002
594.858,1.001
594.965,1.002
595.058,1.0
595.110,1.001
595.274,1.003
595.376,1.001
595.484,1.002
595.577,1.001
595.678,1.003
595.802,1.002
595.887,1.001
595.915,1.002
596.021,1.002
596.119,1.002
596.221,1.003
596.320,1.001
596.409,1.001
596.506,1.001
596.629,1.001
596.706,1.001
596.811,1.001
596.913,1.002
597.015,1.003
597.116,1.002
597.219,1.003
