Time Lapsed,Magnetic field Z
479.607,9.093
479.708,9.6
479.814,9.5
479.913,9.287
480.015,9.233
480.119,9.26
530.244,9.48
530.324,9.38
530.426,9.14
530.454,9.24
530.553,9.327
530.653,9.38
530.757,9.62
530.858,9.38
530.963,9.56
531.064,9.333
531.165,9.373
531.264,9.32
531.351,9.42
531.450,9.053
531.552,9.313
531.673,9.48
531.757,9.56
531.859,9.167
531.961,9.393
532.067,9.307
532.166,9.24
532.268,9.48
532.369,9.447
532.475,9.313
532.575,9.373
532.677,9.213
532.780,9.367
532.884,9.52
532.986,9.493
533.100,9.353
533.195,9.353
533.254,9.367
533.357,9.36
533.512,9.587
533.602,9.427
533.706,9.367
533.836,9.213
533.844,9.527
533.944,9.507
534.043,9.46
534.145,9.307
534.318,9.38
534.345,9.293
534.443,9.18
534.548,9.287
534.649,9.547
534.742,9.967
534.852,9.46
534.972,9.387
535.048,9.273
535.143,9.267
535.243,9.38
535.341,9.533
535.449,9.227
535.553,9.36
535.651,9.44
535.751,9.613
535.847,9.347
535.952,9.247
536.075,9.153
536.159,9.173
536.262,9.36
536.364,9.42
536.487,9.147
536.569,9.173
536.672,9.447
536.775,9.293
536.878,9.247
537.004,9.16
537.083,9.08
537.184,9.26
537.287,9.427
537.389,9.307
537.489,9.213
537.592,9.247
537.695,9.353
537.798,9.547
537.833,9.427
537.936,9.08
538.031,9.407
538.130,9.38
538.233,9.607
538.346,9.34
538.443,9.173
538.540,9.16
538.646,9.293
538.743,9.32
538.847,9.42
538.948,9.5
539.028,9.4
539.129,9.38
539.226,9.313
539.347,9.493
539.472,9.46
539.543,9.327
539.641,9.433
539.748,9.313
539.834,9.547
539.953,9.247
540.048,9.273
540.161,9.373
590.257,9.587
590.353,9.6
590.449,9.627
590.553,9.433
590.673,9.36
590.770,9.427
590.861,9.493
590.962,9.687
591.082,9.307
591.180,9.047
591.266,9.28
591.389,9.2
591.482,9.413
591.586,9.527
591.676,9.44
591.729,9.22
591.827,9.373
591.923,9.333
592.021,9.64
592.119,9.507
592.239,9.46
592.323,9.433
592.435,9.507
592.518,9.313
592.638,9.353
592.722,9.427
592.819,9.36
592.916,9.473
593.056,9.453
593.135,9.5
593.233,9.207
593.330,9.32
593.423,9.46
593.535,9.56
593.631,9.013
593.724,8.907
593.836,9.393
593.932,9.347
594.036,9.507
594.134,9.527
594.248,9.213
594.344,9.46
594.440,9.313
594.543,9.513
594.633,9.353
594.761,8.953
594.858,9.287
594.965,9.487
595.058,9.487
595.110,9.613
595.274,9.307
595.376,9.567
595.484,9.367
595.577,9.167
595.678,9.333
595.802,9.553
595.887,9.193
595.915,9.5
596.021,9.52
596.119,9.527
596.221,9.32
596.320,9.38
596.409,9.333
596.506,9.233
596.629,9.187
596.706,9.407
596.811,9.507
596.913,9.42
597.015,9.507
597.116,9.487
597.219,9.707
597.322,9.407
597.423,9.1
597.525,9.373
597.629,9.48
597.731,9.393
597.835,9.327
597.935,9.027
598.038,9.153
598.141,9.287
598.246,9.24
598.346,9.227
598.448,8.967
598.579,9.34
598.658,9.5
598.779,9.507
598.858,9.607
598.982,9.093
599.016,9.287
599.123,9.493
599.266,9.427
599.305,9.467
599.398,9.127
599.575,9.273
599.603,9.233
599.702,9.427
599.811,9.447
599.907,9.453
600.008,9.287
600.111,9.44
650.212,9.42
650.315,9.307
650.406,9.253
650.496,9.367
650.597,9.4
650.702,9.34
650.818,9.32
650.906,9.46
651.018,9.353
651.114,9.44
651.219,9.387
651.319,9.54
651.417,9.727
651.519,9.153
651.624,9.067
651.725,9.433
651.827,9.313
651.930,9.393
652.033,9.167
652.133,9.393
652.243,9.507
652.339,9.287
652.440,9.273
652.543,9.267
652.655,9.193
652.760,9.373
652.855,9.18
652.953,9.2
653.010,9.593
653.117,9.26
653.262,9.16
653.290,9.353
653.387,9.327
653.489,9.553
653.592,9.387
653.771,9.42
653.798,9.447
653.899,9.567
654.003,9.44
654.106,9.6
654.206,9.5
654.308,9.16
654.388,9.167
654.493,9.32
654.591,9.467
654.694,9.293
654.817,9.207
654.906,9.327
655.002,9.307
655.104,9.213
655.229,9.267
655.308,9.453
655.411,9.347
655.514,9.52
655.621,9.28
655.719,9.02
655.820,9.34
655.923,9.213
656.030,9.247
656.129,9.447
656.230,8.96
656.332,9.22
656.436,9.473
656.538,9.247
656.655,9.307
656.743,9.233
656.844,9.387
656.945,9.42
657.065,9.333
657.096,9.287
657.258,9.447
657.285,9.34
657.390,9.2
657.486,9.687
657.589,9.36
657.693,9.347
657.793,9.54
657.891,9.327
657.997,9.427
658.076,9.46
