Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 17:27:27.463,COM3,, 0.998, -0.058, 0.013, 0.000, 0.000, 0.000, -76.152, -87.149, -12.156, -55.987, 3.873, 39.060, 29.74,,,,,,,,,,,,,,,,
 17:27:27.561,COM3,, 0.998, -0.058, 0.013, 0.000, 0.000, 0.000, -76.157, -87.149, -12.156, -55.967, 3.853, 38.773, 29.77,,,,,,,,,,,,,,,,
 17:27:27.662,COM3,, 0.999, -0.058, 0.013, 0.000, 0.000, 0.000, -76.163, -87.149, -12.156, -55.993, 3.840, 38.800, 29.76,,,,,,,,,,,,,,,,
 17:27:27.783,COM3,, 0.999, -0.058, 0.014, 0.000, 0.000, 0.000, -76.163, -87.149, -12.156, -55.987, 3.893, 38.700, 29.73,,,,,,,,,,,,,,,,
 17:27:27.881,COM3,, 0.999, -0.058, 0.014, 0.000, 0.000, 0.000, -76.157, -87.149, -12.156, -55.933, 3.913, 38.820, 29.77,,,,,,,,,,,,,,,,
 17:27:27.980,COM3,, 0.998, -0.058, 0.013, 0.000, 0.000, 0.000, -76.152, -87.149, -12.156, -55.920, 3.920, 38.620, 29.77,,,,,,,,,,,,,,,,
 17:27:28.080,COM3,, 0.998, -0.057, 0.014, 0.000, 0.000, 0.000, -76.163, -87.149, -12.156, -55.920, 3.980, 39.047, 29.79,,,,,,,,,,,,,,,,
 17:27:28.175,COM3,, 0.999, -0.057, 0.014, 0.000, 0.000, 0.000, -76.146, -87.149, -12.156, -55.927, 3.853, 38.827, 29.74,,,,,,,,,,,,,,,,
 17:27:28.277,COM3,, 0.998, -0.058, 0.013, 0.000, 0.000, 0.000, -76.135, -87.149, -12.156, -55.940, 3.867, 38.900, 29.77,,,,,,,,,,,,,,,,
 17:27:28.400,COM3,, 0.998, -0.059, 0.014, 0.000, 0.000, 0.000, -76.135, -87.149, -12.156, -56.053, 3.927, 38.727, 29.76,,,,,,,,,,,,,,,,
 17:27:28.477,COM3,, 0.998, -0.058, 0.013, 0.000, 0.000, 0.000, -76.135, -87.149, -12.156, -56.073, 3.960, 38.693, 29.79,,,,,,,,,,,,,,,,
 17:27:28.567,COM3,, 0.998, -0.058, 0.014, 0.000, 0.000, 0.000, -76.135, -87.149, -12.156, -55.893, 3.947, 38.740, 29.74,,,,,,,,,,,,,,,,
 17:27:28.666,COM3,, 0.999, -0.058, 0.014, 0.000, 0.000, 0.000, -76.135, -87.149, -12.156, -56.013, 3.780, 38.873, 29.77,,,,,,,,,,,,,,,,
 17:27:28.766,COM3,, 0.998, -0.058, 0.014, 0.000, 0.000, 0.000, -76.124, -87.149, -12.156, -56.033, 3.913, 38.740, 29.74,,,,,,,,,,,,,,,,
 17:27:28.886,COM3,, 0.998, -0.058, 0.013, 0.000, 0.000, 0.000, -76.130, -87.149, -12.156, -56.027, 3.913, 38.713, 29.77,,,,,,,,,,,,,,,,
