Time Lapsed,Acceleration_Z
478.878,1.001
479.006,1.002
479.094,1.0
479.190,1.0
479.250,1.001
479.393,1.002
479.496,1.001
479.559,1.0
479.668,1.001
479.775,1.0
479.842,1.001
479.942,1.001
480.043,1.0
480.211,1.0
480.320,1.001
480.347,1.002
480.445,1.0
480.548,1.0
480.653,1.001
480.750,1.0
480.842,1.002
480.961,1.001
481.037,1.0
481.143,1.001
481.253,1.0
481.344,1.002
481.445,1.001
481.543,1.0
481.646,1.002
481.748,1.001
481.851,1.002
481.944,1.0
482.055,1.001
482.158,1.001
482.258,1.0
482.361,1.001
482.464,1.001
482.572,1.0
482.680,1.001
482.773,1.0
482.873,1.0
482.976,1.001
483.092,1.001
483.187,1.001
483.287,1.0
483.388,1.002
483.493,1.001
483.542,1.001
483.714,1.001
483.798,1.001
483.854,1.002
483.961,1.0
484.038,1.001
484.204,1.002
484.233,1.0
484.339,1.0
484.434,1.0
484.542,1.0
484.643,1.001
484.744,1.001
484.844,1.001
484.929,1.0
485.028,1.0
485.125,1.0
485.253,0.999
485.332,1.001
485.432,1.0
485.537,1.001
485.638,1.001
485.743,1.001
485.842,1.001
485.945,1.003
486.055,1.002
486.153,1.001
486.256,1.0
486.354,1.001
486.466,1.0
486.565,1.002
486.663,1.0
536.766,1.0
536.866,1.001
536.969,1.0
537.094,1.001
537.180,1.001
537.283,1.001
537.388,1.001
537.501,1.0
537.584,1.001
537.719,1.0
537.722,1.001
537.824,1.0
537.918,0.999
538.018,1.001
538.128,1.001
538.229,1.0
538.336,1.001
538.432,1.0
538.611,1.001
538.638,1.001
538.736,1.0
538.815,1.0
538.927,1.001
539.018,1.001
539.121,1.0
539.222,1.002
539.339,1.0
539.435,1.0
539.533,1.001
539.633,1.001
539.736,1.0
539.822,1.0
539.939,1.0
540.030,1.0
540.114,1.0
540.238,1.001
540.327,1.0
540.449,1.002
540.555,1.0
540.658,1.001
540.768,1.0
540.864,1.0
540.964,1.001
541.096,1.0
541.177,1.0
541.209,1.001
541.307,1.0
541.474,1.002
541.577,1.0
541.709,1.0
541.712,1.001
541.809,1.0
541.910,1.002
542.015,1.0
542.118,1.0
542.236,1.0
542.326,1.0
542.405,1.002
542.525,0.999
542.625,1.0
542.728,1.001
542.805,1.001
542.908,1.001
543.016,1.0
543.116,1.0
543.219,1.001
543.337,1.0
543.425,1.001
543.525,1.0
543.625,1.001
543.750,1.001
543.817,1.0
543.900,1.001
544.003,1.0
544.109,1.001
544.212,1.001
544.347,1.0
544.454,1.0
544.579,1.001
544.653,1.0
544.761,1.0
544.863,1.0
544.967,1.0
545.062,1.001
545.175,1.001
545.268,1.0
545.297,1.0
545.396,1.001
545.498,1.0
545.609,1.002
545.707,1.001
545.802,1.0
545.910,1.001
546.011,1.0
546.106,1.001
546.212,1.001
546.310,1.0
546.415,1.0
546.523,1.001
546.594,1.0
596.717,1.001
596.812,1.0
596.908,1.001
597.013,1.0
597.106,1.001
597.209,1.0
597.315,1.001
597.425,1.0
597.523,1.001
597.621,1.0
597.748,1.001
597.827,1.001
597.932,1.0
598.054,1.001
598.130,1.001
598.233,1.0
598.337,1.001
598.440,1.0
598.506,1.001
598.643,1.001
598.753,1.0
598.853,1.001
598.949,1.0
599.084,1.001
599.087,1.0
599.263,1.001
599.292,1.002
599.388,1.0
599.484,1.0
599.584,1.001
599.690,1.0
599.795,1.0
599.891,1.0
600.000,1.002
600.099,1.0
600.195,1.0
600.320,1.002
600.391,1.0
600.489,1.001
600.592,1.001
600.721,1.0
600.793,1.0
600.898,1.001
601.003,1.001
601.103,1.0
601.211,1.0
601.315,1.0
601.423,1.001
601.513,1.001
601.646,1.0
601.726,1.0
601.834,1.002
601.929,1.0
602.033,1.001
602.128,1.0
602.231,1.001
602.334,1.0
602.435,1.0
602.533,1.0
602.636,1.001
602.741,1.001
602.842,1.002
602.945,1.0
603.047,1.0
603.076,1.001
603.260,1.0
603.278,1.001
603.378,1.0
603.479,1.002
603.582,1.0
603.695,1.001
603.793,1.0
603.895,1.0
603.996,1.0
604.077,1.0
604.173,1.0
604.277,1.0
604.380,1.0
604.472,1.0
604.574,1.0
604.675,1.001
604.775,1.0
604.893,1.001
604.991,0.999
605.099,1.001
605.199,1.0
605.305,1.001
605.408,1.001
605.510,1.001
605.609,1.0
605.709,1.001
605.832,1.0
605.925,1.001
606.021,1.0
606.119,1.0
606.219,1.001
606.331,1.0
606.432,1.0
606.533,1.0
606.569,1.002
656.734,1.0
656.766,1.001
