Time,Angle Y
 22:40:20.908,-0.632
 22:40:23.289,-0.632
 22:40:23.293,-0.632
 22:40:23.294,-0.632
 22:40:23.294,-0.632
 22:40:23.294,-0.632
 22:40:23.294,-0.632
 22:40:23.295,-0.632
 22:40:23.296,-0.632
 22:40:23.296,-0.632
 22:40:23.296,-0.632
 22:40:23.296,-0.632
 22:40:23.297,-0.632
 22:40:23.297,-0.632
 22:40:23.297,-0.632
 22:40:23.297,-0.632
 22:40:23.298,-0.632
 22:40:23.298,-0.632
 22:40:23.298,-0.632
 22:40:23.298,-0.632
 22:40:23.298,-0.632
 22:40:23.299,-0.632
 22:40:23.299,-0.632
 22:40:23.299,-0.632
 22:40:23.299,-0.632
 22:40:23.382,-0.632
 22:40:23.468,-0.632
 22:40:23.567,-0.632
 22:40:23.667,-0.632
 22:40:23.776,-0.632
 22:40:23.874,-0.632
 22:40:23.978,-0.632
 22:40:24.077,-0.632
 22:40:24.187,-0.632
 22:40:24.285,-0.632
 22:40:24.385,-0.632
 22:40:24.488,-0.632
 22:40:24.560,-0.632
 22:40:24.681,-0.632
 22:40:24.763,-0.632
 22:40:24.863,-0.632
 22:40:24.938,-0.632
 22:40:25.100,-0.632
 22:40:25.222,-0.632
 22:40:25.248,-0.632
 22:40:25.399,-0.632
 22:40:25.509,-0.632
 22:40:25.543,-0.632
 22:40:25.646,-0.632
 22:40:25.742,-0.632
 22:40:25.841,-0.632
 22:40:25.949,-0.632
 22:40:26.048,-0.632
 22:40:26.148,-0.632
 22:40:26.252,-0.632
 22:40:26.354,-0.632
 22:40:26.433,-0.632
 22:40:26.534,-0.632
 22:40:26.648,-0.632
 22:40:26.740,-0.632
 22:40:26.841,-0.632
 22:40:26.945,-0.632
 22:40:27.059,-0.632
 22:40:27.154,-0.632
 22:40:27.250,-0.632
 22:40:27.348,-0.632
 22:40:27.456,-0.632
 22:40:27.561,-0.632
 22:40:27.661,-0.632
 22:40:27.749,-0.632
 22:40:27.867,-0.637
 22:40:27.970,-0.637
 22:40:28.070,-0.637
 22:40:28.180,-0.637
 22:40:28.277,-0.637
 22:40:28.377,-0.637
 22:40:28.485,-0.637
 22:40:28.583,-0.637
 22:40:28.684,-0.637
 22:40:28.782,-0.632
 22:40:28.896,-0.632
 22:40:28.992,-0.637
 22:40:29.095,-0.637
 22:40:29.219,-0.637
 22:40:29.237,-0.637
 22:40:29.333,-0.637
 22:40:29.432,-0.632
 22:40:29.532,-0.637
 22:40:29.630,-0.637
 22:40:29.732,-0.637
 22:40:29.835,-0.637
 22:40:29.925,-0.637
 22:40:30.023,-0.637
