Time Lapsed,Magnetic field Z
478.878,17.207
479.006,16.8
479.094,17.107
479.190,17.0
479.250,17.12
479.393,16.913
479.496,16.9
479.559,17.047
479.668,17.347
479.775,17.033
479.842,17.227
479.942,16.933
480.043,16.8
480.211,17.173
480.320,17.413
480.347,16.927
480.445,16.907
480.548,17.193
480.653,17.173
480.750,17.167
480.842,17.367
480.961,17.307
481.037,17.26
481.143,16.94
481.253,17.22
481.344,17.253
481.445,17.28
481.543,17.32
481.646,17.24
481.748,17.087
481.851,17.107
481.944,17.087
482.055,17.307
482.158,16.94
482.258,16.86
482.361,17.153
482.464,17.14
482.572,17.073
482.680,17.247
482.773,16.7
482.873,16.947
482.976,17.2
483.092,17.147
483.187,17.213
483.287,16.693
483.388,17.34
483.493,17.24
483.542,17.033
483.714,17.18
483.798,16.793
483.854,17.14
483.961,17.247
484.038,17.12
484.204,17.213
484.233,17.26
484.339,17.273
484.434,17.193
484.542,17.36
484.643,17.313
484.744,17.16
484.844,17.207
484.929,17.007
485.028,16.953
485.125,17.187
485.253,16.98
485.332,16.967
485.432,17.233
485.537,17.2
485.638,17.273
485.743,16.913
485.842,17.047
485.945,17.427
486.055,17.393
486.153,17.28
486.256,17.107
486.354,16.8
486.466,17.293
486.565,17.287
486.663,17.147
536.766,16.927
536.866,16.807
536.969,17.133
537.094,17.427
537.180,17.393
537.283,17.18
537.388,17.053
537.501,16.767
537.584,17.073
537.719,17.32
537.722,17.253
537.824,17.04
537.918,17.26
538.018,16.913
538.128,16.913
538.229,16.867
538.336,17.233
538.432,17.067
538.611,17.147
538.638,17.127
538.736,16.847
538.815,16.987
538.927,17.273
539.018,17.173
539.121,17.18
539.222,17.193
539.339,17.02
539.435,17.093
539.533,17.247
539.633,17.193
539.736,17.213
539.822,16.993
539.939,16.907
540.030,16.9
540.114,17.167
540.238,17.18
540.327,16.993
540.449,16.953
540.555,17.127
540.658,17.253
540.768,17.14
540.864,16.847
540.964,17.153
541.096,17.087
541.177,17.207
541.209,17.153
541.307,17.093
541.474,16.9
541.577,17.26
541.709,17.007
541.712,17.26
541.809,17.107
541.910,17.093
542.015,17.053
542.118,17.127
542.236,17.193
542.326,17.0
542.405,17.14
542.525,17.3
542.625,17.08
542.728,17.18
542.805,16.94
542.908,17.053
543.016,17.127
543.116,16.947
543.219,17.253
543.337,17.267
543.425,17.22
543.525,17.42
543.625,16.727
543.750,16.84
543.817,17.073
543.900,17.24
544.003,17.113
544.109,17.12
544.212,16.973
544.347,17.107
544.454,17.16
544.579,17.327
544.653,17.293
544.761,16.82
544.863,17.02
544.967,17.0
545.062,16.98
545.175,17.127
545.268,16.833
545.297,17.087
545.396,17.093
545.498,17.207
545.609,17.247
545.707,17.153
545.802,16.953
545.910,17.127
546.011,17.047
546.106,17.127
546.212,17.207
546.310,16.873
546.415,17.147
546.523,17.287
546.594,17.027
596.717,17.04
596.812,17.047
596.908,17.127
597.013,16.92
597.106,17.4
597.209,17.207
597.315,17.193
597.425,16.947
597.523,17.007
597.621,17.153
597.748,17.16
597.827,17.067
597.932,16.893
598.054,17.187
598.130,17.4
598.233,16.993
598.337,17.273
598.440,16.953
598.506,17.033
598.643,17.22
598.753,17.427
598.853,17.34
598.949,17.0
599.084,17.16
599.087,17.16
599.263,17.127
599.292,17.06
599.388,16.88
599.484,17.027
599.584,17.22
599.690,17.133
599.795,17.233
599.891,17.073
600.000,17.167
600.099,17.18
600.195,17.133
600.320,16.86
600.391,17.107
600.489,16.993
600.592,17.253
600.721,16.96
600.793,17.28
600.898,17.16
601.003,17.08
601.103,17.18
601.211,17.34
601.315,17.087
601.423,17.173
601.513,16.947
601.646,16.807
601.726,16.933
601.834,17.213
601.929,17.313
602.033,17.313
602.128,16.88
602.231,17.2
602.334,16.807
602.435,17.16
602.533,17.24
602.636,17.053
602.741,17.46
602.842,17.093
602.945,16.953
603.047,17.213
603.076,16.967
603.260,16.807
603.278,17.187
603.378,17.247
603.479,17.013
603.582,16.98
603.695,17.24
603.793,17.08
603.895,16.96
603.996,17.28
604.077,17.253
604.173,17.187
604.277,16.927
604.380,17.067
604.472,17.087
604.574,16.847
604.675,17.04
604.775,17.513
604.893,17.08
604.991,17.14
605.099,17.387
605.199,17.04
605.305,17.373
605.408,17.247
605.510,17.02
605.609,17.14
605.709,16.993
605.832,17.053
605.925,16.967
606.021,17.18
606.119,17.38
606.219,17.093
606.331,17.007
606.432,17.04
606.533,17.127
606.569,16.907
656.734,16.973
656.766,17.08
