Time,Magnetic field Y
 22:40:20.908,12.827
 22:40:23.289,12.807
 22:40:23.293,12.767
 22:40:23.294,12.700
 22:40:23.294,12.673
 22:40:23.294,12.793
 22:40:23.294,12.813
 22:40:23.295,12.707
 22:40:23.296,12.813
 22:40:23.296,12.780
 22:40:23.296,12.800
 22:40:23.296,12.867
 22:40:23.297,12.727
 22:40:23.297,12.840
 22:40:23.297,12.720
 22:40:23.297,12.713
 22:40:23.298,12.740
 22:40:23.298,12.700
 22:40:23.298,12.833
 22:40:23.298,12.780
 22:40:23.298,12.793
 22:40:23.299,12.847
 22:40:23.299,12.740
 22:40:23.299,12.707
 22:40:23.299,12.767
 22:40:23.382,12.727
 22:40:23.468,12.767
 22:40:23.567,12.667
 22:40:23.667,12.800
 22:40:23.776,12.747
 22:40:23.874,12.780
 22:40:23.978,12.907
 22:40:24.077,12.807
 22:40:24.187,12.760
 22:40:24.285,12.693
 22:40:24.385,12.773
 22:40:24.488,12.807
 22:40:24.560,12.700
 22:40:24.681,12.833
 22:40:24.763,12.773
 22:40:24.863,12.740
 22:40:24.938,12.807
 22:40:25.100,12.807
 22:40:25.222,12.720
 22:40:25.248,12.747
 22:40:25.399,12.767
 22:40:25.509,12.800
 22:40:25.543,12.713
 22:40:25.646,12.733
 22:40:25.742,12.787
 22:40:25.841,12.700
 22:40:25.949,12.727
 22:40:26.048,12.753
 22:40:26.148,12.693
 22:40:26.252,12.760
 22:40:26.354,12.753
 22:40:26.433,12.747
 22:40:26.534,12.747
 22:40:26.648,12.793
 22:40:26.740,12.780
 22:40:26.841,12.633
 22:40:26.945,12.713
 22:40:27.059,12.833
 22:40:27.154,12.827
 22:40:27.250,12.813
 22:40:27.348,12.827
 22:40:27.456,12.813
 22:40:27.561,12.780
 22:40:27.661,12.807
 22:40:27.749,12.853
 22:40:27.867,12.853
 22:40:27.970,12.747
 22:40:28.070,12.747
 22:40:28.180,12.673
 22:40:28.277,12.780
 22:40:28.377,12.840
 22:40:28.485,12.840
 22:40:28.583,12.833
 22:40:28.684,12.760
 22:40:28.782,12.600
 22:40:28.896,12.687
 22:40:28.992,12.747
 22:40:29.095,12.733
 22:40:29.219,12.827
 22:40:29.237,12.860
 22:40:29.333,12.733
 22:40:29.432,12.673
 22:40:29.532,12.753
 22:40:29.630,12.893
 22:40:29.732,12.780
 22:40:29.835,12.753
 22:40:29.925,12.660
