Time Lapsed,Magnetic field X
184.484,-36.0
184.597,-36.053
184.685,-35.893
184.788,-35.967
184.888,-36.107
185.006,-36.093
185.099,-36.047
185.199,-36.127
185.258,-36.033
185.402,-36.107
185.464,-36.127
185.564,-36.133
185.668,-36.16
185.809,-36.173
185.915,-36.047
185.952,-36.093
186.116,-36.013
186.153,-36.133
186.253,-36.027
186.351,-36.087
186.459,-36.187
186.555,-36.08
186.655,-36.04
476.755,-36.2
476.869,-36.08
476.966,-36.0
477.062,-36.06
477.168,-36.113
477.248,-36.02
477.371,-36.1
477.447,-36.14
477.552,-36.127
477.653,-36.047
477.756,-36.173
477.856,-36.113
477.967,-36.027
478.060,-36.153
478.182,-36.08
478.271,-36.06
478.385,-36.04
478.469,-36.007
478.572,-36.04
478.680,-36.073
478.802,-36.187
478.878,-36.12
479.006,-35.98
479.094,-36.027
479.190,-35.98
479.250,-36.127
479.393,-36.08
479.496,-36.127
479.559,-36.027
479.668,-36.08
479.775,-36.087
479.842,-36.173
479.942,-36.1
480.043,-36.113
480.211,-36.153
480.320,-36.16
480.347,-36.147
480.445,-36.06
480.548,-36.12
480.653,-36.047
480.750,-35.98
480.842,-36.073
480.961,-36.2
481.037,-36.053
481.143,-35.907
481.253,-36.133
481.344,-36.087
481.445,-36.093
481.543,-36.087
481.646,-36.12
481.748,-36.147
481.851,-36.12
481.944,-36.18
482.055,-36.0
482.158,-36.08
482.258,-36.107
482.361,-36.047
482.464,-36.087
482.572,-36.08
482.680,-36.173
482.773,-36.027
482.873,-36.04
482.976,-36.12
483.092,-35.987
483.187,-36.073
483.287,-36.14
483.388,-36.187
483.493,-36.087
483.542,-36.093
483.714,-36.187
483.798,-36.06
483.854,-36.12
483.961,-36.073
484.038,-35.987
484.204,-36.013
484.233,-36.04
484.339,-36.053
484.434,-36.047
484.542,-36.26
484.643,-36.007
484.744,-36.093
484.844,-36.027
484.929,-35.913
485.028,-36.013
485.125,-36.113
485.253,-36.2
485.332,-36.06
485.432,-36.14
485.537,-36.04
485.638,-36.067
485.743,-36.12
485.842,-36.093
485.945,-36.087
486.055,-36.253
486.153,-36.073
486.256,-36.127
486.354,-36.073
486.466,-36.107
486.565,-36.207
486.663,-36.12
536.766,-36.047
536.866,-35.96
536.969,-36.073
537.094,-36.113
537.180,-36.127
537.283,-36.147
537.388,-36.027
537.501,-36.02
537.584,-36.007
537.719,-36.087
537.722,-36.08
537.824,-36.107
537.918,-36.127
538.018,-36.047
538.128,-36.08
538.229,-36.147
538.336,-36.133
538.432,-36.067
538.611,-36.06
538.638,-35.98
538.736,-36.087
538.815,-36.12
538.927,-36.113
539.018,-36.1
539.121,-36.1
539.222,-36.053
539.339,-36.073
539.435,-36.14
539.533,-36.007
539.633,-36.107
539.736,-36.067
539.822,-35.973
539.939,-36.033
540.030,-36.04
540.114,-36.147
540.238,-36.1
540.327,-36.0
540.449,-36.147
540.555,-36.273
540.658,-36.167
540.768,-35.973
540.864,-36.007
540.964,-36.087
541.096,-36.027
541.177,-36.0
541.209,-36.12
541.307,-36.02
541.474,-35.94
541.577,-36.18
541.709,-36.133
541.712,-36.08
541.809,-36.08
541.910,-36.053
542.015,-36.067
542.118,-36.173
542.236,-35.987
542.326,-36.113
542.405,-36.093
542.525,-36.16
542.625,-36.04
542.728,-35.993
542.805,-36.087
542.908,-36.113
543.016,-36.14
543.116,-36.047
543.219,-36.093
543.337,-36.033
543.425,-36.02
543.525,-36.02
543.625,-35.927
543.750,-36.007
543.817,-36.0
543.900,-36.0
544.003,-36.06
544.109,-36.1
