Time Lapsed,Angle_Z
478.680,-70.291
478.802,-70.291
478.878,-70.291
479.006,-70.291
479.094,-70.291
479.190,-70.291
479.250,-70.291
479.393,-70.291
479.496,-70.291
479.559,-70.291
479.668,-70.291
479.775,-70.291
479.842,-70.291
479.942,-70.291
480.043,-70.291
480.211,-70.291
480.320,-70.291
480.347,-70.291
480.445,-70.291
480.548,-70.291
480.653,-70.291
480.750,-70.291
480.842,-70.291
480.961,-70.291
481.037,-70.291
481.143,-70.291
481.253,-70.291
481.344,-70.291
481.445,-70.291
481.543,-70.291
481.646,-70.291
481.748,-70.291
481.851,-70.291
481.944,-70.291
482.055,-70.291
482.158,-70.291
482.258,-70.291
482.361,-70.291
482.464,-70.291
482.572,-70.291
482.680,-70.291
482.773,-70.291
482.873,-70.291
482.976,-70.291
483.092,-70.291
483.187,-70.291
483.287,-70.291
483.388,-70.291
483.493,-70.291
483.542,-70.291
483.714,-70.291
483.798,-70.291
483.854,-70.291
483.961,-70.291
484.038,-70.291
484.204,-70.291
484.233,-70.291
484.339,-70.291
484.434,-70.291
484.542,-70.291
484.643,-70.291
484.744,-70.291
484.844,-70.291
484.929,-70.291
485.028,-70.291
485.125,-70.291
485.253,-70.291
485.332,-70.291
485.432,-70.291
485.537,-70.291
485.638,-70.291
485.743,-70.291
485.842,-70.291
485.945,-70.291
486.055,-70.291
486.153,-70.291
486.256,-70.291
486.354,-70.291
486.466,-70.291
486.565,-70.291
486.663,-70.291
536.766,-70.291
536.866,-70.291
536.969,-70.291
537.094,-70.291
537.180,-70.291
537.283,-70.291
537.388,-70.291
537.501,-70.291
537.584,-70.291
537.719,-70.291
537.722,-70.291
537.824,-70.291
537.918,-70.291
538.018,-70.291
538.128,-70.291
538.229,-70.291
538.336,-70.291
538.432,-70.291
538.611,-70.291
538.638,-70.291
538.736,-70.291
538.815,-70.291
538.927,-70.291
539.018,-70.291
539.121,-70.291
539.222,-70.291
539.339,-70.291
539.435,-70.291
539.533,-70.291
539.633,-70.291
539.736,-70.291
539.822,-70.291
539.939,-70.291
540.030,-70.291
540.114,-70.291
540.238,-70.291
540.327,-70.291
540.449,-70.291
540.555,-70.291
540.658,-70.291
540.768,-70.291
540.864,-70.291
540.964,-70.291
541.096,-70.291
541.177,-70.291
541.209,-70.291
541.307,-70.291
541.474,-70.291
541.577,-70.291
541.709,-70.291
541.712,-70.291
541.809,-70.291
541.910,-70.291
542.015,-70.291
542.118,-70.291
542.236,-70.291
542.326,-70.291
542.405,-70.291
542.525,-70.291
542.625,-70.291
542.728,-70.291
542.805,-70.291
542.908,-70.291
543.016,-70.291
543.116,-70.291
543.219,-70.291
543.337,-70.291
543.425,-70.291
543.525,-70.291
543.625,-70.291
543.750,-70.291
543.817,-70.291
543.900,-70.291
544.003,-70.291
544.109,-70.291
544.212,-70.291
544.347,-70.291
544.454,-70.291
544.579,-70.291
544.653,-70.291
544.761,-70.291
544.863,-70.291
544.967,-70.291
545.062,-70.291
545.175,-70.291
545.268,-70.291
545.297,-70.291
545.396,-70.291
545.498,-70.291
545.609,-70.291
545.707,-70.291
545.802,-70.291
545.910,-70.291
546.011,-70.291
546.106,-70.291
546.212,-70.291
546.310,-70.291
546.415,-70.291
546.523,-70.291
546.594,-70.291
596.717,-70.291
596.812,-70.291
596.908,-70.291
597.013,-70.291
597.106,-70.291
597.209,-70.291
597.315,-70.291
597.425,-70.291
597.523,-70.291
597.621,-70.291
597.748,-70.291
597.827,-70.291
597.932,-70.291
598.054,-70.291
598.130,-70.291
598.233,-70.291
598.337,-70.291
598.440,-70.291
598.506,-70.291
598.643,-70.291
598.753,-70.291
598.853,-70.291
598.949,-70.291
599.084,-70.291
599.087,-70.291
599.263,-70.291
599.292,-70.291
599.388,-70.291
599.484,-70.291
599.584,-70.291
599.690,-70.291
599.795,-70.291
599.891,-70.291
600.000,-70.291
600.099,-70.291
600.195,-70.291
600.320,-70.291
600.391,-70.291
600.489,-70.291
600.592,-70.291
600.721,-70.291
600.793,-70.291
600.898,-70.291
601.003,-70.291
601.103,-70.291
601.211,-70.291
601.315,-70.291
601.423,-70.291
601.513,-70.291
601.646,-70.291
601.726,-70.291
601.834,-70.291
601.929,-70.291
602.033,-70.291
602.128,-70.291
602.231,-70.291
602.334,-70.291
602.435,-70.291
602.533,-70.291
602.636,-70.291
602.741,-70.291
602.842,-70.291
602.945,-70.291
603.047,-70.291
603.076,-70.291
603.260,-70.291
603.278,-70.291
603.378,-70.291
603.479,-70.291
603.582,-70.291
603.695,-70.291
603.793,-70.291
603.895,-70.291
603.996,-70.291
604.077,-70.291
604.173,-70.291
604.277,-70.291
604.380,-70.291
604.472,-70.291
604.574,-70.291
604.675,-70.291
604.775,-70.291
604.893,-70.291
604.991,-70.291
605.099,-70.291
605.199,-70.291
605.305,-70.291
605.408,-70.291
605.510,-70.291
605.609,-70.291
605.709,-70.291
605.832,-70.291
605.925,-70.291
606.021,-70.291
606.119,-70.291
606.219,-70.291
606.331,-70.291
606.432,-70.291
606.533,-70.291
606.569,-70.291
656.734,-70.291
656.766,-70.291
656.945,-70.291
656.976,-70.291
657.064,-70.291
657.170,-70.291
657.271,-70.291
657.371,-70.291
657.472,-70.291
657.577,-70.291
657.670,-70.291
657.780,-70.291
657.863,-70.291
657.991,-70.291
658.084,-70.291
658.175,-70.291
658.273,-70.291
658.381,-70.291
658.481,-70.291
658.579,-70.291
658.680,-70.291
658.812,-70.291
658.893,-70.291
658.989,-70.291
659.089,-70.291
659.192,-70.291
659.293,-70.291
659.396,-70.291
659.532,-70.291
659.606,-70.291
659.702,-70.291
659.804,-70.291
659.918,-70.291
660.016,-70.291
660.118,-70.291
660.214,-70.291
660.317,-70.291
660.420,-70.291
660.521,-70.291
660.609,-70.291
660.653,-70.291
660.832,-70.291
660.861,-70.291
661.035,-70.291
661.062,-70.291
661.162,-70.291
661.266,-70.291
661.373,-70.291
661.472,-70.291
661.574,-70.291
661.648,-70.291
661.780,-70.291
661.854,-70.291
661.957,-70.291
662.081,-70.291
662.172,-70.291
662.268,-70.291
662.373,-70.291
662.493,-70.291
662.574,-70.291
662.670,-70.291
662.775,-70.291
662.883,-70.291
662.979,-70.291
663.082,-70.291
663.185,-70.291
663.293,-70.291
663.356,-70.291
663.459,-70.291
663.567,-70.291
663.695,-70.291
663.800,-70.291
663.918,-70.291
664.006,-70.291
664.109,-70.291
664.212,-70.291
664.329,-70.291
664.418,-70.291
664.445,-70.291
664.543,-70.291
664.653,-70.291
664.753,-70.291
664.854,-70.291
664.957,-70.291
665.059,-70.291
665.157,-70.291
665.265,-70.291
665.344,-70.291
665.442,-70.291
665.548,-70.291
665.646,-70.291
665.755,-70.291
665.849,-70.291
665.952,-70.291
666.055,-70.291
666.168,-70.291
666.287,-70.291
666.361,-70.291
666.462,-70.291
666.570,-70.291
666.665,-70.291
716.768,-70.291
716.856,-70.291
716.976,-70.291
717.077,-70.291
717.180,-70.291
717.282,-70.291
717.385,-70.291
717.503,-70.291
717.592,-70.291
717.653,-70.291
717.760,-70.291
717.886,-70.291
718.005,-70.291
718.033,-70.291
718.204,-70.291
718.231,-70.291
718.410,-70.291
718.439,-70.291
718.540,-70.291
718.636,-70.291
718.744,-70.291
718.844,-70.291
718.944,-70.291
719.033,-70.291
719.131,-70.291
719.233,-70.291
719.331,-70.291
719.437,-70.291
719.565,-70.291
719.638,-70.291
719.744,-70.291
719.842,-70.291
719.949,-70.291
720.047,-70.291
720.165,-70.291
720.253,-70.291
720.353,-70.291
720.454,-70.291
720.577,-70.291
720.665,-70.291
720.763,-70.291
720.866,-70.291
720.972,-70.291
721.072,-70.291
721.172,-70.291
721.278,-70.291
721.381,-70.291
721.481,-70.291
721.586,-70.291
721.689,-70.291
721.795,-70.291
721.822,-70.291
721.922,-70.291
722.028,-70.291
722.128,-70.291
722.226,-70.291
722.327,-70.291
722.437,-70.291
722.530,-70.291
722.638,-70.291
722.739,-70.291
722.839,-70.291
722.937,-70.291
723.020,-70.291
723.123,-70.291
723.224,-70.291
723.324,-70.291
723.423,-70.291
723.516,-70.291
723.636,-70.291
723.736,-70.291
723.841,-70.291
723.937,-70.291
724.045,-70.291
724.143,-70.291
724.251,-70.291
724.351,-70.291
724.454,-70.291
724.574,-70.291
724.653,-70.291
724.785,-70.291
724.858,-70.291
724.942,-70.291
725.062,-70.291
725.165,-70.291
725.268,-70.291
725.312,-70.291
725.474,-70.291
725.577,-70.291
725.680,-70.291
725.717,-70.291
725.815,-70.291
725.913,-70.291
726.010,-70.291
726.114,-70.291
726.212,-70.291
726.320,-70.291
726.413,-70.291
726.523,-70.291
726.628,-70.291
776.726,-70.291
776.824,-70.291
776.935,-70.291
777.008,-70.291
777.114,-70.291
777.228,-70.291
777.315,-70.291
777.418,-70.291
777.523,-70.291
777.628,-70.291
777.731,-70.291
777.834,-70.291
777.932,-70.291
778.030,-70.291
778.136,-70.291
778.251,-70.291
778.344,-70.291
778.445,-70.291
778.552,-70.291
778.662,-70.291
778.761,-70.291
778.859,-70.291
778.986,-70.291
779.060,-70.291
779.165,-70.291
779.270,-70.291
779.371,-70.291
779.479,-70.291
779.510,-70.291
779.606,-70.291
779.775,-70.291
779.805,-70.291
779.902,-70.291
780.003,-70.291
780.113,-70.291
780.214,-70.291
780.312,-70.291
780.413,-70.291
780.525,-70.291
780.599,-70.291
780.697,-70.291
780.798,-70.291
780.915,-70.291
781.013,-70.291
781.111,-70.291
781.214,-70.291
781.310,-70.291
781.413,-70.291
781.515,-70.291
781.626,-70.291
781.746,-70.291
781.804,-70.291
781.932,-70.291
782.015,-70.291
782.099,-70.291
782.221,-70.291
782.337,-70.291
782.410,-70.291
782.530,-70.291
782.660,-70.291
782.729,-70.291
782.849,-70.291
782.947,-70.291
783.072,-70.291
783.153,-70.291
783.255,-70.291
783.358,-70.291
783.396,-70.291
783.491,-70.291
783.591,-70.291
783.687,-70.291
783.793,-70.291
783.898,-70.291
783.994,-70.291
784.099,-70.291
784.202,-70.291
784.302,-70.291
784.385,-70.291
784.498,-70.291
784.591,-70.291
784.690,-70.291
784.793,-70.291
784.910,-70.291
785.006,-70.291
785.104,-70.291
785.204,-70.291
785.288,-70.291
785.408,-70.291
785.506,-70.291
785.601,-70.291
785.685,-70.291
785.815,-70.291
785.912,-70.291
786.028,-70.291
786.128,-70.291
786.233,-70.291
786.337,-70.291
786.415,-70.291
786.540,-70.291
786.636,-70.291
1076.721,-70.291
1076.841,-70.291
1076.940,-70.291
1077.035,-70.291
1077.140,-70.291
1077.246,-70.291
1077.280,-70.291
1077.378,-70.291
1077.476,-70.291
1077.579,-70.291
1077.682,-70.291
1077.863,-70.291
1077.891,-70.291
1077.989,-70.291
1078.094,-70.291
1078.177,-70.291
1078.295,-70.291
1078.376,-70.291
1078.479,-70.291
1078.584,-70.291
1078.687,-70.291
1078.783,-70.291
1078.881,-70.291
1078.998,-70.291
1079.094,-70.291
1079.194,-70.291
1079.275,-70.291
