Time,Magnetic field Z
 22:40:45.298,17.253
 22:40:45.390,17.067
 22:40:45.502,17.127
 22:40:45.583,16.873
 22:40:45.685,17.393
 22:40:45.801,17.280
 22:40:45.886,17.173
 22:40:46.010,17.020
 22:40:46.124,17.040
 22:40:46.197,17.187
 22:40:46.300,17.280
 22:40:46.401,17.227
 22:40:46.502,16.987
 22:40:46.605,17.140
 22:40:46.709,17.027
 22:40:46.811,17.233
 22:40:46.904,17.273
 22:40:47.016,17.000
 22:40:47.116,17.127
 22:40:47.228,17.027
 22:40:47.321,17.200
 22:40:47.425,17.087
 22:40:47.527,17.127
 22:40:47.639,17.073
 22:40:47.735,16.833
 22:40:47.833,17.407
 22:40:47.937,17.187
 22:40:48.036,17.207
 22:40:48.140,17.027
 22:40:48.172,16.887
 22:40:48.328,17.073
 22:40:48.449,17.153
 22:40:48.477,16.987
 22:40:48.575,17.187
 22:40:48.697,17.240
 22:40:48.784,17.200
 22:40:48.880,17.200
 22:40:48.978,17.307
 22:40:49.088,17.273
 22:40:49.171,17.233
 22:40:49.273,17.020
 22:40:49.399,17.167
 22:40:49.477,17.193
 22:40:49.587,17.207
 22:40:49.691,17.113
 22:40:49.799,17.293
 22:40:49.891,17.020
 22:40:49.991,17.060
 22:40:50.089,17.233
 22:40:50.197,17.227
 22:40:50.301,16.953
 22:40:50.398,17.287
 22:40:50.504,17.273
 22:40:50.606,17.073
 22:40:50.710,17.067
 22:40:50.811,16.927
 22:40:50.911,17.053
 22:40:51.015,17.220
 22:40:51.113,17.440
 22:40:51.220,17.120
 22:40:51.316,16.880
 22:40:51.418,16.893
 22:40:51.519,17.427
 22:40:51.635,17.220
 22:40:51.725,17.040
 22:40:51.827,17.307
 22:40:51.930,17.053
 22:40:52.048,17.033
 22:40:52.078,17.047
 22:40:52.164,16.960
 22:40:52.373,16.907
 22:40:52.449,16.940
 22:40:52.477,17.053
 22:40:52.575,17.340
 22:40:52.670,17.207
 22:40:52.762,17.153
 22:40:52.882,17.153
 22:40:52.980,16.787
 22:40:53.079,16.887
 22:40:53.181,16.733
 22:40:53.261,17.147
 22:40:53.366,17.300
 22:40:53.475,17.267
 22:40:53.567,17.093
 22:40:53.674,16.873
 22:40:53.800,17.113
 22:40:53.887,16.933
 22:40:53.977,17.180
 22:40:54.081,17.160
 22:40:54.181,17.067
 22:40:54.285,16.960
 22:40:54.410,17.073
 22:40:54.490,17.013
 22:40:54.592,17.007
 22:40:54.687,17.273
 22:40:54.798,17.053
 22:40:54.901,17.100
 22:40:55.014,17.240
 22:40:55.087,17.060
 22:40:55.208,17.213
 22:40:55.315,17.033
 22:40:55.413,17.260
 22:40:55.533,17.267
 22:40:55.605,17.013
 22:40:55.723,17.160
 22:40:55.752,16.820
 22:40:55.924,16.993
 22:40:55.951,17.020
 22:40:56.071,17.060
 22:40:56.155,16.940
 22:40:56.253,17.007
 22:40:56.351,17.193
 22:40:56.448,17.147
 22:40:56.550,17.033
 22:40:56.662,16.927
 22:40:56.754,16.913
 22:40:56.852,17.113
 22:40:56.950,17.240
 22:40:57.058,17.147
 22:40:57.151,16.987
 22:40:57.284,17.267
 22:40:57.365,17.040
 22:40:57.468,17.040
 22:40:57.569,17.067
 22:40:57.693,16.960
 22:40:57.774,16.840
 22:40:57.886,16.993
 22:40:57.974,16.940
 22:40:58.078,17.000
 22:40:58.178,17.107
 22:40:58.296,17.160
 22:40:58.389,17.173
 22:40:58.488,17.147
 22:40:58.547,17.320
 22:40:58.691,17.160
 22:40:58.753,17.233
 22:40:58.853,17.320
 22:40:58.957,17.040
 22:40:59.098,17.073
 22:40:59.204,17.180
 22:40:59.242,17.267
 22:40:59.405,16.973
 22:40:59.443,16.780
 22:40:59.542,17.080
 22:40:59.641,17.307
 22:40:59.748,16.980
 22:40:59.844,16.880
 22:40:59.944,17.340
 22:41:00.044,17.353
 22:41:00.158,17.167
 22:41:00.255,17.153
 22:41:00.351,17.280
 22:41:00.458,17.340
 22:41:00.538,17.153
 22:41:00.660,17.340
 22:41:00.736,17.140
 22:41:00.842,17.020
 22:41:00.942,17.293
 22:41:01.045,17.240
 22:41:01.145,16.933
 22:41:01.257,16.967
 22:41:01.350,17.000
 22:41:01.472,16.900
 22:41:01.561,17.347
 22:41:01.674,16.767
 22:41:01.759,17.207
 22:41:01.862,16.920
 22:41:01.970,17.073
 22:41:02.091,17.207
 22:41:02.168,16.800
 22:41:02.295,17.107
 22:41:02.383,17.000
 22:41:02.479,17.120
 22:41:02.539,16.913
 22:41:02.682,16.900
 22:41:02.785,17.047
 22:41:02.848,17.347
 22:41:02.957,17.033
 22:41:03.065,17.227
 22:41:03.131,16.933
 22:41:03.231,16.800
 22:41:03.333,17.173
 22:41:03.500,17.413
 22:41:03.610,16.927
 22:41:03.636,16.907
 22:41:03.734,17.193
 22:41:03.837,17.173
 22:41:03.943,17.167
 22:41:04.039,17.367
 22:41:04.132,17.307
 22:41:04.250,17.260
 22:41:04.326,16.940
 22:41:04.432,17.220
 22:41:04.543,17.253
 22:41:04.634,17.280
 22:41:04.734,17.320
 22:41:04.832,17.240
 22:41:04.936,17.087
 22:41:05.037,17.107
 22:41:05.141,17.087
 22:41:05.233,17.307
 22:41:05.344,16.940
 22:41:05.447,16.860
 22:41:05.548,17.153
 22:41:05.650,17.140
 22:41:05.753,17.073
 22:41:05.861,17.247
 22:41:05.970,16.700
 22:41:06.062,16.947
 22:41:06.162,17.200
 22:41:06.265,17.147
 22:41:06.382,17.213
 22:41:06.477,16.693
 22:41:06.576,17.340
 22:41:06.678,17.240
 22:41:06.782,17.033
 22:41:06.831,17.180
 22:41:07.003,16.793
 22:41:07.087,17.140
 22:41:07.143,17.247
 22:41:07.250,17.120
 22:41:07.327,17.213
 22:41:07.494,17.260
 22:41:07.522,17.273
 22:41:07.629,17.193
 22:41:07.723,17.360
 22:41:07.831,17.313
 22:41:07.932,17.160
 22:41:08.033,17.207
 22:41:08.133,17.007
 22:41:08.218,16.953
 22:41:08.317,17.187
 22:41:08.414,16.980
 22:41:08.542,16.967
 22:41:08.621,17.233
 22:41:08.722,17.200
 22:41:08.826,17.273
 22:41:08.928,16.913
 22:41:09.032,17.047
 22:41:09.132,17.427
 22:41:09.235,17.393
 22:41:09.344,17.280
 22:41:09.442,17.107
 22:41:09.545,16.800
 22:41:09.644,17.293
 22:41:09.755,17.287
 22:41:09.854,17.147
 22:41:09.953,16.927
 22:41:10.056,16.807
 22:41:10.155,17.133
 22:41:10.258,17.427
 22:41:10.384,17.393
 22:41:10.470,17.180
 22:41:10.573,17.053
 22:41:10.677,16.767
 22:41:10.791,17.073
 22:41:10.873,17.320
 22:41:11.008,17.253
 22:41:11.011,17.040
 22:41:11.114,17.260
 22:41:11.208,16.913
 22:41:11.308,16.913
 22:41:11.418,16.867
 22:41:11.519,17.233
 22:41:11.625,17.067
 22:41:11.722,17.147
 22:41:11.900,17.127
 22:41:11.928,16.847
 22:41:12.025,16.987
 22:41:12.105,17.273
 22:41:12.217,17.173
 22:41:12.308,17.180
 22:41:12.410,17.193
 22:41:12.511,17.020
 22:41:12.629,17.093
 22:41:12.725,17.247
 22:41:12.822,17.193
 22:41:12.923,17.213
 22:41:13.025,16.993
 22:41:13.112,16.907
 22:41:13.228,16.900
 22:41:13.319,17.167
 22:41:13.404,17.180
 22:41:13.527,16.993
 22:41:13.616,16.953
 22:41:13.739,17.127
 22:41:13.844,17.253
 22:41:13.948,17.140
 22:41:14.057,16.847
 22:41:14.153,17.153
 22:41:14.254,17.087
 22:41:14.385,17.207
 22:41:14.467,17.153
 22:41:14.499,17.093
 22:41:14.597,16.900
 22:41:14.764,17.260
 22:41:14.866,17.007
 22:41:14.998,17.260
 22:41:15.002,17.107
 22:41:15.098,17.093
 22:41:15.199,17.053
 22:41:15.304,17.127
 22:41:15.407,17.193
 22:41:15.525,17.000
 22:41:15.615,17.140
 22:41:15.694,17.300
 22:41:15.814,17.080
 22:41:15.914,17.180
 22:41:16.017,16.940
 22:41:16.094,17.053
 22:41:16.197,17.127
 22:41:16.305,16.947
 22:41:16.406,17.253
 22:41:16.508,17.267
 22:41:16.627,17.220
 22:41:16.714,17.420
 22:41:16.814,16.727
 22:41:16.914,16.840
 22:41:17.039,17.073
 22:41:17.106,17.240
 22:41:17.190,17.113
 22:41:17.292,17.120
 22:41:17.399,16.973
 22:41:17.502,17.107
 22:41:17.636,17.160
 22:41:17.744,17.327
 22:41:17.868,17.293
 22:41:17.942,16.820
 22:41:18.050,17.020
 22:41:18.152,17.000
 22:41:18.256,16.980
 22:41:18.351,17.127
 22:41:18.465,16.833
 22:41:18.558,17.087
 22:41:18.586,17.093
 22:41:18.686,17.207
 22:41:18.788,17.247
 22:41:18.899,17.153
 22:41:18.996,16.953
 22:41:19.092,17.127
 22:41:19.200,17.047
 22:41:19.301,17.127
 22:41:19.396,17.207
 22:41:19.501,16.873
 22:41:19.600,17.147
 22:41:19.704,17.287
 22:41:19.812,17.027
 22:41:19.884,17.040
 22:41:20.007,17.047
 22:41:20.101,17.127
 22:41:20.197,16.920
 22:41:20.303,17.400
 22:41:20.396,17.207
 22:41:20.498,17.193
 22:41:20.604,16.947
 22:41:20.714,17.007
 22:41:20.813,17.153
 22:41:20.911,17.160
 22:41:21.037,17.067
 22:41:21.116,16.893
 22:41:21.221,17.187
 22:41:21.343,17.400
 22:41:21.419,16.993
 22:41:21.522,17.273
 22:41:21.626,16.953
 22:41:21.729,17.033
 22:41:21.796,17.220
 22:41:21.932,17.427
 22:41:22.042,17.340
 22:41:22.142,17.000
 22:41:22.239,17.160
 22:41:22.373,17.160
 22:41:22.377,17.127
 22:41:22.552,17.060
 22:41:22.581,16.880
 22:41:22.678,17.027
 22:41:22.774,17.220
 22:41:22.874,17.133
 22:41:22.980,17.233
 22:41:23.084,17.073
 22:41:23.180,17.167
 22:41:23.289,17.180
 22:41:23.388,17.133
 22:41:23.485,16.860
 22:41:23.610,17.107
 22:41:23.681,16.993
 22:41:23.778,17.253
 22:41:23.882,16.960
 22:41:24.010,17.280
 22:41:24.082,17.160
 22:41:24.187,17.080
 22:41:24.292,17.180
 22:41:24.392,17.340
 22:41:24.500,17.087
 22:41:24.604,17.173
 22:41:24.713,16.947
 22:41:24.802,16.807
 22:41:24.935,16.933
 22:41:25.015,17.213
 22:41:25.124,17.313
 22:41:25.218,17.313
 22:41:25.323,16.880
 22:41:25.418,17.200
 22:41:25.521,16.807
 22:41:25.623,17.160
 22:41:25.724,17.240
 22:41:25.823,17.053
 22:41:25.926,17.460
 22:41:26.031,17.093
 22:41:26.131,16.953
 22:41:26.235,17.213
 22:41:26.336,16.967
 22:41:26.365,16.807
 22:41:26.549,17.187
 22:41:26.568,17.247
 22:41:26.667,17.013
 22:41:26.769,16.980
 22:41:26.871,17.240
 22:41:26.985,17.080
 22:41:27.083,16.960
 22:41:27.184,17.280
 22:41:27.285,17.253
 22:41:27.367,17.187
 22:41:27.463,16.927
 22:41:27.566,17.067
 22:41:27.669,17.087
 22:41:27.762,16.847
 22:41:27.864,17.040
 22:41:27.964,17.513
 22:41:28.064,17.080
 22:41:28.183,17.140
 22:41:28.281,17.387
 22:41:28.389,17.040
 22:41:28.489,17.373
 22:41:28.595,17.247
 22:41:28.697,17.020
 22:41:28.799,17.140
 22:41:28.898,16.993
 22:41:28.999,17.053
 22:41:29.122,16.967
 22:41:29.214,17.180
 22:41:29.311,17.380
 22:41:29.409,17.093
 22:41:29.509,17.007
 22:41:29.620,17.040
 22:41:29.721,17.127
 22:41:29.822,16.907
 22:41:29.858,16.973
 22:41:30.024,17.080
 22:41:30.055,17.193
 22:41:30.234,17.327
 22:41:30.265,17.140
 22:41:30.353,17.280
 22:41:30.459,16.920
 22:41:30.561,16.887
 22:41:30.661,17.007
 22:41:30.762,17.247
 22:41:30.867,17.360
 22:41:30.960,17.093
 22:41:31.070,17.027
 22:41:31.152,17.147
 22:41:31.281,17.007
 22:41:31.373,17.220
 22:41:31.465,16.847
 22:41:31.563,16.980
 22:41:31.670,17.253
 22:41:31.771,17.207
 22:41:31.869,17.233
 22:41:31.970,17.340
 22:41:32.102,16.953
 22:41:32.182,17.120
 22:41:32.278,17.167
 22:41:32.379,17.180
 22:41:32.482,17.307
 22:41:32.583,17.080
 22:41:32.685,17.140
 22:41:32.821,17.120
 22:41:32.896,17.360
 22:41:32.991,17.227
 22:41:33.093,16.967
 22:41:33.208,17.193
 22:41:33.306,17.213
 22:41:33.407,17.173
 22:41:33.503,17.153
 22:41:33.607,17.120
 22:41:33.709,16.980
 22:41:33.810,16.960
 22:41:33.898,17.047
 22:41:33.942,17.127
 22:41:34.122,17.467
 22:41:34.150,17.200
 22:41:34.324,17.060
 22:41:34.352,17.247
 22:41:34.451,17.133
 22:41:34.555,17.000
 22:41:34.663,17.027
