Time,Temperature
 22:40:20.908,29.290
 22:40:23.289,29.270
 22:40:23.293,29.290
 22:40:23.294,29.270
 22:40:23.294,29.320
 22:40:23.294,29.330
 22:40:23.294,29.250
 22:40:23.295,29.320
 22:40:23.296,29.270
 22:40:23.296,29.320
 22:40:23.296,29.300
 22:40:23.296,29.290
 22:40:23.297,29.290
 22:40:23.297,29.320
 22:40:23.297,29.330
 22:40:23.297,29.320
 22:40:23.298,29.320
 22:40:23.298,29.300
 22:40:23.298,29.300
 22:40:23.298,29.320
 22:40:23.298,29.300
 22:40:23.299,29.270
 22:40:23.299,29.290
 22:40:23.299,29.250
 22:40:23.299,29.330
 22:40:23.382,29.290
 22:40:23.468,29.270
 22:40:23.567,29.300
 22:40:23.667,29.290
 22:40:23.776,29.300
 22:40:23.874,29.300
 22:40:23.978,29.330
 22:40:24.077,29.290
 22:40:24.187,29.300
 22:40:24.285,29.330
 22:40:24.385,29.270
 22:40:24.488,29.300
 22:40:24.560,29.300
 22:40:24.681,29.320
 22:40:24.763,29.290
 22:40:24.863,29.330
 22:40:24.938,29.300
 22:40:25.100,29.290
 22:40:25.222,29.320
 22:40:25.248,29.290
 22:40:25.399,29.270
 22:40:25.509,29.300
 22:40:25.543,29.300
 22:40:25.646,29.300
 22:40:25.742,29.290
 22:40:25.841,29.290
 22:40:25.949,29.300
 22:40:26.048,29.320
 22:40:26.148,29.290
 22:40:26.252,29.290
 22:40:26.354,29.290
 22:40:26.433,29.320
 22:40:26.534,29.300
 22:40:26.648,29.250
 22:40:26.740,29.320
 22:40:26.841,29.300
 22:40:26.945,29.330
 22:40:27.059,29.300
 22:40:27.154,29.300
 22:40:27.250,29.290
 22:40:27.348,29.300
 22:40:27.456,29.300
 22:40:27.561,29.300
 22:40:27.661,29.330
 22:40:27.749,29.320
 22:40:27.867,29.300
 22:40:27.970,29.320
 22:40:28.070,29.330
 22:40:28.180,29.270
 22:40:28.277,29.320
 22:40:28.377,29.290
 22:40:28.485,29.320
 22:40:28.583,29.290
 22:40:28.684,29.300
 22:40:28.782,29.300
 22:40:28.896,29.330
 22:40:28.992,29.320
 22:40:29.095,29.270
 22:40:29.219,29.300
 22:40:29.237,29.300
 22:40:29.333,29.270
 22:40:29.432,29.290
 22:40:29.532,29.320
 22:40:29.630,29.250
 22:40:29.732,29.300
 22:40:29.835,29.320
 22:40:29.925,29.290
 22:40:30.023,29.320
 22:40:30.150,29.290
 22:40:30.236,29.350
 22:40:30.346,29.290
 22:40:30.442,29.290
 22:40:30.527,29.320
 22:40:30.625,29.300
 22:40:30.739,29.320
 22:40:30.835,29.300
 22:40:30.932,29.300
 22:40:31.030,29.270
 22:40:31.150,29.270
 22:40:31.246,29.270
 22:40:31.347,29.320
 22:40:31.469,29.270
 22:40:31.563,29.330
 22:40:31.686,29.300
 22:40:31.760,29.300
 22:40:31.860,29.300
 22:40:31.962,29.320
 22:40:32.057,29.330
 22:40:32.159,29.300
 22:40:32.297,29.270
 22:40:32.371,29.300
 22:40:32.474,29.300
 22:40:32.576,29.290
 22:40:32.682,29.330
 22:40:32.783,29.290
 22:40:32.895,29.290
 22:40:32.989,29.240
 22:40:33.017,29.330
 22:40:33.190,29.300
 22:40:33.218,29.290
 22:40:33.330,29.330
 22:40:33.430,29.270
 22:40:33.527,29.270
 22:40:33.629,29.330
 22:40:33.736,29.320
 22:40:33.836,29.320
 22:40:33.913,29.300
 22:40:34.019,29.250
 22:40:34.127,29.300
 22:40:34.215,29.300
 22:40:34.316,29.330
 22:40:34.420,29.290
 22:40:34.522,29.290
 22:40:34.617,29.320
 22:40:34.731,29.270
 22:40:34.841,29.300
 22:40:34.937,29.300
 22:40:35.034,29.300
 22:40:35.144,29.270
 22:40:35.240,29.270
 22:40:35.342,29.300
 22:40:35.467,29.270
 22:40:35.559,29.300
 22:40:35.653,29.290
 22:40:35.750,29.330
 22:40:35.878,29.290
 22:40:35.956,29.270
 22:40:36.060,29.270
 22:40:36.201,29.250
 22:40:36.273,29.300
 22:40:36.368,29.290
 22:40:36.476,29.300
 22:40:36.579,29.270
 22:40:36.609,29.270
 22:40:36.705,29.290
 22:40:36.884,29.300
 22:40:36.912,29.290
 22:40:37.014,29.270
 22:40:37.113,29.300
 22:40:37.215,29.290
 22:40:37.304,29.270
 22:40:37.418,29.290
 22:40:37.516,29.290
 22:40:37.617,29.270
 22:40:37.715,29.290
 22:40:37.823,29.300
 22:40:37.923,29.270
 22:40:38.040,29.300
 22:40:38.120,29.270
 22:40:38.224,29.300
 22:40:38.344,29.270
 22:40:38.419,29.300
 22:40:38.521,29.270
 22:40:38.621,29.300
 22:40:38.721,29.290
 22:40:38.820,29.320
 22:40:38.924,29.290
 22:40:39.028,29.290
 22:40:39.143,29.290
 22:40:39.231,29.240
 22:40:39.333,29.270
 22:40:39.436,29.300
 22:40:39.553,29.290
 22:40:39.653,29.290
 22:40:39.749,29.290
 22:40:39.847,29.300
 22:40:39.948,29.300
 22:40:40.050,29.290
 22:40:40.154,29.270
 22:40:40.255,29.290
 22:40:40.359,29.250
 22:40:40.481,29.270
 22:40:40.519,29.240
 22:40:40.666,29.330
 22:40:40.696,29.300
 22:40:40.794,29.300
 22:40:40.908,29.270
 22:40:41.001,29.290
 22:40:41.099,29.300
 22:40:41.201,29.290
 22:40:41.297,29.290
 22:40:41.414,29.300
 22:40:41.508,29.250
 22:40:41.612,29.270
 22:40:41.716,29.270
 22:40:41.795,29.290
 22:40:41.899,29.290
 22:40:41.997,29.290
 22:40:42.104,29.270
 22:40:42.202,29.270
 22:40:42.304,29.270
 22:40:42.398,29.250
 22:40:42.519,29.270
 22:40:42.615,29.270
 22:40:42.713,29.290
 22:40:42.817,29.290
 22:40:42.925,29.270
 22:40:43.028,29.270
 22:40:43.132,29.270
 22:40:43.228,29.240
 22:40:43.335,29.300
 22:40:43.439,29.270
 22:40:43.553,29.300
 22:40:43.642,29.270
 22:40:43.746,29.290
 22:40:43.848,29.240
 22:40:43.964,29.270
 22:40:44.045,29.240
 22:40:44.145,29.270
