Time Lapsed,Absolute_Magnetic_Field
478.878,41.968
479.006,41.737
479.094,41.877
479.190,41.769
479.250,41.993
479.393,41.85
479.496,41.904
479.559,41.863
479.668,41.987
479.775,41.867
479.842,42.066
479.942,41.904
480.043,41.835
480.211,42.005
480.320,42.089
480.347,41.914
480.445,41.802
480.548,42.015
480.653,41.911
480.750,41.813
480.842,41.977
480.961,42.102
481.037,41.968
481.143,41.678
481.253,41.989
481.344,41.975
481.445,41.981
481.543,42.004
481.646,42.022
481.748,41.995
481.851,41.931
481.944,42.001
482.055,41.898
482.158,41.873
482.258,41.869
482.361,41.901
482.464,41.955
482.572,41.905
482.680,42.014
482.773,41.719
482.873,41.771
482.976,41.993
483.092,41.857
483.187,41.952
483.287,41.812
483.388,42.082
483.493,41.965
483.542,41.896
483.714,42.025
483.798,41.783
483.854,41.971
483.961,41.96
484.038,41.834
484.204,41.919
484.233,41.941
484.339,41.948
484.434,41.924
484.542,42.192
484.643,41.91
484.744,41.942
484.844,41.939
484.929,41.732
485.028,41.766
485.125,41.976
485.253,41.946
485.332,41.845
485.432,42.008
485.537,41.88
485.638,41.943
485.743,41.903
485.842,41.908
485.945,42.034
486.055,42.179
486.153,41.98
486.256,41.998
486.354,41.791
486.466,42.014
486.565,42.114
486.663,41.996
536.766,41.811
536.866,41.692
536.969,41.923
537.094,42.067
537.180,42.083
537.283,42.016
537.388,41.845
537.501,41.762
537.584,41.838
537.719,41.97
537.722,41.973
537.824,41.897
537.918,42.034
538.018,41.795
538.128,41.834
538.229,41.859
538.336,42.02
538.432,41.865
538.611,41.916
538.638,41.817
538.736,41.803
538.815,41.925
538.927,42.011
539.018,41.941
539.121,41.934
539.222,41.925
539.339,41.884
539.435,41.975
539.533,41.928
539.633,41.993
539.736,41.935
539.822,41.782
539.939,41.777
540.030,41.796
540.114,42.017
540.238,41.978
540.327,41.832
540.449,41.924
540.555,42.132
540.658,42.094
540.768,41.828
540.864,41.771
540.964,41.909
541.096,41.873
541.177,41.893
541.209,41.954
541.307,41.862
541.474,41.741
541.577,42.064
541.709,41.938
541.712,41.979
541.809,41.874
541.910,41.872
542.015,41.884
542.118,41.999
542.236,41.846
542.326,41.902
542.405,41.917
542.525,42.107
542.625,41.865
542.728,41.868
542.805,41.881
542.908,41.895
543.016,41.977
543.116,41.834
543.219,41.994
543.337,41.946
543.425,41.899
543.525,41.946
543.625,41.6
543.750,41.748
543.817,41.814
543.900,41.878
544.003,41.902
544.109,41.901
544.212,41.788
544.347,41.864
544.454,41.853
544.579,42.034
544.653,41.997
544.761,41.731
544.863,41.713
544.967,41.757
545.062,41.867
545.175,41.91
545.268,41.758
545.297,41.916
545.396,41.88
545.498,42.01
545.609,41.961
545.707,41.801
545.802,41.844
545.910,41.919
546.011,41.9
546.106,41.964
546.212,41.984
546.310,41.8
546.415,41.903
546.523,41.985
546.594,41.818
596.717,41.859
596.812,41.828
596.908,41.957
597.013,41.722
597.106,42.007
597.209,41.891
597.315,41.949
597.425,41.828
597.523,41.903
597.621,41.952
597.748,41.892
597.827,41.906
597.932,41.757
598.054,42.003
598.130,42.136
598.233,41.938
598.337,42.095
598.440,41.757
598.506,41.966
598.643,41.943
598.753,42.097
598.853,42.006
598.949,41.718
599.084,41.923
599.087,41.98
599.263,41.865
599.292,41.908
599.388,41.851
599.484,41.791
599.584,41.939
599.690,41.938
599.795,41.953
599.891,41.746
600.000,41.765
600.099,42.017
600.195,41.85
600.320,41.837
600.391,41.958
600.489,41.855
600.592,41.962
600.721,41.874
600.793,41.999
600.898,41.951
601.003,41.726
601.103,42.011
601.211,42.003
601.315,41.938
601.423,41.947
601.513,41.943
601.646,41.696
601.726,41.708
601.834,41.901
601.929,42.003
602.033,41.903
602.128,41.832
602.231,41.86
602.334,41.746
602.435,41.958
602.533,41.983
602.636,41.912
602.741,42.099
602.842,41.849
602.945,41.861
603.047,41.956
603.076,41.844
603.260,41.756
603.278,41.931
603.378,41.91
603.479,41.958
603.582,41.824
603.695,41.868
603.793,41.906
603.895,42.001
