"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.740793281863085E9,"2025-02-28 20:41:21.863 UTC-05:00"
"PAUSE",1.983815362499990E2,1.740793480244697E9,"2025-02-28 20:44:40.245 UTC-05:00"
"START",1.983815362499990E2,1.740794174929312E9,"2025-02-28 20:56:14.929 UTC-05:00"
"PAUSE",1.177631879333334E3,1.740795154179550E9,"2025-02-28 21:12:34.180 UTC-05:00"
