"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.740670882549023E9,"2025-02-27 10:41:22.549 UTC-05:00"
"PAUSE",4.264914679583162E2,1.740671309040178E9,"2025-02-27 10:48:29.040 UTC-05:00"
"START",4.264914679583162E2,1.740671337693891E9,"2025-02-27 10:48:57.694 UTC-05:00"
"PAUSE",4.277092568749795E2,1.740671338911679E9,"2025-02-27 10:48:58.912 UTC-05:00"
"START",4.277092568749795E2,1.740671344138094E9,"2025-02-27 10:49:04.138 UTC-05:00"
"PAUSE",2.655279536583228E3,1.740673571706308E9,"2025-02-27 11:26:11.706 UTC-05:00"
