"event","experiment time","system time","system time text"
"START",0.000000000E0,1740760586.772,"2025-02-28 11:36:26.772 UTC-05:00"
"PAUSE",2.666172712E3,1740763252.944,"2025-02-28 12:20:52.944 UTC-05:00"
